Player Name,Receptions,Yards,Average,Long,Touchdowns
Don Looney,58,707,12.19,N/A,4
Don Hutson,45,664,14.76,N/A,7
Jimmy Johnston,29,350,12.07,N/A,3
Jim Benton,22,351,15.95,N/A,3
Wayne Millner,22,233,10.59,N/A,3
Vic Spadaccini,22,276,12.55,N/A,2
Perry Schwartz,21,370,17.62,N/A,3
Lloyd Cardwell,20,349,17.45,N/A,1
Charley Malone,20,222,11.1,N/A,0
Dick Todd,20,402,20.1,N/A,4
Bob Masterson,18,283,15.72,N/A,4
Red Ramsey,17,143,8.41,N/A,0
Carl Mulleneaux,16,288,18.0,N/A,6
Gaynell Tinsley,16,165,10.31,N/A,1
Al Coppage,15,163,10.87,N/A,1
Ed Justice,15,170,11.33,N/A,2
Les McDonald,15,309,20.6,N/A,0
George Platukis,15,290,19.33,N/A,2
Lee Shaffer,15,121,8.07,N/A,2
Oliver Cordill,14,158,11.29,N/A,2
Chuck Hanneman,14,224,16.0,N/A,0
Jim Lee Howell,14,255,18.21,N/A,2
Ward Cuff,13,220,16.92,N/A,1
Joe Carter,12,201,16.75,N/A,0
Dave Diehl,12,131,10.92,N/A,0
Ken Kavanaugh,12,276,23.0,N/A,3
Paul McDonough,12,315,26.25,N/A,1
Fran Murray,12,125,10.42,N/A,0
Dante Magnani,11,119,10.82,N/A,1
Dick Plasman,11,245,22.27,N/A,2
Ray Riddick,11,148,13.45,N/A,0
John Shirk,11,91,8.27,N/A,0
Jim Poole,10,156,15.6,N/A,3
Andy Uram,10,188,18.8,N/A,2
George Cafego,9,105,11.67,N/A,0
Ben Kish,9,124,13.78,N/A,0
Bob McChesney,9,119,13.22,N/A,1
Banks McFadden,9,97,10.78,N/A,2
Kent Ryan,9,96,10.67,N/A,0
Johnny Drake,8,81,10.13,N/A,0
Dick Riffle,8,58,7.25,N/A,1
Rhoten Shetley,8,126,15.75,N/A,1
Joe Wendlick,8,67,8.38,N/A,0
Jay Arnold,7,145,20.71,N/A,0
George McAfee,7,117,16.71,N/A,0
Bill Sortet,7,112,16.0,N/A,0
Fred Vanzo,7,75,10.71,N/A,0
Johnny Wilson,7,93,13.29,N/A,1
Waddy Young,7,85,12.14,N/A,0
Larry Craig,6,67,11.17,N/A,0
Chuck Gelatka,6,56,9.33,N/A,0
Elmer Kolberg,6,43,7.17,N/A,0
Eggs Manske,6,81,13.5,N/A,0
Ray McLean,6,138,23.0,N/A,2
Buddy Parker,6,45,7.5,N/A,0
Lou Tomasetti,6,129,21.5,N/A,1
Lou Brock,5,97,19.4,N/A,0
Hank Bruder,5,49,9.8,N/A,0
Joe Laws,5,60,12.0,N/A,1
Bob Nowaskey,5,105,21.0,N/A,2
Milt Popovich,5,32,6.4,N/A,0
Mario Tonelli,5,53,10.6,N/A,0
Bob Adkins,4,73,18.25,N/A,1
Bill Callihan,4,42,10.5,N/A,0
Merl Condit,4,30,7.5,N/A,1
Johnny Hall,4,111,27.75,N/A,2
Max Harrison,4,96,24.0,N/A,0
Clarke Hinkle,4,28,7.0,N/A,1
Walt Kichefski,4,26,6.5,N/A,0
Lloyd Madden,4,90,22.5,N/A,1
Jim Meade,4,39,9.75,N/A,0
Paul Moore,4,29,7.25,N/A,1
John Noppenberg,4,74,18.5,N/A,0
Johnny Siegal,4,53,13.25,N/A,0
Hank Soar,4,36,9.0,N/A,1
Tommy Thompson,4,55,13.75,N/A,0
Hal Van Every,4,41,10.25,N/A,0
Howie Weiss,4,56,14.0,N/A,0
Whizzer White,4,55,13.75,N/A,0
George Wilson,4,90,22.5,N/A,1
Chet Adams,3,28,9.33,N/A,0
Harry Clarke,3,80,26.67,N/A,0
Frank Emmons,3,19,6.33,N/A,1
Jack Hinkle,3,23,7.67,N/A,0
Herman Hodges,3,38,12.67,N/A,0
George Kiick,3,22,7.33,N/A,0
John Klumb,3,76,25.33,N/A,0
Ray Nolting,3,36,12.0,N/A,0
Ace Parker,3,139,46.33,N/A,2
Wendell Butcher,2,21,10.5,N/A,0
Dick Cassiano,2,67,33.5,N/A,2
John Cole,2,11,5.5,N/A,0
Earl Crowder,2,33,16.5,N/A,0
Billy Dewell,2,29,14.5,N/A,0
Dick Evans,2,40,20.0,N/A,0
Nello Falaschi,2,9,4.5,N/A,0
Ev Fisher,2,12,6.0,N/A,0
Marshall Goldberg,2,29,14.5,N/A,1
Elmer Hackney,2,4,2.0,N/A,0
Pop Ivy,2,32,16.0,N/A,0
Harry Jacunski,2,29,14.5,N/A,0
Bert Johnson,2,52,26.0,N/A,0
Wilbur Moore,2,26,13.0,N/A,1
Walt Nielsen,2,17,8.5,N/A,0
Maury Patt,2,52,26.0,N/A,1
Bolo Perdue,2,28,14.0,N/A,0
Erny Pinckert,2,27,13.5,N/A,0
Hamp Pool,2,55,27.5,N/A,0
Stillman Rouse,2,17,8.5,N/A,0
Bob Seymour,2,3,1.5,N/A,0
Bill Shepherd,2,12,6.0,N/A,0
Gaylon Smith,2,65,32.5,N/A,0
Bob Swisher,2,106,53.0,N/A,0
Bill Bailey,1,12,12.0,N/A,0
Frank Balasz,1,7,7.0,N/A,0
Len Barnum,1,15,15.0,N/A,0
Connie Mack Berry,1,17,17.0,N/A,0
Boyd Brumbaugh,1,0,0.0,N/A,0
Joe Bukant,1,13,13.0,N/A,0
Beryl Clark,1,20,20.0,N/A,0
Gary Famiglietti,1,11,11.0,N/A,0
Bill Fisk,1,10,10.0,N/A,0
Milt Gantenbein,1,12,12.0,N/A,0
Fred Gehrke,1,--,0,N/A,
Mike Gussie,1,9,9.0,N/A,1
Johnny Haman,1,5,5.0,N/A,0
Harold Hill,1,9,9.0,N/A,0
Len Janiak,1,3,3.0,N/A,0
Art Jocher,1,2,2.0,N/A,1
Jack Johnson,1,48,48.0,N/A,1
Ralph Kercheval,1,17,17.0,N/A,0
Bill Leckonby,1,8,8.0,N/A,1
Pug Manders,1,38,38.0,N/A,1
Joe Maniaci,1,--,0,N/A,
John McLaughry,1,--,0,N/A,
Butch Morse,1,13,13.0,N/A,0
Chuck Newton,1,22,22.0,N/A,0
Bill Osmanski,1,13,13.0,N/A,0
Al Owen,1,5,5.0,N/A,0
Hank Rockwell,1,5,5.0,N/A,1
Sandy Sanford,1,13,13.0,N/A,0
Ted Schmitt,1,8,8.0,N/A,0
Dick Weisgerber,1,37,37.0,N/A,0
