Player Name,Receptions,Yards,Average,Long,Touchdowns
Tom Fears,77,1013,13.16,51,9
Bob Mann,66,1014,15.36,64,4
Bill Chipley,57,631,11.07,69,2
Jim Keane,47,696,14.81,39,6
Bill Swiacki,47,652,13.87,42,4
Hugh Taylor,45,781,17.36,76,9
John Greene,42,542,12.9,28,7
Ralph Heywood,37,499,13.49,61,3
Gene Roberts,35,711,20.31,85,8
Jack Ferrante,34,508,14.94,64,5
Pete Pihos,34,484,14.24,49,4
Charlie Trippi,34,412,12.12,44,6
Mal Kutner,30,465,15.5,49,5
Val Jansante,29,445,15.34,47,4
Ken Kavanaugh,29,655,22.59,81,9
Bob Shaw,29,535,18.45,71,6
Bill Dudley,27,190,7.04,18,2
Harold Crisler,26,388,14.92,47,4
Elbie Nickel,26,633,24.35,52,3
Ted Cook,25,442,17.68,50,1
John Hoffman,25,373,14.92,64,2
Ray Poole,25,277,11.08,40,1
Neill Armstrong,24,271,11.29,45,5
Eddie Saenz,23,251,10.91,31,0
Elroy Hirsch,22,326,14.82,48,4
Billy Dewell,20,235,11.75,25,2
Dan Sandifer,19,293,15.42,35,3
Joe Osmanski,18,138,7.67,42,0
Dick Hoerner,17,213,12.53,29,0
Bill Kelley,17,222,13.06,32,1
Rob Goode,16,279,17.44,54,0
George Gulyanics,16,165,10.31,34,1
Julie Rykovich,16,210,13.13,45,2
Cloyce Box,15,276,18.4,43,4
Nolan Luhn,15,169,11.27,30,1
Joe Scott,15,111,7.4,24,1
J.R. Boone,14,336,24.0,43,3
Joe Golding,12,78,6.5,16,2
Pat Harder,12,100,8.33,44,1
Don Kindt,12,118,9.83,38,0
Harry Dowda,11,187,17.0,67,1
Clyde Goodnight,11,150,13.64,30,0
Babe Dimancheff,10,130,13.0,50,1
Hal Prescott,10,162,16.2,41,1
Bob Ravensberg,10,203,20.3,48,3
Paul Shoults,10,124,12.4,23,0
Fred Gehrke,9,140,15.56,42,2
George McAfee,9,157,17.44,52,1
Joe Abbey,8,110,13.75,48,0
Ray Coates,8,152,19.0,51,1
Tommy Mont,8,105,13.13,30,2
Bosh Pritchard,8,185,23.13,75,2
Clyde Scott,8,148,18.5,70,1
Pete Stout,8,102,12.75,39,2
Wally Triplett,8,90,11.25,32,0
Red Cochran,7,107,15.29,33,1
Leon Cochran,7,82,11.71,22,0
Wally Dreyer,7,94,13.43,24,0
Bob Forte,7,85,12.14,28,0
Jack Myers,7,98,14.0,26,0
Steve Pritko,7,98,14.0,24,2
Jerry Williams,7,102,14.57,42,0
Tank Younger,7,119,17.0,33,0
Ted Fritsch,6,81,13.5,35,0
George Papach,6,18,3.0,11,0
Camp Wilson,6,31,5.17,19,0
Vinnie Yablonski,6,35,5.83,15,0
Elmer Angsman,5,57,11.4,32,0
Jim Canady,5,80,16.0,26,0
Ralph Earhart,5,109,21.8,50,0
Harry Gilmer,5,37,7.4,13,0
Jim Parmer,5,33,6.6,30,0
Ed Quirk,5,33,6.6,15,0
Vitamin Smith,5,63,12.6,24,1
John Hollar,4,38,9.5,15,1
Tom Keane,4,70,17.5,44,0
Kelley Mote,4,58,14.5,22,0
Jerry Nuzum,4,81,20.25,63,2
Dan Orlich,4,39,9.75,12,0
Jack Salscheider,4,9,2.25,13,0
Charlie Seabright,4,4,1.0,5,0
Phil Slosburg,4,11,2.75,9,0
Ed Sprinkle,4,69,17.25,47,0
Joe Tereshinski,4,36,9.0,12,0
Steve Van Buren,4,88,22.0,50,1
Jim Wade,4,58,14.5,33,0
Tony Canadeo,3,3,0
George Connor,3,51,17.0,25,0
Don Currivan,3,78,26.0,40,1
Clete Fischer,3,45,15.0,36,1
Bob Greenhalgh,3,23,7.67,14,0
Mel Groomes,3,33,11.0,20,1
Dick Hensley,3,24,8.0,10,0
Frank Hubbell,3,32,10.67,12,0
Howie Livingston,3,41,13.67,29,0
Dante Magnani,3,29,9.67,15,0
Bob Perina,3,33,11.0,14,0
Vic Schwall,3,8,2.67,18,2
Nick Scollard,3,81,27.0,40,2
Joe Sulaitis,3,35,11.67,18,0
Frank Ziegler,3,33,11.0,24,0
Jack Zilly,3,35,11.67,14,0
Dick Duden,2,15,7.5,10,0
Dick Huffman,2,36,18.0,23,0
Tommy Kalmanir,2,36,18.0,23,0
Bill Long,2,21,10.5,13,0
Frank LoVuolo,2,37,18.5,22,0
Bus Mertes,2,14,7.0,13,0
Frank Muehlheuser,2,26,13.0,10,0
Noah Mullins,2,45,22.5,24,1
Jerry Shipkey,2,32,16.0,21,0
