PLAYER NAME,PERCENTILE
A B Brown,0.1298701298701298
A B Brown,0.3947368421052631
A B Brown,0.5
A B Brown,0.4191176470588235
A J Dillon,0.2511627906976744
A J Dillon,0.6376146788990825
A J Dillon,0.8676470588235294
A J Dillon,0.903954802259887
Aaron Craver,0.136986301369863
Aaron Craver,0.1911764705882352
Aaron Craver,0.208955223880597
Aaron Craver,0.35
Aaron Craver,0.6013071895424836
Aaron Craver,0.795774647887324
Aaron Craver,0.6666666666666666
Aaron Craver,0.6776315789473685
Aaron Craver,0.5279503105590062
Aaron Hayden,0.2352941176470588
Aaron Hayden,0.3591549295774648
Aaron Hayden,0.4866666666666667
Aaron Stecker,0.1483870967741935
Aaron Stecker,0.3013698630136986
Aaron Stecker,0.5894039735099338
Aaron Stecker,0.6012658227848101
Aaron Stecker,0.6586826347305389
Aaron Stecker,0.6493506493506493
Aaron Stecker,0.6601307189542484
Aaron Stecker,0.6556291390728477
Aaron Stecker,0.5870967741935483
Aaron Stecker,0.5286624203821656
Abdul Karim Al Jabbar,0.2887323943661972
Abdul Karim Al Jabbar,0.66
Abdul Karim Al Jabbar,0.8881578947368421
Abdul Karim Al Jabbar,0.8757763975155279
Abdul Karim Al Jabbar,0.6
Adam Prentice,0.1330275229357798
Adam Prentice,0.3333333333333333
Adam Prentice,0.4463276836158192
Adam Walker,0.0746268656716417
Adam Walker,0.25
Adam Walker,0.3725490196078431
Adger Armstrong,0.1506024096385542
Adger Armstrong,0.3272727272727272
Adger Armstrong,0.5189873417721519
Adger Armstrong,0.5617283950617284
Adger Armstrong,0.6064516129032258
Adimchinobe Echemandu,0.0718562874251497
Adimchinobe Echemandu,0.0584415584415584
Adimchinobe Echemandu,0.0849673202614379
Adimchinobe Echemandu,0.0463576158940397
Adrian Murrell,0.1865671641791045
Adrian Murrell,0.4214285714285714
Adrian Murrell,0.8235294117647058
Adrian Murrell,0.9154929577464788
Adrian Murrell,0.92
Adrian Murrell,0.8552631578947368
Adrian Murrell,0.782608695652174
Adrian Murrell,0.6387096774193548
Adrian Murrell,0.3287671232876712
Adrian Murrell,0.086092715231788
Adrian Murrell,0.1645569620253164
Adrian Peterson,0.6622516556291391
Adrian Peterson,0.8903225806451613
Adrian Peterson,0.9808917197452228
Adrian Peterson,0.9805194805194806
Adrian Peterson,0.9727891156462584
Adrian Peterson,1.0
Adrian Peterson,1.0
Adrian Peterson,0.9824561403508772
Adrian Peterson,0.9162011173184358
Adrian Peterson,0.7204301075268817
Adrian Peterson,0.6338797814207651
Adrian Peterson,0.5797872340425532
Adrian Peterson,0.7783505154639175
Adrian Peterson,0.9023255813953488
Adrian Peterson,0.6743119266055045
Adrian Peterson 2,0.152317880794702
Adrian Peterson 2,0.3037974683544304
Adrian Peterson 2,0.4610778443113772
Adrian Peterson 2,0.525974025974026
Adrian Peterson 2,0.7320261437908496
Adrian Peterson 2,0.7483443708609272
Adrian Peterson 2,0.6774193548387096
Adrian Peterson 2,0.6369426751592356
Ahmad Bradshaw,0.271523178807947
Ahmad Bradshaw,0.5032258064516129
Ahmad Bradshaw,0.7388535031847133
Ahmad Bradshaw,0.7727272727272727
Ahmad Bradshaw,0.8843537414965986
Ahmad Bradshaw,0.89937106918239
Ahmad Bradshaw,0.8571428571428571
Ahmad Bradshaw,0.7894736842105263
Ahmad Bradshaw,0.6759776536312849
Ahman Green,0.1907894736842105
Ahman Green,0.4347826086956521
Ahman Green,0.8516129032258064
Ahman Green,0.958904109589041
Ahman Green,0.9867549668874172
Ahman Green,0.9746835443037974
Ahman Green,0.9700598802395208
Ahman Green,0.9155844155844156
Ahman Green,0.8366013071895425
Ahman Green,0.7947019867549668
Ahman Green,0.7935483870967742
Ahman Green,0.5859872611464968
Ahmard Hall,0.1503267973856209
Ahmard Hall,0.5496688741721855
Ahmard Hall,0.7096774193548387
Ahmard Hall,0.6050955414012739
Ahmard Hall,0.474025974025974
Ahmard Hall,0.4693877551020408
Aj Mccarron,0.0558659217877094
Aj Mccarron,0.064516129032258
Aj Mccarron,0.0655737704918032
Aj Mccarron,0.0212765957446808
Aj Mccarron,0.1546391752577319
Akeem Hunt,0.2513966480446927
Akeem Hunt,0.3225806451612903
Akeem Hunt,0.448087431693989
Al Hunter,0.2292993630573248
Al Hunter,0.4268292682926829
Al Hunter,0.5930232558139535
Al Hunter,0.5116279069767442
Alan Ricard,0.1721854304635761
Alan Ricard,0.3860759493670886
Alan Ricard,0.5269461077844312
Albert Bentley,0.2516129032258064
Albert Bentley,0.6257309941520468
Albert Bentley,0.9527272727272728
Albert Bentley,0.9155844155844156
Albert Bentley,0.9285714285714286
Albert Bentley,0.9013157894736842
Alex Armah,0.0957446808510638
Alex Armah,0.2783505154639175
Alex Armah,0.4232558139534884
Alex Armah,0.4678899082568807
Alex Collins,0.0967741935483871
Alex Collins,0.4590163934426229
Alex Collins,0.574468085106383
Alex Collins,0.5103092783505154
Alex Collins,0.2558139534883721
Alex Collins,0.4541284403669725
Alex Erickson,0.2076502732240437
Alex Erickson,0.4734042553191489
Alex Erickson,0.7268041237113402
Alex Erickson,0.6186046511627907
Alex Green,0.0544217687074829
Alex Green,0.389937106918239
Alex Green,0.5357142857142857
Alfonso Smith,0.2108843537414966
Alfonso Smith,0.1761006289308176
Alfonso Smith,0.2619047619047619
Alfonso Smith,0.1637426900584795
Alfred Anderson,0.228395061728395
Alfred Anderson,0.4451612903225806
Alfred Anderson,0.6900584795321637
Alfred Anderson,0.8363636363636363
Alfred Anderson,0.7792207792207793
Alfred Anderson,0.7922077922077922
Alfred Anderson,0.7171052631578947
Alfred Anderson,0.5616438356164384
Alfred Blue,0.3508771929824561
Alfred Blue,0.6368715083798883
Alfred Blue,0.7526881720430108
Alfred Blue,0.639344262295082
Alfred Blue,0.6117021276595744
Alfred Morris,0.4654088050314465
Alfred Morris,0.6845238095238095
Alfred Morris,0.8830409356725146
Alfred Morris,0.8379888268156425
Alfred Morris,0.8387096774193549
Alfred Morris,0.7923497267759563
Alfred Morris,0.7074468085106383
Alfred Morris,0.7474226804123711
Alfred Morris,0.641860465116279
Allen Pinkett,0.2923976608187134
Allen Pinkett,0.6654545454545454
Allen Pinkett,0.7012987012987013
Allen Pinkett,0.8311688311688312
Allen Pinkett,0.7960526315789473
Allen Pinkett,0.8356164383561644
Allen Rice,0.1728395061728395
Allen Rice,0.4064516129032258
Allen Rice,0.672514619883041
Allen Rice,0.7890909090909091
Allen Rice,0.6558441558441559
Allen Rice,0.5974025974025974
Allen Rice,0.5394736842105263
Allen Rice,0.3356164383561644
Allen Robinson,0.3563829787234042
Allen Robinson,0.654639175257732
Allen Robinson,0.8372093023255814
Alonzo Highsmith 2,0.44
Alonzo Highsmith 2,0.422077922077922
Alonzo Highsmith 2,0.6298701298701299
Alonzo Highsmith 2,0.5263157894736842
Alonzo Highsmith 2,0.3150684931506849
Alonzo Highsmith 2,0.2426470588235294
Alvin Maxson,0.5179856115107914
Alvin Maxson,0.6785714285714286
Alvin Maxson,0.7647058823529411
Alvin Maxson,0.5605095541401274
Alvin Maxson,0.3353658536585366
Alvin Moore,0.1329113924050632
Alvin Moore,0.2716049382716049
Alvin Moore,0.3806451612903225
Alvin Moore,0.4502923976608187
Alvin Moore,0.6690909090909091
Amari Cooper,0.3072625698324022
Amari Cooper,0.6344086021505376
Amari Cooper,0.9344262295081968
Amari Cooper,0.9840425531914894
Amari Cooper,0.963917525773196
Amari Cooper,0.944186046511628
Amos Zereoue,0.1118012422360248
Amos Zereoue,0.2064516129032258
Amos Zereoue,0.4794520547945205
Amos Zereoue,0.6821192052980133
Amos Zereoue,0.8227848101265823
Amos Zereoue,0.8383233532934131
Amos Zereoue,0.6753246753246753
Amp Lee,0.2720588235294117
Amp Lee,0.5149253731343284
Amp Lee,0.8642857142857143
Amp Lee,0.8758169934640523
Amp Lee,0.852112676056338
Amp Lee,0.88
Amp Lee,0.868421052631579
Amp Lee,0.7950310559006211
Amp Lee,0.5806451612903226
Andra Franklin,0.1144578313253012
Andra Franklin,0.5333333333333333
Andra Franklin,0.6455696202531646
Andra Franklin,0.5864197530864198
Andre Brown,0.0129870129870129
Andre Brown,0.0136054421768707
Andre Brown,0.3584905660377358
Andre Brown,0.4880952380952381
Andre Ellington,0.5059523809523809
Andre Ellington,0.7309941520467836
Andre Ellington,0.888268156424581
Andre Ellington,0.7903225806451613
Andre Ellington,0.6885245901639344
Andre Hardy 2,0.1111111111111111
Andre Hardy 2,0.1290322580645161
Andre Hardy 2,0.1578947368421052
Andre Hardy 2,0.4545454545454545
Andre Williams,0.3976608187134502
Andre Williams,0.547486033519553
Andre Williams,0.7096774193548387
Andre Williams,0.4098360655737705
Andrew Beck,0.3505154639175257
Andrew Beck,0.3209302325581395
Andrew Beck,0.3302752293577982
Andrew Beck,0.0539215686274509
Andrew Beck,0.2542372881355932
Andrew Pinnock,0.0479041916167664
Andrew Pinnock,0.3636363636363636
Andrew Pinnock,0.5228758169934641
Andrew Pinnock,0.4304635761589404
Andy Bolton,0.0326797385620915
Andy Bolton,0.1592356687898089
Andy Bolton,0.1890243902439024
Andy Isabella,0.2577319587628865
Andy Isabella,0.2651162790697674
Andy Isabella,0.2706422018348624
Andy Isabella,0.0931372549019607
Andy Janovich,0.3010752688172043
Andy Janovich,0.4644808743169399
Andy Janovich,0.7712765957446809
Andy Janovich,0.7319587628865979
Andy Janovich,0.7023255813953488
Andy Janovich,0.5091743119266054
Andy Johnson,0.0287769784172661
Andy Johnson,0.5
Andy Johnson,0.9084967320261438
Andy Johnson,0.8662420382165605
Andy Johnson,0.8170731707317073
Andy Johnson,0.4651162790697674
Andy Johnson,0.6686046511627907
Andy Johnson,0.4879518072289157
Anthony Dixon,0.1298701298701298
Anthony Dixon,0.3265306122448979
Anthony Dixon,0.4528301886792453
Anthony Dixon,0.4226190476190476
Anthony Dixon,0.5321637426900585
Anthony Dixon,0.5195530726256983
Anthony Hutchison,0.0253164556962025
Anthony Hutchison,0.1851851851851851
Anthony Hutchison,0.2580645161290322
Anthony Johnson 3,0.1917808219178082
Anthony Johnson 3,0.4117647058823529
Anthony Johnson 3,0.5223880597014925
Anthony Johnson 3,0.4285714285714285
Anthony Johnson 3,0.4117647058823529
Anthony Johnson 3,0.6549295774647887
Anthony Johnson 3,0.6933333333333334
Anthony Johnson 3,0.743421052631579
Anthony Johnson 3,0.5403726708074534
Anthony Johnson 3,0.5741935483870968
Anthony Lynn,0.065359477124183
Anthony Lynn,0.352112676056338
Anthony Lynn,0.3466666666666667
Anthony Lynn,0.3092105263157895
Anthony Lynn,0.0124223602484472
Anthony Mcdowell,0.2573529411764705
Anthony Mcdowell,0.373134328358209
Anthony Mcdowell,0.55
Anthony Mcfarland 2,0.1441860465116279
Anthony Mcfarland 2,0.2477064220183486
Anthony Mcfarland 2,0.4313725490196078
Anthony Sherman,0.2321428571428571
Anthony Sherman,0.5029239766081871
Anthony Sherman,0.5139664804469274
Anthony Sherman,0.3172043010752688
Anthony Sherman,0.2240437158469945
Anthony Sherman,0.4946808510638298
Anthony Sherman,0.6907216494845361
Anthony Sherman,0.6930232558139535
Anthony Steels,0.1419354838709677
Anthony Steels,0.1812865497076023
Anthony Steels,0.5163636363636364
Anthony Thomas,0.5136986301369864
Anthony Thomas,0.609271523178808
Anthony Thomas,0.8670886075949367
Anthony Thomas,0.7365269461077845
Anthony Thomas,0.6948051948051948
Anthony Thomas,0.5098039215686274
