Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Solo Tackles,Tackle Assists,Total Tackles,Sacks,Sack Loss Yards Caused
Jamie Sharper,16,0,0,0.0,0,0,107,59,166,4.0,19.0
Ray Lewis,16,6,99,16.5,37,1,121,42,163,1.5,11.0
Donnie Edwards,16,2,27,13.5,15,0,124,38,162,0.5,6.0
Zach Thomas,15,3,21,7.0,19,0,85,68,153,1.0,5.0
Micheal Barrow,16,0,0,0.0,0,0,111,39,150,2.0,18.0
David Thornton,16,2,3,1.5,2,0,112,33,145,1.0,2.0
Keith Brooking,16,0,0,0.0,0,0,126,18,144,0.0,0.0
James Farrior,16,1,9,9.0,9,0,96,45,141,0.0,0.0
Sam Cowart,15,0,0,0.0,0,0,96,44,140,2.0,13.0
Andra Davis,16,0,0,0.0,0,0,98,40,138,5.0,28.0
Keith Bulluck,16,2,9,4.5,9,0,106,31,137,3.0,21.0
Jay Foreman,16,0,0,0.0,0,0,101,35,136,2.0,3.0
Eric Barton,16,0,0,0.0,0,0,99,34,133,0.5,0.0
Tedy Bruschi,16,3,26,8.67,18,2,81,52,133,2.0,16.0
London Fletcher,16,0,0,0.0,0,0,97,36,133,2.0,14.0
Takeo Spikes,16,2,1,0.5,1,0,70,56,126,2.0,14.0
Chris Draft,16,1,4,4.0,4,0,104,21,125,2.0,15.0
Rodney Harrison,16,3,0,0.0,2,0,92,33,125,3.0,22.0
Dat Nguyen,16,0,0,0.0,0,0,90,31,121,2.0,17.0
Dhani Jones,16,0,0,0.0,0,0,93,27,120,3.0,21.0
Marvin Jones,16,0,0,0.0,0,0,74,44,118,0.0,0.0
Akin Ayodele,16,2,15,7.5,13,0,88,28,116,1.0,3.0
Brian Urlacher,16,0,0,0.0,0,0,87,29,116,2.5,14.5
Derek Smith,16,0,0,0.0,0,0,88,27,115,3.5,30.5
Jeremiah Trotter,16,1,21,21.0,21,0,91,23,114,1.5,5.0
Scott Fujita,16,1,8,8.0,8,0,98,16,114,4.0,18.0
Shawn Barber,16,1,28,28.0,28,0,93,20,113,5.0,31.0
Nick Barnett,15,3,21,7.0,14,0,86,26,112,2.0,8.0
Napoleon Harris,16,0,0,0.0,0,0,76,34,110,2.0,19.0
Antoine Winfield,16,1,11,11.0,11,0,94,15,109,1.0,6.0
Ronald McKinnon,16,0,0,0.0,0,0,81,25,106,2.0,13.0
Lawyer Milloy,16,0,0,0.0,0,0,70,35,105,3.0,27.0
Mike Doss,15,1,15,15.0,15,0,75,30,105,0.0,0.0
Ifeanyi Ohalete,15,3,60,20.0,30,0,79,25,104,0.0,0.0
Greg Wesley,16,6,63,10.5,27,0,89,15,104,2.0,12.0
Brian Simmons,16,2,14,7.0,13,0,72,31,103,1.5,9.0
Derrick Brooks,16,2,56,28.0,44,1,73,30,103,1.0,0.0
Mike Peterson,16,3,8,2.67,7,0,73,29,102,1.0,6.0
Mark Simoneau,16,0,0,0.0,0,0,80,22,102,2.0,14.0
Roman Phifer,16,0,0,0.0,0,0,68,33,101,0.0,0.0
Anthony Simmons,13,3,38,12.67,33,0,80,20,100,3.0,21.0
Ronde Barber,16,2,53,26.5,29,1,81,19,100,1.5,12.0
Kendrell Bell,16,1,61,61.0,42,0,81,19,100,5.0,36.0
Sam Garnes,16,2,0,0.0,0,0,67,33,100,0.5,2.0
Will Witherspoon,16,1,10,10.0,10,0,74,25,99,1.0,9.0
Eric Brown,16,1,5,5.0,5,0,75,23,98,0.5,6.0
Dexter Coakley,16,1,24,24.0,24,0,74,24,98,1.0,8.0
Ken Hamlin,16,1,2,2.0,2,0,78,20,98,0.0,0.0
Sammy Knight,16,3,98,32.67,70,0,66,32,98,0.0,0.0
Nick Harper,16,4,121,30.25,75,1,83,14,97,0.0,0.0
Earl Holmes,16,0,0,0.0,0,0,68,29,97,2.0,21.0
Mike Minter,16,3,100,33.33,35,2,77,20,97,0.0,0.0
Junior Seau,15,0,0,0.0,0,0,66,30,96,3.0,13.0
Kevin Bentley,16,1,25,25.0,25,0,60,36,96,0.0,0.0
Jay Bellamy,16,3,19,6.33,10,0,78,17,95,1.0,16.0
Zeke Moreno,16,0,0,0.0,0,0,78,17,95,2.0,12.0
Julian Peterson,16,2,31,15.5,31,0,69,26,95,7.0,64.0
Brian Russell,16,9,185,20.56,50,0,78,17,95,1.0,2.0
Omar Stoutmire,16,1,34,34.0,34,0,74,21,95,1.0,8.0
Barrett Green,16,0,0,0.0,0,0,65,29,94,3.0,17.0
Edgerton Hartwell,16,1,26,26.0,26,0,67,27,94,3.0,20.5
Mike Logan,16,0,0,0.0,0,0,71,23,94,1.0,5.0
Jessie Armstead,16,0,0,0.0,0,0,76,17,93,6.5,36.5
Robert Griffith,16,2,3,1.5,3,0,74,19,93,0.0,0.0
Kevin Hardy,16,0,0,0.0,0,0,59,33,92,1.5,11.0
LaVar Arrington,16,0,0,0.0,0,0,77,13,90,6.0,32.0
Nate Wayne,16,1,33,33.0,33,0,69,21,90,3.0,31.0
Dexter Jackson,16,6,122,20.33,30,0,75,14,89,0.0,0.0
Boss Bailey,16,1,0,68,20,88,1.5,9.5
Tyrone Carter,16,2,37,18.5,23,0,64,24,88,0.0,0.0
Hannibal Navies,16,0,0,0.0,0,0,71,17,88,1.0,5.0
Al Wilson,16,0,0,0.0,0,0,70,18,88,1.0,5.0
Peter Sirmon,14,0,0,0.0,0,0,64,23,87,0.0,0.0
Na'il Diggs,16,2,13,6.5,13,0,77,10,87,1.0,9.0
Michael Lewis,16,3,31,10.33,23,0,67,20,87,2.0,21.0
Chad Brown,14,1,0,74,12,86,7.0,40.0
Corey Chavous,16,8,143,17.88,39,1,75,11,86,0.0,0.0
Charles Tillman,16,4,27,6.75,32,0,79,7,86,1.0,3.0
Darren Woodson,16,1,0,65,21,86,1.0,14.0
Lance Schulters,16,0,0,0.0,0,0,65,20,85,1.0,4.0
Fred Thomas,16,4,47,11.75,20,0,74,11,85,1.0,13.0
Brian Walker,16,2,0,0.0,0,0,65,20,85,0.0,0.0
Brent Alexander,16,4,63,15.75,34,0,62,23,85,1.0,5.0
Matt Bowen,16,3,44,14.67,44,0,76,9,85,0.0,0.0
Carlos Emmons,15,0,0,0.0,0,0,65,20,85,0.0,0.0
Darren Sharper,15,5,78,15.6,50,0,71,13,84,2.0,8.0
Rob Morris,16,0,0,0.0,0,0,58,25,83,0.0,0.0
Marcus Trufant,16,2,21,10.5,15,0,74,9,83,0.0,0.0
Jerry Wilson,16,1,0,64,19,83,1.0,7.0
Gary Baxter,16,3,41,13.67,34,0,71,12,83,1.0,5.0
Rogers Beckett,16,2,11,5.5,11,0,62,21,83,3.0,24.0
Donovin Darius,16,1,4,4.0,4,0,56,27,83,0.0,0.0
Jerry Azumah,16,4,44,11.0,25,0,71,11,82,1.0,6.0
Marcus Washington,16,0,0,0.0,0,0,56,26,82,6.0,41.0
Pat Williams,16,0,0,0.0,0,0,54,28,82,0.0,0.0
Brock Marion,16,3,3,1.0,3,0,57,24,81,0.0,0.0
Rashean Mathis,16,2,0,0.0,0,0,71,10,81,0.0,0.0
Ben Taylor,13,1,0,0.0,0,0,65,16,81,0.0,0.0
Pisa Tinoisamoa,16,3,46,15.33,29,0,68,13,81,2.0,17.0
Shelton Quarles,11,0,0,0.0,0,0,57,23,80,0.0,0.0
David Barrett,16,1,25,25.0,25,0,69,11,80,0.0,0.0
Chris Claiborne,12,1,3,3.0,3,0,61,19,80,3.0,26.0
Kelly Gregg,16,0,0,0.0,0,0,63,17,80,3.0,15.0
Ben Leber,16,0,0,0.0,0,0,69,11,80,3.0,16.0
Adam Archuleta,13,1,22,22.0,22,0,72,7,79,5.0,36.0
Tony Parrish,16,9,202,22.44,49,0,62,17,79,0.5,2.5
Jeff Ulbrich,15,1,7,7.0,7,0,58,21,79,2.5,26.0
Brian Williams,16,5,205,41.0,77,1,63,16,79,3.0,17.0
Adrian Wilson,16,0,0,0.0,0,0,70,9,79,0.0,0.0
Jerome Woods,16,3,125,41.67,79,2,61,18,79,0.0,0.0
Matt Stewart,16,0,0,0.0,0,0,61,17,78,2.5,16.5
Lance Briggs,16,1,45,45.0,45,1,65,13,78,0.0,0.0
Greg Biekert,16,0,0,0.0,0,0,61,16,77,1.0,7.0
Deon Grant,16,3,25,8.33,25,0,65,12,77,1.0,11.0
Mike Brown,16,2,0,0.0,0,0,62,14,76,0.0,0.0
Greg Favors,16,0,0,0.0,0,0,56,20,76,0.0,0.0
Nick Ferguson,15,0,0,0.0,0,0,63,13,76,1.0,13.0
Terence Newman,16,4,23,5.75,25,0,66,10,76,1.0,0.0
Derrick Rodgers,15,1,40,40.0,40,1,57,18,75,0.0,0.0
Brandon Short,16,0,0,0.0,0,0,49,26,75,3.0,12.0
Michael Strahan,16,0,0,0.0,0,0,60,15,75,18.5,126.5
Aeneas Williams,16,4,82,20.5,46,1,60,15,75,1.0,6.0
Roy Williams,16,2,69,34.5,39,0,57,18,75,2.0,17.0
Jason Ferguson,16,0,0,0.0,0,0,52,23,75,4.5,40.0
Morlon Greenwood,16,0,0,0.0,0,0,50,25,75,0.5,4.5
Marques Anderson,16,1,3,3.0,3,0,54,20,74,0.0,0.0
Warrick Holdman,13,0,0,0.0,0,0,60,14,74,0.0,0.0
Ty Law,15,6,112,18.67,65,1,61,13,74,0.0,0.0
Mark Roman,16,1,1,1.0,1,0,55,19,74,0.5,5.0
Dwight Smith,16,5,3,0.6,3,0,62,12,74,0.0,0.0
Tank Williams,16,2,0,0.0,0,0,51,23,74,0.5,6.0
Champ Bailey,16,2,2,1.0,2,0,68,4,72,0.0,0.0
Jerametrius Butler,16,4,72,18.0,45,0,65,7,72,0.0,0.0
John Lynch,14,2,18,9.0,18,0,50,22,72,0.5,5.0
