Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Rick Ackerman,9,0,0,0.0,0,0,3.0,--
Julius Adams,9,0,0,0.0,0,0,2.0,--
Carl Allen,9,1,0,0.0,0,0,0.0,--
Jeffrey Allen,9,1,0,0.0,0,0,0.0,--
Lyle Alzado,9,0,0,0.0,0,0,7.0,--
Dick Ambrose,9,1,0,0.0,0,0,0.0,--
John Anderson,9,3,22,7.33,9,0,0.5,--
Kim Anderson,9,2,25,12.5,25,0,0.0,--
George Andrews,9,0,0,0.0,0,0,3.0,--
Al Baker,9,0,0,0.0,0,0,8.5,--
Jesse Baker,9,0,0,0.0,0,0,7.5,--
Keith Baldwin,9,0,0,0.0,0,0,1.0,--
Chip Banks,9,1,14,14.0,14,0,5.5,--
Gary Barbaro,9,3,48,16.0,43,1,0.0,--
Benny Barnes,9,0,0,0.0,0,0,1.0,--
Bill Barnett,5,0,0,0.0,0,0,0.5,--
Jeff Barnes,9,0,0,0.0,0,0,1.5,--
Bob Baumhower,9,0,0,0.0,0,0,3.5,--
Tom Beasley,7,0,0,0.0,0,0,6.0,--
Mark Bell,9,0,0,0.0,0,0,1.0,--
Todd Bell,9,0,0,0.0,0,0,1.0,--
Barry Bennett,7,0,0,0.0,0,0,1.0,--
Rufus Bess,8,0,0,0.0,0,0,0.5,--
Elvin Bethea,9,0,0,0.0,0,0,1.0,--
Larry Bethea,8,0,0,0.0,0,0,2.0,--
Doug Betters,9,0,0,0.0,0,0,4.0,--
Gregg Bingham,7,1,8,8.0,8,0,3.0,--
Don Blackmon,9,2,7,3.5,7,0,4.5,--
Glenn Blackwood,9,2,42,21.0,35,1,2.0,--
Lyle Blackwood,9,2,41,20.5,21,0,1.0,--
Richard Blackmore,9,1,20,20.0,20,1,0.0,--
Matt Blair,9,0,0,0.0,0,0,1.5,--
Jerry Blanton,9,0,0,0.0,0,0,1.0,--
Mel Blount,9,1,2,2.0,2,0,0.0,--
Dwaine Board,1,0,0,0.0,0,0,0.5,--
Kim Bokamper,9,1,1,1.0,1,0,3.5,--
Ron Bolton,4,1,0,0.0,0,0,0.0,--
Ken Bordelon,9,0,0,0.0,0,0,1.0,--
Charles Bowser,9,0,0,0.0,0,0,2.0,--
Greg Bracelin,9,1,31,31.0,31,0,2.0,--
Scot Brantley,9,0,0,0.0,0,0,2.0,--
Robert Brazile,9,1,31,31.0,31,0,6.5,--
Louis Breeden,6,2,9,4.5,9,0,1.0,--
Bob Breunig,9,1,1,1.0,1,0,1.5,--
Perry Brooks,5,0,0,0.0,0,0,1.0,--
Cedric Brown,9,3,31,10.33,24,0,0.0,--
Dave Brown,9,1,3,3.0,3,0,0.0,--
Dave Browning,5,0,0,0.0,0,0,1.0,--
Greg Brown,9,0,0,0.0,0,0,4.0,--
Ross Browner,9,1,29,29.0,29,0,3.0,--
Rush Brown,9,0,0,0.0,0,0,3.0,--
Bob Brudzinski,9,1,5,5.0,5,0,4.5,--
Jeff Bryant,9,0,0,0.0,0,0,3.0,--
John Bunting,9,1,0,0.0,0,0,3.0,--
Clinton Burrell,9,1,14,14.0,14,1,2.0,--
James Burroughs,8,1,94,94.0,94,1,0.0,--
Lloyd Burruss,9,1,25,25.0,25,0,0.0,--
Jim Burt,4,0,0,0.0,0,0,1.0,--
Bobby Butler,9,2,0,0.0,0,0,0.0,--
Keith Butler,8,0,0,0.0,0,0,2.0,--
Mike Butler,9,0,0,0.0,0,0,2.0,--
Greg Buttle,7,1,9,9.0,9,0,0.0,--
Dave Butz,9,0,0,0.0,0,0,4.5,--
Gary Campbell,9,0,0,0.0,0,0,1.0,--
Harry Carson,9,1,6,6.0,6,0,3.0,--
Barney Chavous,9,0,0,0.0,0,0,5.0,--
Bruce Clark,9,0,0,0.0,0,0,5.5,--
Ken Clarke,9,0,0,0.0,0,0,4.5,--
Raymond Clayborn,9,1,26,26.0,26,0,0.0,--
Dextor Clinkscale,9,1,0,0.0,0,0,2.0,--
Garry Cobb,6,2,12,6.0,12,0,0.0,--
Robin Cole,9,0,0,0.0,0,0,5.0,--
Glen Collins,7,0,0,0.0,0,0,1.0,--
Neal Colzie,9,3,64,21.33,51,0,2.0,--
Johnie Cooks,9,0,0,0.0,0,0,1.5,--
John Corker,3,0,0,0.0,0,0,1.0,--
Tom Cousineau,9,1,6,6.0,6,0,1.0,--
Bob Crable,9,0,0,0.0,0,0,1.0,--
Nolan Cromwell,9,3,33,11.0,21,0,0.0,--
George Crump,9,0,0,0.0,0,0,1.0,--
George Cumby,9,1,4,4.0,4,0,0.0,--
Bill Currier,9,1,0,0.0,0,0,2.0,--
Buddy Curry,9,1,0,0.0,0,0,1.0,--
James Davis,9,2,107,53.5,55,1,1.0,--
Mike Davis,9,1,56,56.0,56,1,2.5,--
Mike Dawson,9,1,0,0.0,0,0,3.5,--
Fred Dean,9,0,0,0.0,0,0,3.5,--
Vernon Dean,9,3,62,20.67,26,0,0.0,--
Jeff Delaney,8,0,0,0.0,0,0,1.0,--
Anthony Dickerson,9,1,4,4.0,4,0,2.5,--
Hanford Dixon,9,4,22,5.5,22,0,1.0,--
Reggie Doss,9,0,0,0.0,0,0,4.0,--
Mike Douglass,9,2,55,27.5,30,0,3.0,--
Michael Downs,9,1,22,22.0,22,0,1.0,--
Don Dufek,9,1,16,16.0,16,0,0.0,--
A.J. Duhe,9,1,0,0.0,0,0,2.0,--
Gary Dunn,9,0,0,0.0,0,0,6.0,--
John Dutton,9,0,0,0.0,0,0,2.0,--
Kenny Easley,8,4,48,12.0,44,0,2.0,--
Eddie Edwards,9,0,0,0.0,0,0,6.0,--
Herman Edwards,9,5,3,0.6,3,0,0.0,--
Joe Ehrmann,9,0,0,0.0,0,0,3.0,--
Carl Ekern,3,1,9,9.0,9,0,0.0,--
Neil Elshire,5,0,0,0.0,0,0,1.0,--
Doug English,9,0,0,0.0,0,0,4.5,--
Mike Fanning,8,0,0,0.0,0,0,5.0,--
Gary Fencik,9,2,2,1.0,2,0,0.0,--
Keith Ferguson,9,0,0,0.0,0,0,4.5,--
Jeff Fisher,9,3,19,6.33,19,0,0.0,--
Judson Flint,9,1,0,0.0,0,0,0.0,--
Tim Fox,7,4,103,25.75,35,0,0.0,--
Elvis Franks,9,0,0,0.0,0,0,2.0,--
Leslie Frazier,9,2,0,0.0,0,0,1.0,--
Steve Freeman,9,3,27,9.0,14,0,1.0,--
Mike Fuller,9,1,0,0.0,0,0,0.0,--
Blane Gaison,9,1,0,0.0,0,0,0.0,--
David Galloway,5,0,0,0.0,0,0,2.0,--
Russell Gary,9,2,25,12.5,19,0,3.0,--
Mark Gastineau,9,0,0,0.0,0,0,6.0,--
William Gay,9,1,7,7.0,7,0,5.0,--
Bob Glazebrook,9,1,10,10.0,10,0,0.0,--
Bob Golic,6,0,0,0.0,0,0,4.0,--
John Goodman,9,0,0,0.0,0,0,1.5,--
Larry Gordon,9,1,15,15.0,15,0,3.0,--
Randy Gradishar,9,0,0,0.0,0,0,2.0,--
Darryl Grant,9,0,0,0.0,0,0,2.5,--
Hector Gray,8,1,5,5.0,5,0,0.0,--
Johnnie Gray,9,1,21,21.0,21,0,0.0,--
Curtis Green,7,0,0,0.0,0,0,1.0,--
Gary Green,9,2,42,21.0,42,1,0.0,--
Hugh Green,9,1,31,31.0,31,0,2.3,--
Jacob Green,9,0,0,0.0,0,0,3.0,--
Ken Greene,8,1,2,2.0,2,0,0.0,--
Curtis Greer,9,0,0,0.0,0,0,7.5,--
Bob Gregor,4,1,6,6.0,6,0,0.0,--
Jeff Griffin,9,1,8,8.0,8,0,0.0,--
Ray Griffin,9,1,21,21.0,21,0,0.0,--
Elois Grooms,9,0,0,0.0,0,0,4.5,--
Carl Hairston,9,0,0,0.0,0,0,4.0,--
Alvin Hall,9,1,2,2.0,2,0,0.0,--
Jack Ham,8,1,2,2.0,2,0,3.0,--
Dan Hampton,9,0,0,0.0,0,0,9.0,--
Mike Harden,5,2,3,1.5,3,0,0.0,--
Robert Hardy,8,0,0,0.0,0,0,2.0,--
Willie Harper,5,1,0,0.0,0,0,0.0,--
Al Harris,8,0,0,0.0,0,0,3.5,--
Bo Harris,9,1,62,62.0,62,1,2.0,--
Dennis Harrison,9,0,0,0.0,0,0,10.5,--
Eric Harris,8,3,66,22.0,56,1,0.0,--
John Harris,9,4,33,8.25,18,0,0.0,--
Marshall Harris,9,0,0,0.0,0,0,1.5,--
Mike Hartenstine,9,0,0,0.0,0,0,3.0,--
