Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Bob Adkins,2,35,17.5,--,1,--,--
Ki Aldrich,1,34,34.0,--,0,--,--
Jay Arnold,1,4,4.0,--,0,--,--
Frank Balasz,1,1,1.0,--,0,--,--
Len Barnum,2,48,24.0,--,0,--,--
Sammy Baugh,3,84,28.0,--,0,--,--
Charlie Brock,3,7,2.33,--,0,--,--
Lou Brock,5,116,23.2,--,0,--,--
Larry Buhler,2,58,29.0,--,0,--,--
Joe Bukant,1,10,10.0,--,0,--,--
Bill Callihan,2,18,9.0,--,0,--,--
Tony Calvelli,2,51,25.5,--,1,--,--
Lloyd Cardwell,4,17,4.25,--,0,--,--
Chuck Cherundolo,1,0,0.0,--,0,--,--
Beryl Clark,2,58,29.0,--,0,--,--
Harry Clarke,4,62,15.5,--,1,--,--
Merl Condit,2,7,3.5,--,0,--,--
Bill Conkright,1,0,0.0,--,0,--,--
Oliver Cordill,1,2,2.0,--,0,--,--
Larry Craig,1,0,0.0,--,0,--,--
Ward Cuff,2,16,8.0,--,0,--,--
Johnny Dell Isola,1,16,16.0,--,0,--,--
Johnny Drake,1,2,2.0,--,0,--,--
Nello Falaschi,1,23,23.0,--,0,--,--
Gary Famiglietti,4,18,4.5,--,0,--,--
Dick Farman,1,0,0.0,--,0,--,--
Bill Feldhaus,1,10,10.0,--,0,--,--
Frank Filchock,4,1,0.25,--,0,--,--
Dan Fortmann,1,7,7.0,--,0,--,--
Sam Francis,1,7,7.0,--,0,--,--
Marshall Goldberg,2,15,7.5,--,0,--,--
Buckets Goldenberg,1,5,5.0,--,0,--,--
Tom Greenfield,1,5,5.0,--,0,--,--
Johnny Hall,1,50,50.0,--,1,--,--
Parker Hall,2,0,0.0,--,0,--,--
Johnny Haman,5,80,16.0,--,1,--,--
Chuck Hanneman,2,34,17.0,--,0,--,--
Ken Heineman,1,5,5.0,--,0,--,--
Mel Hein,2,15,7.5,--,0,--,--
Arnie Herber,2,0,0.0,--,0,--,--
Clarke Hinkle,2,11,5.5,--,0,--,--
Bob Hoffman,1,6,6.0,--,0,--,--
Jim Lee Howell,1,0,0.0,--,0,--,--
Don Hutson,6,24,4.0,--,0,--,--
Cecil Isbell,2,14,7.0,--,0,--,--
Bert Johnson,2,49,24.5,--,0,--,--
Jimmy Johnston,1,65,65.0,--,1,--,--
Ed Justice,1,14,14.0,--,0,--,--
Ben Kish,2,0,0.0,--,0,--,--
Elmer Kolberg,1,15,15.0,--,0,--,--
Joe Kuharich,2,9,4.5,--,0,--,--
Bill Leckonby,3,29,9.67,--,0,--,--
Bill Lee,1,14,14.0,--,0,--,--
Tuffy Leemans,1,0,0.0,--,0,--,--
Sid Luckman,3,17,5.67,--,0,--,--
Dante Magnani,3,59,19.67,--,0,--,--
Jack Manders,1,27,27.0,--,0,--,--
Pug Manders,1,15,15.0,--,0,--,--
Joe Maniaci,2,38,19.0,--,1,--,--
George McAfee,4,50,12.5,--,0,--,--
Hugh McCullough,5,68,13.6,--,0,--,--
Banks McFadden,2,40,20.0,--,0,--,--
Ray McLean,1,5,5.0,--,0,--,--
Jim Meade,1,0,0.0,--,0,--,--
Eddie Miller,2,5,2.5,--,0,--,--
Wilbur Moore,1,0,0.0,--,0,--,--
Glen Morris,1,20,20.0,--,0,--,--
Fran Murray,2,10,5.0,--,0,--,--
Chuck Newton,1,12,12.0,--,0,--,--
Armand Niccolai,1,5,5.0,--,0,--,--
Ray Nolting,3,18,6.0,--,0,--,--
John Noppenberg,1,27,27.0,--,0,--,--
Davey O'Brien,4,92,23.0,--,0,--,--
Doug Oldershaw,4,48,12.0,--,0,--,--
Ace Parker,6,146,24.33,--,1,--,--
Buddy Parker,2,20,10.0,--,0,--,--
Erny Pinckert,2,26,13.0,--,0,--,--
Dom Principe,1,12,12.0,--,0,--,--
Red Ramsey,1,5,5.0,--,0,--,--
Hank Rockwell,3,7,2.33,--,0,--,--
Kent Ryan,6,65,10.83,--,0,--,--
Herm Schneidman,1,48,48.0,--,0,--,--
Bob Seymour,1,13,13.0,--,0,--,--
Lee Shaffer,4,14,3.5,--,0,--,--
Solly Sherman,2,0,0.0,--,0,--,--
Rhoten Shetley,1,37,37.0,--,0,--,--
John Shirk,1,8,8.0,--,0,--,--
Johnny Siegal,1,20,20.0,--,0,--,--
Dwight Sloan,1,4,4.0,--,0,--,--
Marty Slovak,2,20,10.0,--,0,--,--
Gaylon Smith,3,48,16.0,--,0,--,--
Hank Soar,2,27,13.5,--,0,--,--
Vic Spadaccini,3,83,27.67,--,1,--,--
Frank Sullivan,1,0,0.0,--,0,--,--
Earl Svendsen,2,13,6.5,--,0,--,--
George Svendsen,1,6,6.0,--,0,--,--
Tommy Thompson,3,23,7.67,--,0,--,--
Gaynell Tinsley,2,10,5.0,--,0,--,--
Dick Todd,2,3,1.5,--,0,--,--
Bulldog Turner,1,9,9.0,--,0,--,--
Andy Uram,3,27,9.0,--,0,--,--
Hal Van Every,3,30,10.0,--,0,--,--
Dick Weisgerber,4,51,12.75,--,0,--,--
Howie Weiss,2,14,7.0,--,0,--,--
Whizzer White,4,37,9.25,--,0,--,--
John Wiethe,1,8,8.0,--,0,--,--
Alex Wojciechowicz,3,20,6.67,--,1,--,--
Lou Zontini,1,20,20.0,--,0,--,--
