Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Verlin Adams,1,3,3.0,--,0,--,--
Sammy Baugh,4,114,28.5,--,0,--,--
Ernie Bonelli,1,23,23.0,--,0,--,--
Charlie Brock,4,122,30.5,--,2,--,--
Lou Brock,3,33,11.0,--,0,--,--
Johnny Butler,1,32,32.0,--,0,--,--
Larry Cabrelli,1,1,1.0,--,0,--,--
George Cafego,1,2,2.0,--,0,--,--
Bill Callihan,2,8,4.0,--,0,--,--
Leo Cantor,5,70,14.0,--,0,--,--
Chuck Cherundolo,1,17,17.0,--,0,--,--
Irv Comp,2,67,33.5,--,1,--,--
Bernie Crimmins,1,12,12.0,--,1,--,--
Joe Crowley,1,45,45.0,--,0,--,--
Ward Cuff,1,15,15.0,--,0,--,--
Bob Davis,6,28,4.67,--,0,--,--
Al DeMao,1,44,44.0,--,0,--,--
Chuck DeShane,3,75,25.0,--,1,--,--
Babe Dimancheff,1,0,0.0,--,0,--,--
Ted Doyle,1,50,50.0,--,1,--,--
Bill Dudley,2,47,23.5,--,0,--,--
Dick Erdlitz,1,3,3.0,--,0,--,--
Chuck Fenenbock,1,10,10.0,--,0,--,--
Jack Ferrante,1,15,15.0,--,0,--,--
Frank Filchock,1,0,0.0,--,0,--,--
Ted Fritsch,1,69,69.0,--,1,--,--
Hugh Gallarneau,2,6,3.0,--,0,--,--
Fred Gehrke,4,16,4.0,--,0,--,--
Jim Gillette,4,8,2.0,--,0,--,--
John Greene,3,65,21.67,--,0,--,--
Johnny Grigas,1,3,3.0,--,0,--,--
Al Grygo,3,9,3.0,--,0,--,--
Pete Gudauskas,1,0,0.0,--,0,--,--
Scott Gudmundson,2,23,11.5,--,0,--,--
Roger Harding,1,16,16.0,--,0,--,--
Mel Hein,2,7,3.5,--,0,--,--
Jack Hinkle,1,17,17.0,--,0,--,--
Don Hutson,4,15,3.75,--,0,--,--
Jack Itzel,1,13,13.0,--,0,--,--
Pop Ivy,1,0,0.0,--,0,--,--
Art Jones,1,17,17.0,--,0,--,--
Harvey Jones,2,73,36.5,--,0,--,--
Al Kaporch,1,14,14.0,--,0,--,--
Abe Karnofsky,1,27,27.0,--,0,--,--
Ben Kish,1,0,0.0,--,0,--,--
Joe Laws,3,60,20.0,--,0,--,--
Frank Liebel,1,17,17.0,--,0,--,--
Sonny Liles,1,6,6.0,--,0,--,--
Vic Lindskog,1,22,22.0,--,0,--,--
Augie Lio,3,42,14.0,--,0,--,--
Howie Livingston,3,65,21.67,--,0,--,--
Al Lolotai,1,0,0.0,--,0,--,--
Elmer Madarik,1,40,40.0,--,0,--,--
Jim Magee,1,6,6.0,--,0,--,--
Pug Manders,3,5,1.67,--,0,--,--
Bob Margarita,6,79,13.17,--,0,--,--
Frank Martin,1,0,0.0,--,0,--,--
John Martin,1,10,10.0,--,0,--,--
Ned Mathews,3,42,14.0,--,0,--,--
Riley Matheson,2,49,24.5,--,0,--,--
George McAfee,1,13,13.0,--,0,--,--
Roy McKay,3,33,11.0,--,0,--,--
Ray McLean,1,0,0.0,--,0,--,--
Mike Micka,1,0,0.0,--,0,--,--
John Morelli,1,10,10.0,--,0,--,--
Russ Mosley,1,20,20.0,--,0,--,--
Robert Nelson,1,0,0.0,--,0,--,--
Leon Pense,3,39,13.0,--,0,--,--
John Petchel,1,4,4.0,--,0,--,--
John Petrella,1,8,8.0,--,0,--,--
Bill Petrilas,2,1,0.5,--,0,--,--
Jim Poole,1,28,28.0,--,0,--,--
Cotton Price,1,16,16.0,--,0,--,--
Phil Ragazzo,1,7,7.0,--,0,--,--
Walt Rankin,1,0,0.0,--,0,--,--
Albie Reisz,2,55,27.5,--,0,--,--
Ralph Ruthstrom,1,46,46.0,--,0,--,--
Dave Ryan,3,90,30.0,--,0,--,--
Frank Sachse,2,25,12.5,--,0,--,--
Mike Scarry,4,32,8.0,--,0,--,--
Frank Seno,1,0,0.0,--,0,--,--
Bob Seymour,4,28,7.0,--,0,--,--
George Smith,2,23,11.5,--,0,--,--
Cliff Speegle,2,13,6.5,--,0,--,--
Ben Starret,1,27,27.0,--,0,--,--
Ernie Steele,1,15,15.0,--,0,--,--
Ken Steinmetz,1,0,0.0,--,0,--,--
Bob Swisher,1,0,0.0,--,0,--,--
Frank Szymanski,1,11,11.0,--,0,--,--
Damon Tassos,3,49,16.33,--,0,--,--
Tommy Thompson,2,33,16.5,--,0,--,--
Pete Tinsley,1,6,6.0,--,0,--,--
Sid Tinsley,1,--,0,--,--
Dick Todd,4,35,8.75,--,0,--,--
Ivan Trebotich,3,46,15.33,--,0,--,--
Steve Van Buren,1,2,2.0,--,0,--,--
Larry Visnic,1,3,3.0,--,0,--,--
Buss Warren,1,19,19.0,--,0,--,--
Bob Waterfield,6,92,15.33,--,0,--,--
Marv Whited,1,12,12.0,--,0,--,--
Joe Winkler,1,5,5.0,--,0,--,--
Roy Zimmerman,7,90,12.86,--,0,--,--
