Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Herb Adderley,14,3,69,23.0,30,0,--,--
Kermit Alexander,14,4,47,11.75,25,1,--,--
Chuck Allen,14,4,48,12.0,30,0,--,--
Grady Allen,14,1,0,0.0,0,0,--,--
Dick Anderson,14,8,191,23.88,86,0,--,--
Billy Andrews,14,1,25,25.0,25,1,--,--
Al Atkinson,14,3,50,16.67,32,0,--,--
Bob Atkins,14,1,7,7.0,7,0,--,--
George Atkinson,14,3,35,11.67,22,0,--,--
Ocie Austin,7,1,22,22.0,22,0,--,--
Ken Avery,14,1,5,5.0,5,0,--,--
Ralph Baker,14,2,8,4.0,8,0,--,--
Erich Barnes,14,5,85,17.0,38,1,--,--
Lem Barney,13,7,168,24.0,49,2,--,--
Pete Barnes,14,3,22,7.33,15,0,--,--
Mike Bass,14,4,37,9.25,22,0,--,--
Maxie Baughan,10,1,3,3.0,3,0,--,--
Chuck Beatty,12,2,49,24.5,30,1,--,--
Al Beauchamp,14,1,2,2.0,2,0,--,--
Joe Beauchamp,13,1,25,25.0,25,0,--,--
Bobby Bell,14,3,57,19.0,45,1,--,--
Duane Benson,14,1,14,14.0,14,0,--,--
Bill Bergey,14,3,35,11.67,26,0,--,--
Mel Blount,14,1,4,4.0,4,0,--,--
Garland Boyette,13,1,18,18.0,18,0,--,--
John Bramlett,12,1,16,16.0,16,0,--,--
Dean Brown,5,1,32,32.0,32,0,--,--
Willie Brown,8,3,0,0.0,0,0,--,--
Ross Brupbacher,14,2,17,8.5,10,0,--,--
Bobby Bryant,11,3,40,13.33,39,1,--,--
Doug Buffone,14,4,33,8.25,16,0,--,--
Jackie Burkett,14,4,36,9.0,16,0,--,--
Dick Butkus,14,3,0,0.0,0,0,--,--
Butch Byrd,14,4,63,15.75,33,1,--,--
Lee Calland,14,7,38,5.43,21,0,--,--
Fred Carr,14,2,45,22.5,28,0,--,--
Edgar Chandler,14,1,59,59.0,59,1,--,--
John Charles,8,1,25,25.0,25,0,--,--
Phil Clark,13,1,32,32.0,32,0,--,--
Tony Cline,14,1,0,0.0,0,0,--,--
Mike Curtis,14,5,50,10.0,18,0,--,--
Tom Curtis,10,1,0,0.0,0,0,--,--
Dick Daniels,13,2,29,14.5,16,0,--,--
Ben Davis,7,1,0,0.0,0,0,--,--
Butch Davis,10,1,0,0.0,0,0,--,--
Ted Davis,14,1,15,15.0,15,0,--,--
Steve DeLong,14,1,5,5.0,5,0,--,--
Tom Domres,14,0,13,0.0,13,0,--,--
Jim Duncan,14,2,56,28.0,30,0,--,--
Ken Dyer,12,3,45,15.0,22,0,--,--
Scott Eaton,8,2,8,4.0,8,0,--,--
Dave Edwards,13,2,2,1.0,2,0,--,--
Ken Ellis,13,3,69,23.0,60,0,--,--
Miller Farr,14,5,38,7.6,19,1,--,--
Jim Files,14,1,8,8.0,8,0,--,--
Pat Fischer,14,2,13,6.5,10,0,--,--
Mike Freeman,14,1,3,3.0,3,0,--,--
Johnny Fuller,14,1,20,20.0,20,0,--,--
John Garlington,11,1,6,6.0,6,0,--,--
Cornell Gordon,14,3,26,8.67,24,0,--,--
Kenny Graham,5,3,31,10.33,31,0,--,--
Bob Grant,14,2,39,19.5,27,1,--,--
Larry Grantham,14,3,51,17.0,41,1,--,--
Dave Grayson,14,1,25,25.0,25,0,--,--
Cornell Green,14,1,59,59.0,59,0,--,--
Charlie Greer,14,4,20,5.0,15,0,--,--
Chris Hanburger,14,1,12,12.0,12,0,--,--
Larry Hand,14,1,62,62.0,62,1,--,--
Don Hansen,14,1,15,15.0,15,0,--,--
Cliff Harris,11,2,66,33.0,60,0,--,--
Rickie Harris,14,3,67,22.33,25,0,--,--
Doug Hart,14,3,114,38.0,76,1,--,--
Tommy Hart,14,1,0,0.0,0,0,--,--
Ed Hayes,4,1,2,2.0,2,0,--,--
Matt Hazeltine,14,1,6,6.0,6,0,--,--
Ralph Heck,14,1,3,3.0,3,0,--,--
Ted Hendricks,14,1,31,31.0,31,0,--,--
W.K. Hicks,14,8,99,12.38,35,0,--,--
Wally Hilgenberg,14,2,33,16.5,17,0,--,--
Jerry Hillebrand,12,2,14,7.0,14,0,--,--
Hugo Hollas,11,5,79,15.8,29,0,--,--
Gus Hollomon,14,3,11,3.67,8,0,--,--
Jim Houston,14,1,25,25.0,25,0,--,--
Ken Houston,14,3,32,10.67,9,0,--,--
Bob Howard,14,2,19,9.5,19,0,--,--
Delles Howell,13,3,28,9.33,28,0,--,--
Mike Howell,14,1,0,0.0,0,0,--,--
Chuck Howley,14,2,18,9.0,17,0,--,--
Claude Humphrey,12,1,5,5.0,5,0,--,--
Jon Jaqua,14,1,25,25.0,25,0,--,--
Bob Jeter,14,3,27,9.0,18,0,--,--
Curtis Johnson,14,3,29,9.67,21,0,--,--
Daryl Johnson,14,2,51,25.5,42,0,--,--
Jimmy Johnson,14,2,36,18.0,36,1,--,--
Walter Johnson,14,1,4,4.0,4,0,--,--
Ray Jones,12,2,17,8.5,17,0,--,--
Lee Roy Jordan,14,1,6,6.0,6,0,--,--
Karl Kassulke,14,3,22,7.33,11,0,--,--
Jim Kearney,14,4,28,7.0,15,0,--,--
Ernie Kellermann,14,1,18,18.0,18,0,--,--
Steve Kiner,14,1,28,28.0,28,0,--,--
Paul Krause,14,6,90,15.0,40,0,--,--
Willie Lanier,14,2,2,1.0,2,0,--,--
Bill Laskey,14,1,0,0.0,0,0,--,--
Al Lavan,13,3,11,3.67,8,0,--,--
Dick LeBeau,14,9,96,10.67,43,0,--,--
Dale Lindsey,14,2,65,32.5,56,1,--,--
Carl Lockhart,14,4,51,12.75,25,0,--,--
