Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Neal Adams,1,66,66.0,--,1,--,--
Len Akin,1,0,0.0,--,0,--,--
Joe Allton,1,24,24.0,--,0,--,--
Ray Apolskis,2,15,7.5,--,0,--,--
Emil Banjavic,1,15,15.0,--,0,--,--
Vince Banonis,2,22,11.0,--,0,--,--
Len Barnum,1,11,11.0,--,0,--,--
Sammy Baugh,5,77,15.4,--,0,--,--
Jack Boone,1,4,4.0,--,0,--,--
Tony Bova,1,16,16.0,--,0,--,--
Larry Brahm,1,15,15.0,--,0,--,--
Charlie Brock,6,25,4.17,--,0,--,--
Lou Brock,2,32,16.0,--,0,--,--
Harry Buffington,1,10,10.0,--,0,--,--
Bill Callihan,3,29,9.67,--,0,--,--
Tony Canadeo,1,35,35.0,--,0,--,--
Leo Cantor,2,46,23.0,--,0,--,--
Lloyd Cardwell,2,40,20.0,--,0,--,--
Lloyd Cheatham,1,4,4.0,--,0,--,--
Chuck Cherundolo,1,3,3.0,--,0,--,--
John Chickerneo,1,2,2.0,--,0,--,--
Tommy Colella,1,10,10.0,--,0,--,--
Merl Condit,6,117,19.5,--,1,--,--
Bill Conkright,2,10,5.0,--,0,--,--
Russ Cotton,1,0,0.0,--,0,--,--
Gerry Courtney,1,32,32.0,--,0,--,--
Ward Cuff,1,43,43.0,--,0,--,--
Bill Daddio,1,4,4.0,--,0,--,--
Bob Davis,2,35,17.5,--,0,--,--
Corby Davis,1,3,3.0,--,0,--,--
Chuck Drulis,1,41,41.0,--,0,--,--
Bill Dudley,3,60,20.0,--,0,--,--
Gil Duggan,1,0,0.0,--,0,--,--
Dick Erdlitz,1,0,0.0,--,0,--,--
Gary Famiglietti,1,10,10.0,--,0,--,--
Andy Farkas,3,26,8.67,--,0,--,--
Dan Fortmann,4,40,10.0,--,0,--,--
Ed Gerber,1,0,0.0,--,0,--,--
Sloko Gill,1,9,9.0,--,0,--,--
Marshall Goldberg,3,39,13.0,--,0,--,--
Buckets Goldenberg,4,31,7.75,--,0,--,--
George Gonda,1,37,37.0,--,0,--,--
Ray Graves,1,0,0.0,--,0,--,--
Frank Grigonis,1,26,26.0,--,0,--,--
Johnny Hall,1,9,9.0,--,0,--,--
Parker Hall,3,60,20.0,--,0,--,--
Merle Hapes,3,49,16.33,--,0,--,--
Ray Hare,1,0,0.0,--,0,--,--
Ken Hayden,1,5,5.0,--,0,--,--
Mel Hein,1,2,2.0,--,0,--,--
Ed Hiemstra,1,9,9.0,--,0,--,--
Joe Hoague,1,15,15.0,--,0,--,--
Harry Hopp,1,0,0.0,--,0,--,--
Don Hutson,7,71,10.14,--,0,--,--
Bob Ingalls,1,23,23.0,--,1,--,--
Cecil Isbell,6,47,7.83,--,0,--,--
Jack Jacobs,4,22,5.5,--,0,--,--
Ed Justice,1,2,2.0,--,0,--,--
Johnny Knolla,1,28,28.0,--,0,--,--
Steve Lach,4,52,13.0,--,0,--,--
Hubbard Law,1,13,13.0,--,0,--,--
Joe Laws,3,67,22.33,--,0,--,--
Augie Lio,1,9,9.0,--,0,--,--
Sid Luckman,4,96,24.0,--,1,--,--
Pug Manders,2,23,11.5,--,0,--,--
Andy Marefos,1,11,11.0,--,0,--,--
John Martin,6,45,7.5,--,0,--,--
Riley Matheson,1,13,13.0,--,0,--,--
Al Matuza,2,8,4.0,--,0,--,--
Frank Maznicki,4,13,3.25,--,0,--,--
Ray McLean,3,74,24.67,--,0,--,--
Wilbur Moore,3,23,7.67,--,0,--,--
George Morris,2,7,3.5,--,0,--,--
Charlie O'Rourke,3,15,5.0,--,0,--,--
John Petty,1,7,7.0,--,0,--,--
George Platukis,1,12,12.0,--,0,--,--
John Polanski,1,20,20.0,--,0,--,--
Milt Popovich,1,6,6.0,--,0,--,--
Bosh Pritchard,3,23,7.67,--,0,--,--
Dick Riffle,4,59,14.75,--,0,--,--
Bobby Robertson,2,30,15.0,--,0,--,--
Tom Robertson,1,2,2.0,--,0,--,--
Hank Rockwell,1,58,58.0,--,0,--,--
Jack Sanders,1,8,8.0,--,0,--,--
Curt Sandig,5,94,18.8,--,0,--,--
Mickey Sanzotta,2,16,8.0,--,0,--,--
Bud Schwenk,1,21,21.0,--,0,--,--
Champ Seibold,1,3,3.0,--,1,--,--
Bob Seymour,3,39,13.0,--,0,--,--
Rhoten Shetley,1,7,7.0,--,0,--,--
Gaylon Smith,4,20,5.0,--,0,--,--
Hank Soar,3,31,10.33,--,0,--,--
Ernie Steele,2,49,24.5,--,0,--,--
Roy Stuart,1,25,25.0,--,0,--,--
Len Supulski,1,5,5.0,--,0,--,--
Earl Svendsen,1,18,18.0,--,0,--,--
Tommy Thompson,4,28,7.0,--,0,--,--
Wilfred Thorpe,1,5,5.0,--,0,--,--
Pete Tinsley,1,3,3.0,--,0,--,--
Bob Titchenal,1,19,19.0,--,0,--,--
Dick Todd,2,39,19.5,--,0,--,--
Andy Tomasic,2,75,37.5,--,0,--,--
Lou Tomasetti,1,23,23.0,--,0,--,--
Bulldog Turner,8,96,12.0,--,1,--,--
Andy Uram,2,18,9.0,--,0,--,--
Chet Wetterlund,1,0,0.0,--,0,--,--
George Wilson,1,2,2.0,--,1,--,--
Alex Wojciechowicz,2,5,2.5,--,0,--,--
