Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Solo Tackles,Tackle Assists,Total Tackles,Sacks,Sack Loss Yards Caused
Renaldo Hill,16,3,34,11.33,17,0,63,15,78,0.0,0.0
Chris Hope,16,4,53,13.25,39,0,63,15,78,1.0,0.0
David Thornton,15,0,0,0.0,0,0,60,18,78,0.0,0.0
Trent Cole,16,0,0,0.0,0,0,59,18,77,9.0,59.0
Tedy Bruschi,13,0,0,0.0,0,0,38,38,76,0.0,0.0
David Harris,11,0,0,0.0,0,0,53,23,76,1.0,9.0
Christopher Horton,14,3,13,4.33,10,0,57,19,76,1.0,8.0
Shaun Phillips,16,0,0,0.0,0,0,53,23,76,7.5,38.5
Josh Wilson,16,4,135,33.75,75,1,69,7,76,1.0,13.0
Richard Marshall,16,1,11,11.0,11,0,68,7,75,2.0,16.0
Brandon McDonald,16,5,146,29.2,98,1,64,11,75,0.0,0.0
Shaun Rogers,16,0,0,0.0,0,0,60,15,75,4.5,27.0
Nate Webster,13,0,0,0.0,0,0,50,25,75,2.0,9.0
Akin Ayodele,16,2,29,14.5,17,0,58,17,75,0.0,0.0
Ronde Barber,16,4,69,17.25,65,1,67,8,75,2.0,8.0
Antoine Cason,16,2,69,34.5,59,1,59,16,75,0.0,0.0
Brian Dawkins,16,1,25,25.0,25,0,64,11,75,3.0,22.0
Michael Griffin,16,7,172,24.57,83,1,55,20,75,1.0,4.0
Leon Hall,16,3,87,29.0,50,1,61,14,75,0.0,0.0
Mike Brown,15,2,0,0.0,0,0,58,16,74,1.0,5.0
DeAngelo Hall,15,5,37,7.4,21,0,63,11,74,0.5,0.5
Ken Hamlin,16,1,0,0.0,0,0,53,21,74,1.0,7.0
Adrian Wilson,15,2,37,18.5,28,0,60,14,74,2.5,20.5
Troy Polamalu,16,7,59,8.43,23,0,54,19,73,0.0,0.0
Justin Smith,16,1,0,0.0,0,0,50,23,73,7.0,51.0
Leigh Bodden,16,1,2,2.0,2,0,61,12,73,0.0,0.0
Michael Boley,16,1,16,16.0,16,0,63,10,73,0.0,0.0
Derrick Brooks,16,1,0,0,58,15,73,0.0,0.0
Brandon Carr,16,2,67,33.5,35,0,70,3,73,0.0,0.0
Keith Ellison,16,0,0,0.0,0,0,49,24,73,0.0,0.0
