Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Lindon Crow,3,40,13.33,34,0,--,--
Billy Atkins,1,6,6.0,6,0,--,--
Erich Barnes,4,90,22.5,30,1,--,--
Terry Barr,3,62,20.67,40,0,--,--
Eddie Bell,2,33,16.5,33,0,--,--
Tom Brookshier,1,0,0.0,0,0,--,--
Ray Brown,8,149,18.63,30,0,--,--
Don Burroughs,7,72,10.29,46,0,--,--
Jack Butler,9,81,9.0,19,0,--,--
Dick Campbell,1,58,58.0,58,0,--,--
Jack Christiansen,1,0,0.0,0,0,--,--
Gary Glick,2,60,30.0,20,0,--,--
Dick James,4,43,10.75,23,0,--,--
Dick Daugherty,1,12,12.0,12,1,--,--
James David,3,12,4.0,7,0,--,--
Milt Davis,4,40,10.0,28,0,--,--
Dean Derby,4,0,0.0,0,0,--,--
Bobby Dillon,6,134,22.33,46,1,--,--
Dale Dodrill,1,13,13.0,13,0,--,--
Chuck Drazenovich,2,16,8.0,12,0,--,--
Joe Fortunato,1,5,5.0,5,0,--,--
Bobby Freeman,3,21,7.0,19,0,--,--
Bill George,1,5,5.0,5,0,--,--
Dick Alban,5,25,5.0,16,0,--,--
Bobby Gordon,2,27,13.5,27,0,--,--
Hank Gremminger,3,15,5.0,14,0,--,--
Wayne Hansen,1,12,12.0,12,0,--,--
Jimmy Harris,4,51,12.75,14,0,--,--
Matt Hazeltine,3,30,10.0,17,1,--,--
Jack Hoffman,1,4,4.0,4,0,--,--
Chuck Howley,1,4,4.0,4,0,--,--
Bob Hudson,1,15,15.0,15,0,--,--
Sam Huff,2,23,11.5,15,0,--,--
Charlie Jackson,1,13,13.0,13,0,--,--
Bobby Joe Conrad,4,46,11.5,31,0,--,--
Jack Johnson,1,5,5.0,5,0,--,--
Carl Karilivacz,3,15,5.0,15,0,--,--
Bill Koman,1,5,5.0,5,0,--,--
Ken Konz,4,123,30.75,46,1,--,--
Walt Kowalczyk,1,2,2.0,2,0,--,--
Warren Lahr,1,25,25.0,25,0,--,--
Dick Lane,2,0,0.0,0,0,--,--
Yale Lary,3,70,23.33,31,0,--,--
Joe Lewis,1,8,8.0,8,0,--,--
Bob Long,2,28,14.0,25,0,--,--
Don Paul,4,80,20.0,36,0,--,--
Dick Lynch,2,24,12.0,13,0,--,--
Marv Matuszak,1,0,0.0,0,0,--,--
Jerry Mertens,2,16,8.0,11,0,--,--
Lou Michaels,2,6,3.0,6,1,--,--
Jack Morris,6,152,25.33,44,1,--,--
Andy Nelson,8,199,24.88,69,1,--,--
Ray Nitschke,1,2,2.0,2,0,--,--
Doyle Nix,3,5,1.67,5,0,--,--
Dick Nolan,5,30,6.0,13,0,--,--
Jerry Norton,1,0,0.0,0,0,--,--
Tom Scott,2,15,7.5,10,0,--,--
Bob Toneff,1,5,5.0,5,0,--,--
Bob Pellegrini,4,90,22.5,40,0,--,--
Bill Pellington,4,44,11.0,21,0,--,--
John Reger,1,3,3.0,3,0,--,--
Les Richter,3,26,8.67,16,0,--,--
Jimmy Ridlon,4,10,2.5,3,0,--,--
Lee Riley,1,8,8.0,8,0,--,--
Al Romine,1,0,0.0,0,0,--,--
Rocky Ryan,1,38,38.0,38,0,--,--
Leo Sanford,1,7,7.0,7,0,--,--
Joe Schmidt,6,69,11.5,25,0,--,--
Gary Lowe,2,25,12.5,25,0,--,--
Joe Scudero,2,25,12.5,14,0,--,--
Will Sherman,5,171,34.2,70,2,--,--
Don Shinnick,3,23,7.67,16,0,--,--
Jim Shofner,1,0,0.0,0,0,--,--
Bill Stits,3,3,1.0,2,0,--,--
Charlie Sumner,6,67,11.17,17,0,--,--
Harland Svare,1,25,25.0,25,0,--,--
John Symank,1,23,23.0,23,0,--,--
Carl Taseff,7,52,7.43,17,0,--,--
Jim Taylor,1,5,5.0,5,0,--,--
Jimmy Patton,11,183,16.64,42,0,--,--
Emlen Tunnell,1,8,8.0,8,0,--,--
Wayne Walker,1,33,33.0,33,1,--,--
Stan Wallace,3,16,5.33,9,0,--,--
Les Walters,1,19,19.0,19,0,--,--
Dave Whitsell,1,29,29.0,29,0,--,--
Jesse Whittenton,1,0,0.0,0,0,--,--
Abe Woodson,1,44,44.0,44,0,--,--
Junior Wren,3,36,12.0,29,0,--,--
Bert Zagers,2,59,29.5,34,0,--,--
Vic Zucco,3,13,4.33,13,0,--,--
