Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Tony Adamle,1,17,17.0,--,0,--,--
Alex Agase,1,14,14.0,--,0,--,--
Bennie Aldridge,1,0,0.0,--,0,--,--
Ray Apolskis,1,6,6.0,--,0,--,--
Neill Armstrong,3,4,1.33,--,0,--,--
Al Baldwin,5,35,7.0,--,0,--,--
Chuck Bednarik,1,9,9.0,--,0,--,--
Hardy Brown,1,16,16.0,--,0,--,--
Gail Bruce,1,4,4.0,--,0,--,--
George Buksar,6,79,13.17,--,0,--,--
Al Campana,1,0,0.0,--,0,--,--
John Cannady,2,23,11.5,--,0,--,--
Jim Cason,1,22,22.0,--,0,--,--
Sam Cathcart,3,58,19.33,--,0,--,--
Randy Clay,2,42,21.0,--,0,--,--
Rip Collins,1,7,7.0,--,0,--,--
George Connor,1,8,8.0,--,0,--,--
Russ Craft,7,70,10.0,--,0,--,--
Harper Davis,5,59,11.8,--,0,--,--
Jerry Davis,9,40,4.44,--,0,--,--
Don Doll,12,163,13.58,--,1,--,--
Bob Dove,1,0,0.0,--,0,--,--
Harry Dowda,4,28,7.0,--,1,--,--
Chuck Drazenovich,2,43,21.5,--,0,--,--
Wally Dreyer,5,62,12.4,--,1,--,--
Bill Dudley,2,3,1.5,--,0,--,--
Jim Finks,3,24,8.0,--,0,--,--
Bob Forte,1,5,5.0,--,0,--,--
Bobby Gage,4,64,16.0,--,0,--,--
Fred Gehrke,3,23,7.67,--,0,--,--
Earl Girard,1,6,6.0,--,0,--,--
Joe Golding,7,145,20.71,--,1,--,--
Rob Goode,2,29,14.5,--,0,--,--
Ken Gorgal,6,23,3.83,--,0,--,--
Visco Grgich,1,37,37.0,--,0,--,--
Howard Hartley,5,84,16.8,--,0,--,--
Hall Haynes,4,77,19.25,--,1,--,--
Hal Herring,2,12,6.0,--,0,--,--
Elroy Hirsch,4,28,7.0,--,0,--,--
John Hoffman,1,39,39.0,--,1,--,--
Darrell Hogan,1,3,3.0,--,0,--,--
Dick Huffman,0,6,0.0,--,0,--,--
Duke Iverson,3,26,8.67,--,1,--,--
Tommy James,9,69,7.67,--,0,--,--
Tom Keane,6,50,8.33,--,1,--,--
Bob Kennedy,1,11,11.0,--,0,--,--
Vito Kissell,2,7,3.5,--,0,--,--
Mal Kutner,3,31,10.33,--,0,--,--
Warren Lahr,8,99,12.38,--,2,--,--
Tom Landry,2,0,0.0,--,0,--,--
Pete Layden,3,40,13.33,--,0,--,--
Cliff Lewis,1,4,4.0,--,0,--,--
Woodley Lewis,12,275,22.92,--,0,--,--
Verl Lillywhite,1,11,11.0,--,0,--,--
Ray Lininger,3,20,6.67,--,0,--,--
Bobby Livingstone,3,61,20.33,--,0,--,--
Howie Livingston,5,126,25.2,--,1,--,--
Johnny Lujack,1,15,15.0,--,0,--,--
Chick Maggioli,8,165,20.63,--,0,--,--
Jim Martin,2,15,7.5,--,0,--,--
George McAfee,2,31,15.5,--,0,--,--
Thurman McGraw,1,4,4.0,--,0,--,--
Pat McHugh,4,34,8.5,--,0,--,--
Tom McWilliams,2,31,15.5,--,0,--,--
Kelley Mote,1,10,10.0,--,0,--,--
Joe Muha,2,40,20.0,--,1,--,--
Fred Naumetz,1,13,13.0,--,0,--,--
George Nicksich,3,31,10.33,--,0,--,--
Johnny O'Quinn,3,73,24.33,--,1,--,--
Dan Orlich,1,0,0.0,--,0,--,--
Jim Owens,1,25,25.0,--,1,--,--
Don Panciera,1,1,1.0,--,0,--,--
Don Paul,4,90,22.5,--,0,--,--
Don Paul,3,44,14.67,--,0,--,--
Don Phelps,1,9,9.0,--,0,--,--
Ray Poole,1,8,8.0,--,0,--,--
Jim Powers,5,42,8.4,--,0,--,--
Ed Quirk,2,5,2.5,--,0,--,--
Ray Ramsey,1,0,0.0,--,0,--,--
Frank Reagan,4,132,33.0,--,1,--,--
Herb Rich,3,45,15.0,--,1,--,--
Harmon Rowe,3,48,16.0,--,0,--,--
Eddie Saenz,1,0,0.0,--,0,--,--
Spec Sanders,13,199,15.31,--,0,--,--
Dan Sandifer,2,27,13.5,--,0,--,--
Otto Schnellbacher,8,99,12.38,--,0,--,--
Bill Schroll,2,8,4.0,--,0,--,--
Charles Schuette,1,0,0.0,--,0,--,--
Clarence Self,3,84,28.0,--,1,--,--
Ed Sharkey,1,7,7.0,--,0,--,--
Jerry Shipkey,2,34,17.0,--,0,--,--
Hal Shoener,1,14,14.0,--,0,--,--
George Sims,1,5,5.0,--,0,--,--
Frank Sinkovitz,2,24,12.0,--,0,--,--
Bob Smith,5,128,25.6,--,1,--,--
Frank Spaniel,1,29,29.0,--,1,--,--
Joe Spencer,1,0,0.0,--,0,--,--
Rebel Steiner,7,190,27.14,--,1,--,--
Billy Stone,6,56,9.33,--,0,--,--
Pete Stout,1,9,9.0,--,0,--,--
Bob Summerhays,1,0,0.0,--,0,--,--
Joe Sutton,8,67,8.38,--,0,--,--
Clay Tonnemaker,1,1,1.0,--,0,--,--
Emlen Tunnell,7,167,23.86,--,0,--,--
Vic Vasicek,1,52,52.0,--,0,--,--
Lowell Wagner,4,12,3.0,--,0,--,--
Doak Walker,1,40,40.0,--,0,--,--
Joe Watson,1,5,5.0,--,0,--,--
Gerry Weatherly,2,58,29.0,--,2,--,--
Norm Willey,1,41,41.0,--,1,--,--
Jerry Williams,3,39,13.0,--,0,--,--
Ab Wimberly,1,0,0.0,--,0,--,--
Pete Wissman,1,5,5.0,--,0,--,--
Alex Wizbicki,2,38,19.0,--,0,--,--
Alex Wojciechowicz,1,4,4.0,--,0,--,--
Dick Woodard,1,11,11.0,--,0,--,--
John Yonakor,1,10,10.0,--,0,--,--
Ernie Zalejski,2,81,40.5,--,1,--,--
