Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Herb Adderley,4,125,31.25,68,1,--,--
Kermit Alexander,4,73,18.25,55,0,--,--
George Andrie,1,6,6.0,6,1,--,--
Doug Atkins,1,3,3.0,3,0,--,--
Erich Barnes,4,128,32.0,54,0,--,--
Maxie Baughan,2,3,1.5,3,0,--,--
Walter Beach,1,0,0.0,0,0,--,--
Bobby Boyd,6,114,19.0,37,1,--,--
Jim Bradshaw,4,82,20.5,28,1,--,--
Rod Breedlove,2,10,5.0,9,0,--,--
Johnny Brewer,1,0,0.0,0,0,--,--
Barry Brown,1,7,7.0,7,0,--,--
Tom Brown,4,21,5.25,15,0,--,--
Jimmy Burson,2,20,10.0,15,0,--,--
Dick Butkus,1,3,3.0,3,0,--,--
Lee Roy Caffey,3,62,20.67,52,1,--,--
Lee Calland,3,6,2.0,6,0,--,--
John Campbell,2,6,3.0,6,0,--,--
Henry Carr,4,110,27.5,102,1,--,--
Jim Carroll,1,36,36.0,36,0,--,--
Clarence Childs,2,32,16.0,29,0,--,--
Ernie Clark,1,7,7.0,7,0,--,--
Billy Clay,1,0,0.0,0,0,--,--
Vince Costello,1,0,0.0,0,0,--,--
Irv Cross,1,60,60.0,60,1,--,--
Tommy Crutcher,1,15,15.0,15,0,--,--
Ted Davis,1,15,15.0,15,0,--,--
George Donnelly,2,16,8.0,16,0,--,--
Mike Dowdle,1,27,27.0,27,1,--,--
Dave Edwards,1,12,12.0,12,0,--,--
Ross Fichtner,8,152,19.0,58,1,--,--
Pat Fischer,1,40,40.0,40,0,--,--
Mike Fitzgerald,1,18,18.0,18,0,--,--
Joe Fortunato,1,3,3.0,3,0,--,--
Mike Gaechter,3,28,9.33,23,0,--,--
Dennis Gaubatz,2,12,6.0,10,0,--,--
Curtiss Gentry,1,0,0.0,0,0,--,--
Cornell Green,4,88,22.0,41,1,--,--
Hank Gremminger,1,0,0.0,0,0,--,--
Riley Gunnels,1,2,2.0,2,0,--,--
Dale Hackbart,5,73,14.6,41,1,--,--
Chris Hanburger,1,1,1.0,1,0,--,--
Rickie Harris,1,0,0.0,0,0,--,--
Wendell Harris,1,20,20.0,20,0,--,--
Doug Hart,1,40,40.0,40,1,--,--
Alvin Haymond,4,88,22.0,52,1,--,--
Matt Hazeltine,1,8,8.0,8,0,--,--
Jerry Hillebrand,1,31,31.0,31,1,--,--
Jim Houston,2,27,13.5,21,0,--,--
Mike Howell,8,62,7.75,29,0,--,--
Sam Huff,1,17,17.0,17,0,--,--
Steve Jackson,1,0,0.0,0,0,--,--
Bob Jeter,5,142,28.4,75,2,--,--
Bill Jobko,2,5,2.5,3,0,--,--
Jimmy Johnson,4,57,14.25,35,1,--,--
Deacon Jones,1,50,50.0,50,0,--,--
Lee Roy Jordan,1,49,49.0,49,1,--,--
