Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Steve Kiner,16,1,3,3.0,3,0,--,--
Linden King,14,1,3,3.0,3,0,--,--
Kurt Knoff,16,1,6,6.0,6,0,--,--
Aaron Kyle,16,3,20,6.67,17,0,--,--
Jack Lambert,16,4,41,10.25,24,0,--,--
Joe Lavender,16,1,0,0.0,0,0,--,--
Rolland Lawrence,16,6,76,12.67,44,0,--,--
Jim LeClair,16,1,11,11.0,11,0,--,--
Frank LeMaster,16,3,22,7.33,9,1,--,--
Tony Leonard,12,4,44,11.0,30,1,--,--
Dave Lewis,16,3,24,8.0,13,0,--,--
Eddie Lewis,16,3,17,5.67,11,0,--,--
Virgil Livers,13,3,86,28.67,60,1,--,--
Randy Logan,16,2,15,7.5,9,0,--,--
Woodrow Lowe,16,1,16,16.0,16,0,--,--
Derrel Luce,16,1,15,15.0,15,0,--,--
Steve Luke,16,2,91,45.5,63,1,--,--
Drew Mahalic,9,1,5,5.0,5,0,--,--
Bob Martin,16,2,32,16.0,26,0,--,--
Harvey Martin,16,1,7,7.0,7,0,--,--
Clay Matthews,15,1,5,5.0,5,0,--,--
Mike McCoy,16,3,34,11.33,23,0,--,--
Ron McDole,16,1,2,2.0,2,0,--,--
Odis McKinney,14,1,11,11.0,11,0,--,--
Fred McNeill,16,2,1,0.5,1,0,--,--
Rick Middleton,12,1,2,2.0,2,0,--,--
Melvin Morgan,15,1,64,64.0,64,0,--,--
Lloyd Mumphord,16,2,20,10.0,19,0,--,--
Tom Myers,16,6,167,27.83,97,1,--,--
Paul Naumoff,15,1,12,12.0,12,0,--,--
Steve Neils,16,1,18,18.0,18,0,--,--
Lee Nelson,16,1,0,--,--
Shane Nelson,16,3,69,23.0,40,0,--,--
Steve Nelson,14,5,104,20.8,37,0,--,--
Doug Nettles,16,1,0,0.0,0,0,--,--
Mark Nichols,15,1,0,0.0,0,0,--,--
Ricky Odom,3,2,19,9.5,19,0,--,--
Ed O'Neil,16,4,49,12.25,31,0,--,--
Burgess Owens,14,5,156,31.2,49,1,--,--
Lemar Parrish,11,4,21,5.25,23,0,--,--
Whitney Paul,16,3,21,7.0,10,0,--,--
Rod Perry,16,8,117,14.63,44,3,--,--
Scott Perry,13,3,59,19.67,39,2,--,--
Tony Peters,16,2,7,3.5,7,0,--,--
Charlie Phillips,16,6,121,20.17,42,1,--,--
Reggie Pinkney,13,1,22,22.0,22,0,--,--
Doug Plank,14,1,0,0.0,0,0,--,--
Tom Pridemore,16,1,0,0.0,0,0,--,--
Danny Reece,15,1,13,13.0,13,0,--,--
Frank Reed,16,1,38,38.0,38,0,--,--
Mike Reinfeldt,16,1,0,0.0,0,0,--,--
Bruce Rhodes,15,1,24,24.0,24,0,--,--
Ray Rhodes,13,3,74,24.67,41,0,--,--
Earnest Rhone,16,2,4,2.0,4,0,--,--
Ken Riley,16,3,33,11.0,17,0,--,--
Don Rives,16,2,8,4.0,8,0,--,--
Joe Rizzo,14,3,10,3.33,10,0,--,--
Vern Roberson,16,1,31,31.0,31,0,--,--
Charles Romes,16,2,95,47.5,85,1,--,--
Dave Rozumek,16,2,5,2.5,3,0,--,--
Deac Sanders,15,5,43,8.6,24,1,--,--
Lucius Sanford,16,1,41,41.0,41,0,--,--
Terry Schmidt,16,2,23,11.5,23,0,--,--
John Sciarra,16,1,21,21.0,21,0,--,--
Clarence Scott,16,3,15,5.0,7,0,--,--
Jake Scott,16,7,72,10.29,39,0,--,--
Dewey Selmon,16,1,0,0.0,0,0,--,--
Pete Shaw,16,2,0,0.0,0,0,--,--
Donnie Shell,16,3,21,7.0,20,0,--,--
Ron Shumon,13,1,48,48.0,48,0,--,--
Ed Simonini,16,2,4,2.0,3,0,--,--
Bill Simpson,16,5,82,16.4,28,0,--,--
Keith Simpson,13,2,40,20.0,40,1,--,--
Gerald Small,16,4,157,39.25,46,1,--,--
Perry Smith,16,3,6,2.0,6,0,--,--
Mo Spencer,16,4,83,20.75,37,0,--,--
Greg Stemrick,16,3,65,21.67,38,0,--,--
Ken Stone,14,9,139,15.44,33,0,--,--
Art Stringer,7,1,20,20.0,20,0,--,--
Hal Stringert,13,2,4,2.0,2,0,--,--
Shafer Suggs,16,3,61,20.33,32,0,--,--
