Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Ron Acks,14,1,11,11.0,11,0,--,--
Willie Alexander,11,3,3,1.0,3,0,--,--
Nate Allen,14,1,8,8.0,8,0,--,--
Dick Anderson,14,8,163,20.38,38,2,--,--
Ralph Anderson,13,2,3,1.5,3,0,--,--
Mark Arneson,14,1,13,13.0,13,0,--,--
Pete Athas,14,5,52,10.4,26,0,--,--
Al Atkinson,5,1,11,11.0,11,0,--,--
George Atkinson,14,3,48,16.0,36,0,--,--
Ken Avery,14,1,15,15.0,15,0,--,--
Bob Babich,14,1,48,48.0,48,0,--,--
Coy Bacon,12,1,80,80.0,80,1,--,--
Ralph Baker,14,4,51,12.75,22,1,--,--
Larry Ball,14,1,2,2.0,2,0,--,--
Benny Barnes,14,1,1,1.0,1,0,--,--
Lem Barney,14,4,130,32.5,38,0,--,--
Pete Barnes,12,1,0,0.0,0,0,--,--
Mike Bass,14,5,161,32.2,68,1,--,--
Al Beauchamp,14,3,4,1.33,4,0,--,--
Bobby Bell,14,1,24,24.0,24,0,--,--
Bill Bergey,14,3,50,16.67,22,0,--,--
Gregg Bingham,14,2,22,11.0,18,0,--,--
Joe Blahak,12,2,120,60.0,87,0,--,--
Mel Blount,14,4,82,20.5,24,0,--,--
Ron Bolton,14,6,65,10.83,56,0,--,--
Bill Bradley,14,4,21,5.25,18,0,--,--
Greg Brezina,14,3,51,17.0,36,0,--,--
Ray Brown,14,6,99,16.5,24,0,--,--
Terry Brown,14,1,63,63.0,63,1,--,--
Willie Brown,14,3,0,0,--,--
Bobby Bryant,14,7,105,15.0,46,1,--,--
Buck Buchanan,14,1,17,17.0,17,0,--,--
Doug Buffone,14,3,22,7.33,22,0,--,--
Dick Butkus,9,1,0,0.0,0,0,--,--
Jim Carter,14,3,44,14.67,42,1,--,--
Tommy Casanova,10,4,33,8.25,16,0,--,--
John Charles,4,2,74,37.0,39,0,--,--
Jim Cheyunski,13,3,31,10.33,31,0,--,--
Al Clark,14,1,5,5.0,5,0,--,--
Craig Clemons,14,2,30,15.0,30,0,--,--
Neal Craig,14,2,52,26.0,30,0,--,--
Chuck Crist,14,2,6,3.0,6,0,--,--
Mike Curtis,7,2,9,4.5,7,0,--,--
Thom Darden,11,1,36,36.0,36,0,--,--
Ben Davis,13,2,33,16.5,20,0,--,--
Henry Davis,14,2,23,11.5,15,0,--,--
Chuck Detwiler,10,1,0,0.0,0,0,--,--
John Dockery,10,1,0,0.0,0,0,--,--
John Douglas,14,1,0,0.0,0,0,--,--
Speedy Duncan,14,1,6,6.0,6,0,--,--
Clarence Duren,11,2,13,6.5,13,0,--,--
Sandy Durko,14,3,26,8.67,16,0,--,--
John Ebersole,13,1,0,0.0,0,0,--,--
Glen Edwards,14,6,186,31.0,86,1,--,--
Allan Ellis,14,1,12,12.0,12,0,--,--
Clarence Ellis,14,2,90,45.0,48,0,--,--
Ken Ellis,14,3,53,17.67,47,1,--,--
Dave Elmendorf,14,1,16,16.0,16,0,--,--
Chris Farasopoulos,9,1,1,1.0,1,0,--,--
Miller Farr,6,1,0,0.0,0,0,--,--
Joe Federspiel,13,1,1,1.0,1,0,--,--
Jim Files,14,1,22,22.0,22,0,--,--
Pat Fischer,14,3,99,33.0,67,0,--,--
Richmond Flowers,8,1,0,0.0,0,0,--,--
Tim Foley,11,2,22,11.0,15,0,--,--
Charlie Ford,13,2,50,25.0,41,0,--,--
Fred Forsberg,3,1,7,7.0,7,0,--,--
John Garlington,14,1,10,10.0,10,0,--,--
Leon Garror,4,1,0,0.0,0,0,--,--
Carl Gersbach,14,1,9,9.0,9,0,--,--
Tony Greene,14,1,0,0.0,0,0,--,--
Charlie Greer,10,1,1,1.0,1,0,--,--
Windlan Hall,14,1,0,0.0,0,0,--,--
Jack Ham,13,2,30,15.0,27,0,--,--
Chris Hanburger,14,1,45,45.0,45,0,--,--
Don Hansen,14,1,0,0.0,0,0,--,--
Cliff Harris,14,2,9,4.5,5,0,--,--
Dwight Harrison,14,5,117,23.4,38,1,--,--
Tom Hayes,14,4,142,35.5,65,2,--,--
Larry Hefner,14,1,3,3.0,3,0,--,--
Ted Hendricks,14,3,33,11.0,24,0,--,--
Wally Hilgenberg,13,1,6,6.0,6,0,--,--
Jim Hill,13,3,53,17.67,20,0,--,--
Pat Holmes,10,1,17,17.0,17,0,--,--
Ken Houston,14,6,32,5.33,22,0,--,--
Bob Howard,13,5,25,5.0,25,0,--,--
Delles Howell,14,4,76,19.0,41,0,--,--
Pat Hughes,11,3,13,4.33,11,0,--,--
Claude Humphrey,14,1,6,6.0,6,0,--,--
Gerald Irons,14,2,19,9.5,10,0,--,--
Bernard Jackson,14,1,0,0.0,0,0,--,--
Ernie Jackson,14,3,40,13.33,23,0,--,--
Honor Jackson,7,1,0,0.0,0,0,--,--
Robert James,13,1,0,0.0,0,0,--,--
Dick Jauron,14,4,208,52.0,95,1,--,--
Curtis Johnson,14,2,19,9.5,17,0,--,--
Jimmy Johnson,13,4,46,11.5,30,0,--,--
Levi Johnson,14,5,82,16.4,38,0,--,--
Calvin Jones,14,4,69,17.25,31,0,--,--
Lee Roy Jordan,14,6,78,13.0,31,1,--,--
Mike Kaczmarek,14,1,2,2.0,2,0,--,--
Jim Kearney,14,3,30,10.0,24,0,--,--
Ernie Kellermann,10,2,23,11.5,19,0,--,--
Rex Kern,14,2,22,11.0,22,0,--,--
Mike Kolen,14,2,54,27.0,29,0,--,--
Kelvin Korver,14,1,12,12.0,12,0,--,--
Paul Krause,14,4,28,7.0,24,0,--,--
Willie Lanier,14,3,47,15.67,29,1,--,--
Bill Laskey,11,2,3,1.5,3,0,--,--
Rolland Lawrence,14,1,81,81.0,81,0,--,--
Bivian Lee,14,3,23,7.67,12,0,--,--
Carl Lockhart,14,2,3,1.5,2,0,--,--
Randy Logan,14,5,38,7.6,30,0,--,--
Mike Lucci,11,4,50,12.5,21,0,--,--
Garry Lyle,14,5,62,12.4,24,0,--,--
Jim Lynch,14,1,9,9.0,9,0,--,--
Tom MacLeod,11,2,8,4.0,8,0,--,--
Jim Marsalis,10,2,36,18.0,36,0,--,--
Al Matthews,14,2,58,29.0,58,1,--,--
Ray May,11,1,1,1.0,1,0,--,--
Eddie McMillan,14,4,20,5.0,15,0,--,--
Jim Merlo,14,3,25,8.33,16,0,--,--
Leroy Mitchell,12,2,43,21.5,40,1,--,--
Derland Moore,13,1,0,0.0,0,0,--,--
Tom Myers,13,3,33,11.0,20,0,--,--
Billy Newsome,14,1,1,1.0,1,0,--,--
Frank Nunley,14,1,13,13.0,13,0,--,--
Ray Oldham,11,2,10,5.0,7,0,--,--
John Outlaw,7,2,48,24.0,45,1,--,--
Brig Owens,14,5,123,24.6,27,1,--,--
Burgess Owens,14,1,27,27.0,27,0,--,--
Joe Owens,14,1,3,3.0,3,0,--,--
Lemar Parrish,14,2,10,5.0,10,0,--,--
Mel Phillips,14,1,13,13.0,13,0,--,--
Tony Plummer,14,1,39,39.0,39,0,--,--
Steve Preece,14,2,25,12.5,25,0,--,--
Kerry Reardon,12,2,17,8.5,17,0,--,--
Ken Reaves,14,2,20,10.0,11,0,--,--
Rick Redman,11,1,1,1.0,1,0,--,--
Henry Reed,10,1,36,36.0,36,0,--,--
Mel Renfro,14,2,65,32.5,35,1,--,--
Jack Reynolds,14,2,52,26.0,49,0,--,--
Floyd Rice,5,1,8,8.0,8,0,--,--
Ken Riley,14,2,2,1.0,5,0,--,--
Jamie Rivers,10,1,11,11.0,11,0,--,--
Guy Roberts,14,4,55,13.75,27,0,--,--
Isiah Robertson,14,3,57,19.0,49,1,--,--
Dave Robinson,14,4,98,24.5,39,1,--,--
Mel Rogers,10,1,3,3.0,3,0,--,--
Tim Rossovich,13,1,9,9.0,9,0,--,--
John Rowser,14,6,131,21.83,71,1,--,--
Andy Russell,14,3,54,18.0,45,1,--,--
Bryant Salter,13,1,20,20.0,20,0,--,--
Clarence Scott,14,5,71,14.2,45,1,--,--
