Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Solo Tackles,Tackle Assists,Total Tackles,Sacks,Sack Loss Yards Caused
Zaire Franklin,17,2,4,2.0,4,0,93,80,173,3.5,20.0
Budda Baker,17,0,0,0.0,0,0,95,69,164,2.0,13.0
Jamien Sherwood,17,0,0,0.0,0,0,98,60,158,2.0,11.0
Robert Spillane,17,2,0,0.0,0,0,91,67,158,2.0,16.0
Roquan Smith,16,1,0,0.0,0,0,81,73,154,1.5,3.0
Zack Baun,16,1,0,0.0,0,0,93,58,151,3.5,23.0
Kaden Elliss,17,1,12,12.0,12,0,85,66,151,5.0,37.0
Daiyan Henley,17,1,4,4.0,4,0,84,63,147,1.0,1.0
Nick Cross,17,3,25,8.33,20,0,87,59,146,1.0,2.0
Jordyn Brooks,17,0,0,0.0,0,0,86,57,143,3.0,19.0
Germaine Pratt,17,2,26,13.0,24,0,80,63,143,0.0,0.0
E.J. Speed,15,1,12,12.0,12,0,93,49,142,0.0,0.0
Ernest Jones,16,1,12,12.0,12,0,77,61,138,0.5,3.5
Eric Kendricks,15,2,15,7.5,8,0,71,67,138,3.0,8.0
Kyzir White,17,1,0,0.0,0,0,60,77,137,2.5,14.5
Demario Davis,16,1,0,0.0,0,0,69,67,136,2.0,0.0
Christian Rozeboom,17,1,16,16.0,16,0,69,66,135,1.0,6.0
Bobby Wagner,17,0,0,0.0,0,0,75,57,132,2.0,12.5
Fred Warner,17,2,70,35.0,45,1,76,55,131,1.0,0.0
Jack Campbell,17,0,0,0.0,0,0,69,62,131,1.5,4.5
Kevin Byard,17,1,0,0.0,0,0,80,50,130,2.0,17.0
T.J. Edwards,17,1,0,0.0,0,0,79,50,129,4.0,24.0
Patrick Queen,17,0,0,0.0,0,0,65,64,129,1.0,4.0
Nakobe Dean,15,1,0,0.0,0,0,80,48,128,3.0,26.0
Lavonte David,17,1,7,7.0,7,0,76,46,122,5.5,43.5
Xavier Woods,17,3,70,23.33,33,0,72,47,119,0.0,0.0
Dorian Williams,17,0,0,0.0,0,0,68,49,117,0.0,0.0
Jeremy Chinn,17,1,0,0.0,0,0,73,44,117,2.0,17.0
Quincy Williams,17,0,0,0.0,0,0,74,42,116,2.0,22.0
Jahlani Tavai,17,1,0,0.0,0,0,58,57,115,1.0,7.0
Brandon Jones,16,3,74,24.67,37,0,79,36,115,0.0,0.0
Devin Lloyd,16,1,3,3.0,3,0,61,52,113,2.0,13.0
Blake Cashman,14,0,0,0.0,0,0,68,44,112,4.5,29.0
Grant Delpit,16,0,0,0.0,0,0,68,43,111,1.0,9.0
Quentin Lake,17,0,0,0.0,0,0,73,38,111,2.0,7.0
Tremaine Edmunds,17,1,0,0.0,0,0,60,50,110,1.0,7.0
Brian Branch,16,4,48,12.0,47,0,79,30,109,1.0,7.0
Julian Love,17,3,33,11.0,26,0,79,30,109,0.0,0.0
Foyesade Oluokun,13,1,0,0.0,0,0,60,48,108,1.0,9.0
DeShon Elliott,15,1,0,0.0,0,0,73,35,108,0.0,0.0
Tyrel Dodson,17,3,7,2.33,7,0,59,48,107,2.0,9.0
Kyle Hamilton,17,1,0,0.0,0,0,77,30,107,2.0,19.0
Micah McFadden,14,0,0,0.0,0,0,60,47,107,3.0,4.0
Cody Barton,17,2,71,35.5,56,0,53,53,106,1.5,2.5
Nick Bolton,16,1,0,0.0,0,0,73,33,106,3.0,28.0
Henry To'o To'o,15,1,0,0.0,0,0,54,51,105,1.5,0.5
Tre'von Moehrig,17,2,28,14.0,16,0,64,40,104,1.0,4.0
Logan Wilson,11,0,0,0.0,0,0,55,49,104,0.0,0.0
Terrel Bernard,13,2,1,0.5,1,0,55,49,104,1.0,6.0
Josh Metellus,17,2,16,8.0,12,0,63,40,103,0.0,0.0
Quay Walker,13,0,0,0.0,0,0,72,30,102,2.5,19.0
Jessie Bates III,17,4,55,13.75,55,1,62,40,102,1.0,1.0
Jaylon Jones,17,2,5,2.5,5,0,66,34,100,0.0,0.0
Frankie Luvu,17,1,0,0.0,0,0,54,45,99,8.0,46.0
Tyler Nubin,13,0,0,0.0,0,0,57,41,98,0.0,0.0
Jordan Poyer,16,0,0,0.0,0,0,51,47,98,0.0,0.0
Jalen Thompson,15,0,0,0.0,0,0,61,37,98,0.0,0.0
Devon Witherspoon,17,0,0,0.0,0,0,66,32,98,1.0,0.0
Isaiah McDuffie,17,0,0,0.0,0,0,46,51,97,0.5,0.0
Josey Jewell,12,1,0,0.0,0,0,51,46,97,3.5,25.5
Camryn Bynum,17,3,3,1.0,3,0,54,42,96,0.0,0.0
Minkah Fitzpatrick,17,1,25,25.0,25,0,62,34,96,0.0,0.0
Kenneth Murray,14,1,6,6.0,6,0,57,38,95,3.5,13.0
Drue Tranquill,16,0,0,0.0,0,0,54,40,94,2.0,11.0
Bobby Okereke,12,0,0,0.0,0,0,47,46,93,2.0,4.0
Mike Sainristil,17,2,38,19.0,38,0,62,31,93,0.0,0.0
Derwin James,16,1,2,2.0,2,0,60,33,93,5.5,35.0
Pete Werner,13,0,0,0.0,0,0,54,38,92,0.0,0.0
DeMarvion Overshown,13,1,23,23.0,23,1,56,34,90,5.0,32.0
Javon Bullard,15,0,0,0.0,0,0,61,29,90,0.0,0.0
Damar Hamlin,14,2,19,9.5,19,0,62,27,89,0.0,0.0
Isaiah Pola-Mao,17,0,0,0.0,0,0,57,32,89,1.0,8.0
Alontae Taylor,17,0,0,0.0,0,0,61,28,89,4.0,32.5
Xavier McKinney,17,8,128,16.0,48,0,60,28,88,1.0,8.0
Keisean Nixon,17,1,16,16.0,16,0,61,27,88,3.0,19.0
Tyrice Knight,16,0,0,0.0,0,0,41,47,88,1.5,9.5
Edgerrin Cooper,14,1,22,22.0,22,0,57,30,87,3.5,32.5
Jartavius Martin,16,1,29,29.0,29,0,50,37,87,0.0,0.0
Justin Reid,16,2,8,4.0,8,0,61,26,87,0.0,0.0
Harrison Smith,16,3,0,0.0,0,0,56,31,87,1.0,8.0
Riley Moss,14,1,0,0.0,0,0,65,21,86,0.0,0.0
Julian Blackmon,16,3,27,9.0,17,0,62,24,86,0.5,0.5
Deommodore Lenoir,15,2,33,16.5,33,0,53,32,85,0.0,0.0
Jason Pinnock,16,0,0,0.0,0,0,50,35,85,3.0,13.0
Tony Adams,15,1,0,0.0,0,0,42,42,84,1.0,0.0
DeAundre Alford,16,0,0,0.0,0,0,61,22,83,1.0,4.0
Kerby Joseph,17,9,99,11.0,33,1,58,25,83,0.0,0.0
Akeem Davis,17,1,12,12.0,12,0,41,41,82,0.0,0.0
Zyon McCollum,17,2,4,2.0,4,0,55,27,82,0.0,0.0
Taylor Rapp,14,2,5,2.5,5,0,48,34,82,0.0,0.0
Donovan Wilson,17,1,0,0.0,0,0,44,38,82,4.5,30.0
