Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Jack Butler,9,147,16.33,--,1,--,--
Dick Alban,4,13,3.25,--,0,--,--
Bennie Aldridge,5,85,17.0,--,0,--,--
Joe Arenas,2,29,14.5,--,0,--,--
Chuck Bednarik,6,116,19.33,--,1,--,--
Rex Berry,7,142,20.29,--,1,--,--
Les Bingaman,1,1,1.0,--,0,--,--
Bill Bishop,1,30,30.0,--,0,--,--
Bob Boyd,1,35,35.0,--,0,--,--
Monte Brethauer,1,17,17.0,--,0,--,--
Tom Brookshier,8,41,5.13,--,0,--,--
Hardy Brown,1,7,7.0,--,0,--,--
Dale Dodrill,1,3,3.0,--,0,--,--
Dave Hanner,1,2,2.0,--,0,--,--
John Cannady,1,33,33.0,--,0,--,--
Lew Carpenter,1,73,73.0,--,1,--,--
Tom Catlin,1,16,16.0,--,0,--,--
Jack Christiansen,12,238,19.83,--,1,--,--
Randy Clay,2,22,11.0,--,0,--,--
Jack Cloud,2,39,19.5,--,1,--,--
Russ Craft,4,46,11.5,--,0,--,--
Tony Curcillo,2,16,8.0,--,0,--,--
James David,4,50,12.5,--,0,--,--
Art DeCarlo,5,83,16.6,--,0,--,--
Bobby Dillon,9,112,12.44,--,1,--,--
Alex Agase,1,5,5.0,--,0,--,--
Don Doll,10,102,10.2,--,0,--,--
Harry Dowda,5,67,13.4,--,1,--,--
Jim Duncan,3,39,13.0,--,0,--,--
Jack Dwyer,2,31,15.5,--,1,--,--
George Figner,1,4,4.0,--,0,--,--
Dick Flanagan,2,23,11.5,--,0,--,--
Len Ford,1,0,0.0,--,0,--,--
Bill Forester,1,0,0.0,--,0,--,--
Sonny Gandee,1,0,0.0,--,0,--,--
Frank Gifford,1,66,66.0,--,1,--,--
Ken Gorgal,4,25,6.25,--,0,--,--
Fred Bruney,5,59,11.8,--,0,--,--
Norb Hecker,7,91,13.0,--,0,--,--
Claude Hipps,2,0,0.0,--,0,--,--
John Hoffman,1,27,27.0,--,0,--,--
Bob Hudson,3,74,24.67,--,0,--,--
Tommy James,5,21,4.2,--,0,--,--
Mike Jarmoluk,1,2,2.0,--,0,--,--
Marvin Johnson,4,39,9.75,--,0,--,--
Tom Keane,11,118,10.73,--,0,--,--
Don Kindt,6,172,28.67,--,1,--,--
Ken Konz,5,15,3.0,--,0,--,--
Warren Lahr,5,119,23.8,--,0,--,--
Walt Michaels,1,34,34.0,--,1,--,--
Dick Lane,3,9,3.0,--,0,--,--
Yale Lary,5,98,19.6,--,0,--,--
Woodley Lewis,7,87,12.43,--,1,--,--
Buford Long,3,59,19.67,--,0,--,--
Ace Loomis,4,39,9.75,--,0,--,--
Lloyd Lowe,1,6,6.0,--,0,--,--
Jim Martin,1,0,0.0,--,0,--,--
Ray Mathews,1,17,17.0,--,0,--,--
Marv Matuszak,1,0,0.0,--,0,--,--
Bud McFadin,1,0,0.0,--,0,--,--
Thurman McGraw,1,2,2.0,--,0,--,--
Herb Rich,3,95,31.67,--,1,--,--
Charlie Toogood,1,0,0.0,--,0,--,--
Bob Miller,1,0,0.0,--,0,--,--
Ed Mioduszewski,1,0,0.0,--,0,--,--
John Morton,2,16,8.0,--,0,--,--
John Panelli,1,22,22.0,--,0,--,--
Don Paul,5,62,12.4,--,0,--,--
Don Paul,3,50,16.67,--,0,--,--
Bill Pellington,2,22,11.0,--,0,--,--
Rex Proctor,1,4,4.0,--,0,--,--
Jim Psaltis,2,43,21.5,--,0,--,--
Ray Ramsey,10,237,23.7,--,1,--,--
Bert Rechichar,7,64,9.14,--,1,--,--
Tom Landry,3,55,18.33,--,0,--,--
Leo Sanford,2,56,28.0,--,1,--,--
Joe Schmidt,2,51,25.5,--,0,--,--
Harley Sewell,1,4,4.0,--,0,--,--
Don Shula,3,46,15.33,--,0,--,--
Bob Smith,3,119,39.67,--,0,--,--
Bob Stringer,1,7,7.0,--,0,--,--
Joe Sulaitis,1,6,6.0,--,0,--,--
Harland Svare,1,9,9.0,--,0,--,--
Bill Svoboda,1,0,0.0,--,0,--,--
Carl Taseff,3,36,12.0,--,0,--,--
Tommy Thompson,2,13,6.5,--,0,--,--
Don Menasco,1,5,5.0,--,0,--,--
LaVern Torgeson,5,27,5.4,--,0,--,--
Emlen Tunnell,6,117,19.5,--,0,--,--
Ebert Van Buren,1,13,13.0,--,0,--,--
Lowell Wagner,6,135,22.5,--,0,--,--
Val Joe Walker,4,74,18.5,--,1,--,--
Gerry Weatherly,1,13,13.0,--,0,--,--
Stan West,1,10,10.0,--,0,--,--
S.J. Whitman,3,39,13.0,--,0,--,--
Ray Wietecha,1,0,0.0,--,0,--,--
Johnny Williams,6,26,4.33,--,0,--,--
Dick Woodard,1,10,10.0,--,0,--,--
