Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Curt Knight,29,49,59.2,10/12,6/9,8/14,3/11,N/A,N/A,52,1
Garo Yepremian,28,40,70,7/7,8/8,6/11,7/12,N/A,N/A,48,2
Jan Stenerud,26,44,59.1,12/13,5/9,4/8,4/9,N/A,N/A,54,3
Jim Turner 2,25,38,65.8,8/9,3/5,8/11,6/12,N/A,N/A,49,3
Bruce Gossett,23,36,63.9,7/7,5/5,6/13,5/11,N/A,N/A,48,1
Fred Cox,22,32,68.8,9/9,4/8,6/7,3/8,N/A,N/A,47,2
Errol Mann,22,37,59.5,6/6,8/9,7/15,1/3,N/A,N/A,49,1
Jim Bakken,21,32,65.6,5/5,8/13,5/6,3/8,N/A,N/A,45,2
Horst Muhlmann,20,36,55.6,6/6,5/8,4/9,4/10,N/A,N/A,51,1
Jim O Brien,20,29,69,4/4,7/8,3/4,5/11,N/A,N/A,50,0
David Ray,18,29,62.1,6/7,6/8,2/3,4/10,N/A,N/A,49,1
Roy Gerela,17,27,63,5/6,5/7,4/7,3/6,N/A,N/A,45,2
Dennis Partee,17,29,58.6,5/5,6/6,1/3,4/12,N/A,N/A,50,1
Charlie Durkee,16,23,69.6,6/6,4/4,6/9,0/3,N/A,N/A,38,2
Mark Moseley,16,26,61.5,0/0,8/9,2/4,6/10,N/A,N/A,44,1
George Blanda,15,22,68.2,4/4,5/7,4/7,2/3,N/A,N/A,42,2
Don Cockroft,15,28,53.6,2/3,6/6,6/9,1/9,N/A,N/A,40,1
Mac Percival,15,33,45.4,4/6,1/3,5/11,5/11,N/A,N/A,45,1
Bill Bell,13,21,61.9,4/4,5/7,3/5,1/5,N/A,N/A,41,3
Mike Clark 2,13,25,52,5/5,4/6,0/1,4/12,N/A,N/A,48,0
Tom Dempsey,12,17,70.6,0/0,6/7,1/2,2/3,N/A,N/A,54,1
Charlie Gogolak,12,21,57.1,1/1,1/3,6/7,3/7,N/A,N/A,51,3
John Leypoldt,9,15,60,3/3,0/2,1/1,5/6,N/A,N/A,49,0
Bobby Howfield,8,19,42.1,1/1,1/3,5/7,1/7,N/A,N/A,42,1
Lou Michaels,8,14,57.1,3/3,2/5,2/4,1/2,N/A,N/A,44,1
Happy Feller,6,20,30,1/2,2/5,2/7,0/4,N/A,N/A,50,5
Pete Gogolak,6,17,35.3,1/1,3/3,2/7,0/6,N/A,N/A,37,2
Tim Webster,6,11,54.6,2/2,4/5,0/1,0/2,N/A,N/A,28,2
Toni Fritsch,5,8,62.5,1/1,3/3,0/1,1/3,N/A,N/A,46,0
Grant Guthrie,3,10,30,0/0,0/1,1/2,1/5,N/A,N/A,51,1
Braden Beck,1,2,50,1/1,0/0,0/1,0/0,N/A,N/A,15,0
Skip Butler,1,5,20,0/1,0/0,1/2,0/2,N/A,N/A,32,1
Dave Conway,0,1,0,0/0,0/0,0/0,0/1,N/A,N/A,0,0
Dan Reeves,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
Bob Stein,0,1,0,0/0,0/0,0/1,0/0,N/A,N/A,0,0
Wayne Walker 3,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
