Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Olindo Mare,39,46,84.8,1/1,9/9,17/17,9/14,N/A,N/A,54,1
Todd Peterson 2,34,40,85,1/1,10/10,8/11,14/16,N/A,N/A,51,0
Mike Vanderjagt,34,38,89.5,2/2,10/10,11/13,10/11,N/A,N/A,53,2
John Carney,31,36,86.1,2/2,13/13,6/8,9/12,N/A,N/A,50,1
Mike Hollis,31,38,81.6,0/0,12/13,8/9,10/15,N/A,N/A,50,1
Jason Elam,29,36,80.6,1/1,8/8,7/8,8/11,N/A,N/A,55,1
Matt Stover,28,33,84.8,4/4,9/9,6/8,7/7,N/A,N/A,50,1
Martin Gramatica,27,32,84.4,0/0,8/8,10/12,6/8,N/A,N/A,53,2
John Hall,27,33,81.8,0/0,3/4,17/17,7/12,N/A,N/A,48,0
Jason Hanson 2,26,32,81.2,0/0,8/8,4/4,10/12,N/A,N/A,52,0
Adam Vinatieri,26,33,78.8,1/1,14/14,5/7,5/9,N/A,N/A,51,0
Kris Brown 2,25,29,86.2,2/2,5/5,9/10,8/11,N/A,N/A,51,1
Steve Christie,25,34,73.5,2/2,10/10,7/10,3/9,N/A,N/A,52,0
Ryan Longwell,25,30,83.3,0/0,8/9,8/9,8/10,N/A,N/A,50,3
Doug Brien,24,29,82.8,0/0,9/11,6/7,7/9,N/A,N/A,52,0
Brett Conway,22,32,68.8,0/0,7/9,6/7,6/7,N/A,N/A,51,2
John Kasay,22,25,88,1/1,8/8,6/6,5/6,N/A,N/A,52,0
Al Del Greco,21,25,84,1/1,8/8,7/9,4/6,N/A,N/A,50,0
Wade Richey,21,23,91.3,1/1,7/7,7/8,5/6,N/A,N/A,52,1
Pete Stoyanovich,21,28,75,1/1,7/7,5/6,7/13,N/A,N/A,51,0
Michael Husted,20,31,64.5,2/2,3/3,7/11,8/12,N/A,N/A,49,0
Jeff Wilkins,20,28,71.4,1/1,5/5,6/7,7/11,N/A,N/A,51,0
Gary Anderson,19,30,63.3,0/0,6/8,9/11,4/9,N/A,N/A,44,3
Chris Jacke,19,27,70.4,0/0,5/5,10/12,4/7,N/A,N/A,49,1
Cary Blanchard,18,21,85.7,0/0,7/7,2/4,9/10,N/A,N/A,48,0
Norm Johnson,18,25,72,0/0,8/9,5/8,5/6,N/A,N/A,49,1
Doug Pelfrey,18,27,66.7,1/1,9/11,7/12,0/2,N/A,N/A,50,2
Morten Andersen,15,21,71.4,1/1,5/5,5/8,4/6,N/A,N/A,49,1
Richie Cunningham,15,25,60,0/0,6/8,5/6,4/10,N/A,N/A,47,0
Chris Boniol,11,18,61.1,0/0,6/6,2/6,3/5,N/A,N/A,46,0
Phil Dawson,8,12,66.7,0/0,2/2,3/5,3/5,N/A,N/A,49,0
Brad Daluiso,7,9,77.8,0/0,4/4,3/3,0/2,N/A,N/A,36,0
Eddie Murray,7,9,77.8,0/0,3/3,3/4,1/2,N/A,N/A,40,0
Joe Nedney,5,7,71.4,0/0,2/2,2/2,0/1,N/A,N/A,52,0
Brian Gowins,4,6,66.7,0/0,3/3,0/0,1/2,N/A,N/A,43,0
David Akers,3,6,50,0/0,0/0,0/0,2/3,N/A,N/A,53,0
Jaret Holmes,2,2,100,0/0,0/0,2/2,0/0,N/A,N/A,39,0
Jeff Jaeger,2,8,25,0/0,0/0,0/2,1/5,N/A,N/A,52,0
