Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
David Ray,30,47,63.8,9/10,7/9,9/16,5/11,N/A,N/A,48,2
Roy Gerela,29,43,67.4,9/10,10/12,5/9,5/12,N/A,N/A,49,3
Bruce Gossett,26,33,78.8,4/4,9/12,8/9,4/7,N/A,N/A,54,1
Nick Mike Mayer,26,38,68.4,5/5,7/10,6/9,7/12,N/A,N/A,52,1
Garo Yepremian,25,37,67.6,5/5,8/10,6/9,5/9,N/A,N/A,53,2
Tom Dempsey,24,40,60,7/7,4/7,7/11,4/9,N/A,N/A,51,3
Jan Stenerud,24,38,63.2,5/6,3/4,8/10,8/15,N/A,N/A,47,4
Jim Bakken,23,32,71.9,4/4,6/7,10/12,3/8,N/A,N/A,46,3
George Blanda,23,33,69.7,10/10,7/8,3/4,3/11,N/A,N/A,49,0
Don Cockroft,22,31,71,4/4,7/8,4/7,7/11,N/A,N/A,45,1
Curt Knight,22,42,52.4,8/8,5/7,6/13,3/9,N/A,N/A,42,0
Jim Turner 2,22,33,66.7,5/5,5/5,8/9,3/9,N/A,N/A,50,3
Fred Cox,21,35,60,7/7,7/9,4/7,3/10,N/A,N/A,41,2
John Leypoldt,21,30,70,7/7,3/5,5/6,4/8,N/A,N/A,52,1
Chester Marcol,21,35,60,7/7,4/6,8/12,2/7,N/A,N/A,46,3
Horst Muhlmann,21,31,67.7,5/5,6/7,5/9,4/6,N/A,N/A,51,0
Toni Fritsch,18,28,64.3,10/10,6/7,2/6,0/3,N/A,N/A,37,4
Pete Gogolak,17,28,60.7,7/7,5/6,1/4,4/10,N/A,N/A,45,4
Bobby Howfield,17,24,70.8,4/4,5/6,5/7,3/6,N/A,N/A,44,0
George Hunt,16,28,57.1,6/6,6/8,4/6,0/5,N/A,N/A,38,1
Skip Butler,15,24,62.5,4/4,2/2,6/8,3/8,N/A,N/A,49,2
Jeff White,14,25,56,6/8,2/3,3/5,3/7,N/A,N/A,48,1
Errol Mann,13,19,68.4,2/2,2/3,7/9,1/4,N/A,N/A,52,0
Bill Mcclard,13,24,54.2,2/2,5/6,4/5,2/10,N/A,N/A,43,1
Ray Wersching,11,25,44,4/4,5/6,2/5,0/8,N/A,N/A,39,3
Jim O Brien,8,14,57.1,2/2,1/3,5/6,0/2,N/A,N/A,39,0
Mirro Roder,8,16,50,1/1,2/2,1/3,4/7,N/A,N/A,47,1
Mac Percival,6,8,75,4/4,0/0,2/3,0/1,N/A,N/A,33,0
Happy Feller,4,12,33.3,4/5,0/0,0/4,0/3,N/A,N/A,18,1
Bill Bell,1,4,25,0/0,0/0,1/3,0/0,N/A,N/A,36,1
Mike Clark 2,1,2,50,0/0,0/1,1/1,0/0,N/A,N/A,33,1
Dennis Partee,1,2,50,1/1,0/1,0/0,0/0,N/A,N/A,14,0
Marv Bateman,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
