Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Paul Mcfadden,30,37,81.1,0/0,4/5,13/16,10/12,N/A,N/A,52,0
Mike Lansford,25,33,75.8,2/2,9/9,10/13,3/7,N/A,N/A,50,1
Ray Wersching,25,35,71.4,1/1,8/8,8/11,7/13,N/A,N/A,53,3
Gary Anderson,24,32,75,0/0,8/9,6/9,8/11,N/A,N/A,55,1
Matt Bahr,24,32,75,3/3,12/12,2/7,6/9,N/A,N/A,50,0
Mark Moseley,24,31,77.4,1/1,9/10,12/13,1/5,N/A,N/A,51,1
Nick Lowery,23,33,69.7,0/0,7/7,6/11,8/10,N/A,N/A,52,1
Neil O Donoghue,23,35,65.7,0/0,7/7,7/9,8/16,N/A,N/A,52,5
Rafael Septien,23,29,79.3,2/2,6/7,9/9,4/8,N/A,N/A,52,1
Jim Breech,22,31,71,0/0,9/10,10/12,3/4,N/A,N/A,48,0
Tony Franklin 2,22,28,78.6,2/2,10/10,4/7,6/8,N/A,N/A,48,0
Bob Thomas,22,28,78.6,3/3,6/7,5/6,6/9,N/A,N/A,52,0
Rich Karlis,21,28,75,1/1,6/7,7/8,6/9,N/A,N/A,50,0
Morten Andersen,20,27,74.1,0/0,9/9,4/5,5/10,N/A,N/A,53,1
Chris Bahr,20,27,74.1,1/1,7/7,4/7,7/11,N/A,N/A,50,3
Norm Johnson,20,24,83.3,0/0,9/10,4/4,6/7,N/A,N/A,50,0
Mick Luckhurst,20,27,74.1,0/0,4/4,9/10,4/9,N/A,N/A,52,0
Eddie Murray,20,27,74.1,1/1,1/2,5/7,12/13,N/A,N/A,52,1
Jan Stenerud,20,23,87,2/2,3/3,9/9,3/5,N/A,N/A,54,0
Obed Ariri,19,26,73.1,0/0,7/7,6/7,6/10,N/A,N/A,49,0
Rolf Benirschke,17,26,65.4,1/1,4/6,3/4,8/11,N/A,N/A,51,1
Ali Haji Sheikh,17,33,51.5,1/1,3/3,8/13,5/12,N/A,N/A,48,1
Pat Leahy,17,24,70.8,2/2,5/6,7/8,2/5,N/A,N/A,52,2
Raul Allegre,11,18,61.1,0/0,4/4,1/2,3/6,N/A,N/A,54,2
Joe Cooper,11,13,84.6,2/2,2/2,4/4,3/5,N/A,N/A,44,0
Al Del Greco,9,12,75,0/0,2/2,3/4,4/5,N/A,N/A,45,0
Uwe Von Schamann,9,19,47.4,0/0,7/7,2/5,0/4,N/A,N/A,37,1
Joe Danelo,8,16,50,0/0,5/5,2/4,0/4,N/A,N/A,52,2
Florian Kempf,4,6,66.7,0/0,3/3,0/1,1/2,N/A,N/A,49,0
Dean Biasucci,3,5,60,0/0,1/1,0/0,1/1,N/A,N/A,50,0
Eddie Garcia,3,9,33.3,0/0,0/2,1/3,1/3,N/A,N/A,51,1
Chuck Nelson,3,5,60,0/0,0/0,1/2,2/3,N/A,N/A,47,0
Benny Ricardo,3,3,100,0/0,1/1,1/1,1/1,N/A,N/A,42,0
Steve Cox,1,3,33.3,0/0,0/0,0/0,0/0,N/A,N/A,60,0
