Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Morten Andersen,28,36,77.8,3/3,6/6,9/9,8/12,N/A,N/A,52,0
Dean Biasucci,24,27,88.9,0/0,5/6,12/12,6/7,N/A,N/A,50,0
Jim Breech,24,30,80,0/0,6/7,12/12,6/11,N/A,N/A,46,3
Gary Anderson,22,27,81.5,0/0,8/9,4/4,8/12,N/A,N/A,52,1
Roger Ruzek,22,25,88,0/0,8/8,6/7,8/10,N/A,N/A,49,1
Eddie Murray,20,32,62.5,1/1,6/6,7/12,5/11,N/A,N/A,53,1
Tony Zendejas,20,26,76.9,2/2,5/5,4/6,8/12,N/A,N/A,52,2
Chris Bahr,19,29,65.5,0/0,6/6,10/13,3/10,N/A,N/A,48,2
Kevin Butler,19,28,67.9,0/0,11/11,5/5,1/6,N/A,N/A,52,1
Nick Lowery,19,23,82.6,1/1,4/4,8/10,4/6,N/A,N/A,54,1
Rich Karlis,18,25,72,0/0,9/9,4/6,4/7,N/A,N/A,51,0
Pat Leahy,18,22,81.8,0/0,11/11,5/6,2/4,N/A,N/A,42,0
Raul Allegre,17,27,63,1/1,7/8,4/5,3/9,N/A,N/A,53,1
Mike Lansford,17,21,81,1/1,6/6,3/4,7/9,N/A,N/A,48,1
Paul Mcfadden,16,26,61.5,1/1,3/4,6/10,6/9,N/A,N/A,49,0
Max Zendejas,16,19,84.2,0/0,3/3,6/7,7/8,N/A,N/A,48,2
Tony Franklin 2,15,26,57.7,0/0,5/5,6/11,3/7,N/A,N/A,50,0
Norm Johnson,15,20,75,0/0,7/7,4/7,4/5,N/A,N/A,49,0
Donald Igwebuike,14,18,77.8,0/0,2/2,6/6,6/9,N/A,N/A,48,2
Jeff Jaeger,14,22,63.6,0/0,6/6,3/6,5/9,N/A,N/A,48,1
Vince Abbott,13,22,59.1,0/0,2/3,9/10,2/6,N/A,N/A,47,0
Ali Haji Sheikh,13,19,68.4,0/0,5/5,6/10,2/4,N/A,N/A,41,1
Chuck Nelson,13,24,54.2,0/0,10/12,2/4,0/6,N/A,N/A,51,1
Ray Wersching,13,17,76.5,0/0,5/5,5/5,3/7,N/A,N/A,45,1
Scott Norwood,10,15,66.7,0/0,3/4,4/6,3/5,N/A,N/A,45,1
Al Del Greco,9,15,60,0/0,3/5,4/6,2/4,N/A,N/A,47,1
Jim Gallery,9,19,47.4,0/0,4/5,2/7,3/7,N/A,N/A,48,2
Mick Luckhurst,9,13,69.2,1/1,1/1,2/2,3/5,N/A,N/A,50,1
Fuad Reveiz,9,11,81.8,1/1,2/2,2/2,4/6,N/A,N/A,48,0
John Diettrich,6,6,100,0/0,2/2,1/1,3/3,N/A,N/A,45,0
Mike Prindle,6,7,85.7,0/0,3/3,3/3,0/1,N/A,N/A,35,0
Van Tiffin,5,7,71.4,0/0,1/1,1/2,2/3,N/A,N/A,50,0
Matt Bahr,4,5,80,0/0,2/2,2/3,0/0,N/A,N/A,31,0
Florian Kempf,4,5,80,0/0,1/1,1/2,2/2,N/A,N/A,48,1
Obed Ariri,3,5,60,1/1,1/1,1/1,0/2,N/A,N/A,39,0
Willie Beecher,3,4,75,1/1,0/0,1/1,1/2,N/A,N/A,40,0
George Benyola,3,5,60,0/0,2/2,0/1,1/2,N/A,N/A,45,0
Jeff Brockhaus,3,6,50,0/0,2/3,1/2,0/1,N/A,N/A,39,0
Mike Clendenen,3,4,75,0/0,1/1,2/2,0/1,N/A,N/A,35,1
Greg Davis,3,4,75,0/0,1/1,1/1,1/2,N/A,N/A,42,0
Brian Franco,3,4,75,0/0,3/3,0/1,0/0,N/A,N/A,28,0
Jeff Gaffney,3,6,50,0/0,3/3,0/3,0/0,N/A,N/A,27,1
Dave Jacobs,3,5,60,0/0,1/1,0/1,2/3,N/A,N/A,44,0
Steve Jordan,3,5,60,0/0,1/1,2/2,0/2,N/A,N/A,36,0
Tim Lashar,3,4,75,0/0,3/3,0/0,0/1,N/A,N/A,27,0
Luis Zendejas,3,4,75,0/0,0/0,1/1,1/2,N/A,N/A,50,0
Scott Hagler,2,2,100,0/0,2/2,0/0,0/0,N/A,N/A,24,0
James Hamrick,2,2,100,0/0,1/1,0/0,1/1,N/A,N/A,40,0
Pat Ragusa,2,4,50,0/0,1/1,1/2,0/1,N/A,N/A,34,0
Todd Schlopy,2,5,40,0/0,1/1,1/3,0/1,N/A,N/A,31,0
Jess Atkinson,1,1,100,0/0,1/1,0/0,0/0,N/A,N/A,27,0
Mike Cofer,1,1,100,0/0,1/1,0/0,0/0,N/A,N/A,27,0
Steve Cox,1,2,50,0/0,0/0,0/0,1/1,N/A,N/A,40,0
Dale Dawson,1,5,20,0/0,0/0,1/2,0/3,N/A,N/A,34,0
Massimo Manca,1,2,50,0/0,1/1,0/0,0/1,N/A,N/A,28,1
Eric Schubert,1,2,50,0/0,1/1,0/0,0/1,N/A,N/A,23,0
Jason Staurovsky,1,3,33.3,0/0,1/2,0/0,0/1,N/A,N/A,24,0
Kerry Brady,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
David Hardy,0,1,0,0/0,0/0,0/1,0/0,N/A,N/A,0,0
Brendan Toibin,0,2,0,0/0,0/0,0/1,0/1,N/A,N/A,0,0
David Trout,0,2,0,0/0,0/1,0/1,0/0,N/A,N/A,0,0
