Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Gary Anderson,33,42,78.6,1/1,12/13,14/15,5/9,N/A,N/A,52,0
Morten Andersen,31,35,88.6,0/0,4/5,13/14,11/12,N/A,N/A,55,1
Kevin Butler,31,38,81.6,2/2,13/13,13/14,3/6,N/A,N/A,46,0
Pat Leahy,26,34,76.5,2/2,11/11,6/8,4/8,N/A,N/A,55,1
Eddie Murray,26,31,83.9,2/2,5/7,11/12,6/7,N/A,N/A,51,0
Paul Mcfadden,25,30,83.3,0/0,6/6,11/11,6/8,N/A,N/A,52,0
Jim Breech,24,33,72.7,0/0,7/8,12/13,4/6,N/A,N/A,53,0
Tony Franklin 2,24,30,80,1/1,7/9,9/9,5/9,N/A,N/A,50,0
Nick Lowery,24,27,88.9,0/0,4/4,10/11,7/7,N/A,N/A,58,0
Mick Luckhurst,24,31,77.4,0/0,7/9,8/10,8/11,N/A,N/A,52,3
Rich Karlis,23,38,60.5,2/2,7/9,6/11,8/11,N/A,N/A,48,1
Donald Igwebuike,22,32,68.8,1/1,5/5,8/10,5/10,N/A,N/A,53,1
Mike Lansford,22,29,75.9,0/0,5/5,9/12,6/8,N/A,N/A,52,0
Mark Moseley,22,34,64.7,0/0,7/8,8/13,7/12,N/A,N/A,48,0
Fuad Reveiz,22,27,81.5,0/0,8/9,5/6,9/9,N/A,N/A,49,1
Tony Zendejas,21,27,77.8,0/0,6/7,8/11,4/6,N/A,N/A,52,0
Chris Bahr,20,32,62.5,0/0,9/9,7/10,3/12,N/A,N/A,51,1
Al Del Greco,19,26,73.1,0/0,10/12,4/4,5/9,N/A,N/A,46,3
Rafael Septien,19,28,67.9,1/1,5/5,8/11,4/9,N/A,N/A,53,0
Bob Thomas,18,28,64.3,1/1,8/8,6/10,3/7,N/A,N/A,46,2
Raul Allegre,16,26,61.5,0/0,9/11,5/6,2/6,N/A,N/A,41,1
Jan Stenerud,15,26,57.7,1/2,10/11,3/7,1/5,N/A,N/A,49,3
Matt Bahr,14,18,77.8,1/1,2/2,8/9,3/5,N/A,N/A,45,1
Norm Johnson,14,25,56,0/0,5/5,7/9,1/8,N/A,N/A,51,0
Scott Norwood,13,17,76.5,0/0,7/8,2/4,4/5,N/A,N/A,49,0
Ray Wersching,13,21,61.9,0/0,5/7,5/8,3/5,N/A,N/A,45,4
Jess Atkinson,10,18,55.6,1/1,2/3,3/4,4/9,N/A,N/A,49,0
Neil O Donoghue,10,18,55.6,1/1,3/5,4/6,2/4,N/A,N/A,49,0
Eric Schubert,10,13,76.9,0/0,3/5,4/5,3/3,N/A,N/A,41,0
Novo Bojovic,3,7,42.9,0/0,0/0,1/2,2/3,N/A,N/A,42,0
Ali Haji Sheikh,2,5,40,0/0,1/1,0/0,0/3,N/A,N/A,52,0
Rolf Benirschke,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
Steve Cox,0,1,0,0/0,0/0,0/0,0/1,N/A,N/A,0,0
