Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Fred Cox,30,46,65.2,8/8,11/14,4/4,7/16,N/A,N/A,47,0
Jan Stenerud,30,42,71.4,6/6,8/9,9/10,6/11,N/A,N/A,55,2
David Ray,29,45,64.4,10/11,11/14,5/11,3/9,N/A,N/A,46,1
Pete Gogolak,25,41,61,5/5,11/14,1/3,7/15,N/A,N/A,54,1
Horst Muhlmann,25,37,67.6,4/4,5/7,9/11,3/9,N/A,N/A,53,2
Garo Yepremian,22,29,75.9,4/4,2/3,5/6,11/15,N/A,N/A,47,0
Bruce Gossett,21,31,67.7,5/6,7/7,2/5,7/10,N/A,N/A,48,3
Jim Bakken,20,32,62.5,4/4,3/6,7/7,6/11,N/A,N/A,49,1
Curt Knight,20,27,74.1,6/6,5/5,5/7,4/9,N/A,N/A,49,1
Errol Mann,20,29,69,8/8,2/3,3/5,4/7,N/A,N/A,51,2
Mac Percival,20,34,58.8,4/4,5/6,9/12,1/9,N/A,N/A,50,1
Jim O Brien,19,34,55.9,3/4,6/9,4/9,6/10,N/A,N/A,48,3
Jim Turner 2,19,35,54.3,2/2,8/9,7/11,2/10,N/A,N/A,42,1
Mike Clark 2,18,27,66.7,7/7,3/6,6/9,2/5,N/A,N/A,43,1
Tom Dempsey,18,34,52.9,4/5,6/8,1/5,4/7,N/A,N/A,63,6
Roy Gerela,18,32,56.2,5/5,4/5,6/8,3/14,N/A,N/A,48,3
Bobby Howfield,18,32,56.2,2/3,3/6,5/7,6/10,N/A,N/A,53,3
George Blanda,16,29,55.2,6/7,4/6,3/5,2/10,N/A,N/A,52,3
Dale Livingston,15,28,53.6,5/6,6/11,3/7,1/4,N/A,N/A,49,5
Mark Moseley,14,25,56,6/8,4/6,2/6,2/4,N/A,N/A,42,3
Don Cockroft,12,22,54.6,3/4,2/3,4/7,3/7,N/A,N/A,47,1
Mike Mercer,12,19,63.2,3/3,1/3,5/5,3/8,N/A,N/A,48,1
Grant Guthrie,10,19,52.6,3/3,3/4,2/3,1/4,N/A,N/A,52,1
Ken Vinyard,9,25,36,4/5,0/2,4/7,1/9,N/A,N/A,49,5
Gino Cappelletti,6,15,40,2/3,3/4,0/2,1/5,N/A,N/A,41,3
Gene Mingo,5,18,27.8,2/2,1/6,0/0,2/7,N/A,N/A,49,1
Allan Watson,5,10,50,2/2,2/2,0/1,1/4,N/A,N/A,45,0
Charlie Gogolak,2,7,28.6,1/1,0/0,1/2,0/3,N/A,N/A,32,1
Karl Kremser,0,1,0,0/0,0/1,0/0,0/0,N/A,N/A,0,0
