Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Retire,NextPercentile
Adrian Peterson,0.1914486279514997,0.2354758961681087,0.4908536585365853,0.5151148730350665,0.5594447797223898,0.5086360929124479,0.4877903513996426,0.40625,0.4014423076923077,0.4419856459330143,0.4452296819787986,0.4267554479418886,0.3345410628019323,0.3079688436189335,0.2510435301132975,0,0.1394658753709199
Ahmad Brooks,0.5481812380344607,0.5543881334981459,0.5432926829268293,0.0326481257557436,0.5570307785153893,0.6402620607504467,0.6412259615384616,0.80622009569378,0.8616018845700825,0.9243341404358354,0.946256038647343,0.9652486518873576,0.9618366129994036,0.9317507418397626,0.9120234604105572,0,0.8656542056074766
Albert Lewis,0.4316831683168317,0.6312741312741312,0.9408502772643254,0.9613970588235294,0.9419642857142856,0.7075471698113207,0.6923076923076923,0.726078799249531,0.7598499061913696,0.4944237918215613,0.74573055028463,0.6975425330812854,0.7525597269624573,0.6247848537005164,0.6834170854271356,0,0.8127035830618893
Alex Brown,0.6751754945756222,0.8436341161928307,0.9445121951219512,0.9582829504232164,0.9643934821967411,0.9708159618820726,0.9681490384615384,0.937200956937799,0.9104829210836278,0.8044794188861986,0.6630434782608695,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.039882697947214,0,0.0420560747663551
Alex Lewis,0.6792682926829269,0.6831922611850061,0.7223898611949306,0.620011911852293,0.6712740384615384,0.6100478468899522,0.552414605418139,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.1008797653958944,0.0566588785046729,0.0449704142011834,0,0.1293977340488968
Alex Smith,0.2357920193470374,0.3156306578153289,0.3633071816535908,0.2840976771888028,0.3509615384615384,0.3427033492822967,0.3386336866902238,0.1937046004842615,0.2052058111380145,0.1817632850241546,0.1791491911324146,0.1396045536249251,0.2731067382230173,0.3228486646884273,0.3560117302052786,0,0.3370327102803738
Andre Smith,0.1472320376914016,0.2433414043583535,0.4975845410628019,0.5050928699820252,0.4865831842576029,0.2189910979228486,0.1196480938416422,0.1226635514018691,0.1816568047337278,0.2331360946745562,0.2033392963625521,0.2033392963625521,0.4102564102564102,0.4537090281771133,0.4570405727923627,0,0.4886934673366834
Andy Lee,0.1506097560975609,0.211608222490931,0.3355461677730839,0.2596783799880881,0.21875,0.2272727272727272,0.3138987043580683,0.2717917675544794,0.1225845410628019,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.1008797653958944,0.0566588785046729,0.144378698224852,0,0.1502683363148479
Anthony Davis,0.1689419795221843,0.3734939759036144,0.4522613065326633,0.5488599348534202,0.4118564742589704,0.6691176470588235,0.4450402144772118,0.4460753031269943,0.0210135970333745,0.0274390243902439,0.0918984280532043,0.1188895594447797,0.1155449672424061,0.0865384615384615,0.0370813397129186,0,0.1012956419316843
Antonio Gates,0.2707045735475896,0.2963414634146341,0.3833131801692865,0.3174411587205794,0.3341274568195354,0.2530048076923077,0.277511961722488,0.163133097762073,0.25,0.3182367149758454,0.3828639904134212,0.2510435301132975,0.1394658753709199,0.1008797653958944,0.1536214953271028,1,
