Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Retire,NextPercentile
Adrian Peterson,0.1914486279514997,0.2354758961681087,0.4908536585365853,0.5151148730350665,0.5594447797223898,0.5086360929124479,0.4877903513996426,0.40625,0.4014423076923077,0.4419856459330143,0.4452296819787986,0.4267554479418886,0.3345410628019323,0.3079688436189335,0.2510435301132975,0.1394658753709199,0,0.1008797653958944
Ahmad Brooks,0.5481812380344607,0.5543881334981459,0.5432926829268293,0.0326481257557436,0.5570307785153893,0.6402620607504467,0.6412259615384616,0.80622009569378,0.8616018845700825,0.9243341404358354,0.946256038647343,0.9652486518873576,0.9618366129994036,0.9317507418397626,0.9120234604105572,0.8656542056074766,1,
Albert Lewis,0.4316831683168317,0.6312741312741312,0.9408502772643254,0.9613970588235294,0.9419642857142856,0.7075471698113207,0.6923076923076923,0.726078799249531,0.7598499061913696,0.4944237918215613,0.74573055028463,0.6975425330812854,0.7525597269624573,0.6247848537005164,0.6834170854271356,0.8127035830618893,1,
Alex Brown,0.6751754945756222,0.8436341161928307,0.9445121951219512,0.9582829504232164,0.9643934821967411,0.9708159618820726,0.9681490384615384,0.937200956937799,0.9104829210836278,0.8044794188861986,0.6630434782608695,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.039882697947214,0.0420560747663551,0,0.0343195266272189
Alex Lewis,0.6792682926829269,0.6831922611850061,0.7223898611949306,0.620011911852293,0.6712740384615384,0.6100478468899522,0.552414605418139,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.1008797653958944,0.0566588785046729,0.0449704142011834,0.1293977340488968,1,
Alex Smith,0.2357920193470374,0.3156306578153289,0.3633071816535908,0.2840976771888028,0.3509615384615384,0.3427033492822967,0.3386336866902238,0.1937046004842615,0.2052058111380145,0.1817632850241546,0.1791491911324146,0.1396045536249251,0.2731067382230173,0.3228486646884273,0.3560117302052786,0.3370327102803738,0,0.3142011834319526
Andre Smith,0.1472320376914016,0.2433414043583535,0.4975845410628019,0.5050928699820252,0.4865831842576029,0.2189910979228486,0.1196480938416422,0.1226635514018691,0.1816568047337278,0.2331360946745562,0.2033392963625521,0.2033392963625521,0.4102564102564102,0.4537090281771133,0.4570405727923627,0.4886934673366834,1,
Andy Lee,0.1506097560975609,0.211608222490931,0.3355461677730839,0.2596783799880881,0.21875,0.2272727272727272,0.3138987043580683,0.2717917675544794,0.1225845410628019,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.1008797653958944,0.0566588785046729,0.144378698224852,0.1502683363148479,1,
Anthony Davis,0.1689419795221843,0.3734939759036144,0.4522613065326633,0.5488599348534202,0.4118564742589704,0.6691176470588235,0.4450402144772118,0.4460753031269943,0.0210135970333745,0.0274390243902439,0.0918984280532043,0.1188895594447797,0.1155449672424061,0.0865384615384615,0.0370813397129186,0.1012956419316843,0,0.059322033898305
Ben Roethlisberger,0.0975609756097561,0.1590084643288996,0.208207604103802,0.1852293031566408,0.2409855769230769,0.2200956937799043,0.1654888103651354,0.1658595641646489,0.1817632850241546,0.1839424805272618,0.0429338103756708,0.0409495548961424,0.039882697947214,0.0420560747663551,0.1159763313609467,0.1067382230172927,0,0.1695804195804195
Bobby Bell,0.9090909090909092,0.8759124087591241,0.9482758620689656,0.8592964824120602,0.8431372549019608,0.57847533632287,0.4273858921161825,0.0275590551181102,0.0183823529411764,0.0278745644599303,0.0462046204620462,0.0552147239263803,0.018348623853211,0.0118811881188118,0.0154440154440154,0.011090573012939,0,0.0183823529411764
Brandon Marshall,0.5117682558841279,0.5330553901131626,0.5426682692307693,0.3977272727272727,0.3480565371024735,0.3093220338983051,0.3713768115942029,0.3804347826086957,0.408627920910725,0.5497912939773405,0.6112104949314252,0.6706231454005934,0.686646884272997,0.7249266862170088,0.7290322580645161,0.6629672897196262,0,0.5811915887850467
Brandon Williams,0.1042287075640262,0.1033653846153846,0.1160287081339712,0.2597173144876325,0.2294188861985472,0.2524154589371981,0.10964649490713,0.1396045536249251,0.2731067382230173,0.3231961836612999,0.3210682492581602,0.2931750741839762,0.41524926686217,0.4527859237536656,0.4785923753665689,0.4725467289719626,0,0.4532710280373832
Brian Dawkins,0.5094664371772806,0.7721943048576214,0.9006514657980456,0.9750390015600624,0.9933823529411764,0.9946380697050938,0.990427568602425,0.9684796044499382,0.9701219512195122,0.9625151148730352,0.991550995775498,0.9720071471113758,0.971153846153846,0.9479665071770336,0.980565371024735,0.9443099273607748,1,
Brian Williams,0.0654044750430292,0.2428810720268006,0.2915309446254072,0.4960998439937597,0.7,0.7037533512064343,0.6285896617740906,0.6464582003828973,0.9097651421508036,0.9591463414634146,0.9830713422007256,0.9227519613759808,0.9172126265634306,0.8707932692307693,0.8905502392344498,0.8415783274440518,0,0.7391041162227603
Bruce Smith,0.4140480591497227,0.7775735294117647,0.988095238095238,0.9886792452830188,0.9774859287054408,1.0,0.9943714821763602,0.9944237918215614,0.9411764705882352,0.9924385633270322,0.9948805460750854,0.9982788296041308,0.981574539363484,0.978827361563518,0.93603744149766,0.9889705882352942,0,0.9785522788203752
Chad Williams,0.7511167836630505,0.8362175525339925,0.952439024390244,0.9111245465538088,0.904043452021726,0.7605717689100655,0.6760817307692307,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.039882697947214,0.1226635514018691,0,0.1816568047337278
Charles Johnson2,0.3102941176470588,0.2607238605898123,0.4116145500957243,0.3980222496909765,0.3658536585365853,0.0326481257557436,0.0325890162945081,0.2263251935675997,0.7175480769230769,0.833732057416268,0.9381625441696112,0.9382566585956416,0.9861111111111112,0.9832234871180348,0.9910554561717352,0.9109792284866468,0,0.798219584569733
Charles Woodson,0.6221498371335505,0.7425897035881436,0.9595588235294118,0.9343163538873994,0.9495851946394384,0.927070457354759,0.9506097560975608,0.9189842805320436,0.95956547978274,0.973198332340679,0.9987980769230768,0.998803827751196,0.9994110718492344,0.9993946731234868,0.9921497584541062,0.9838226482923906,0,0.9713774597495528
Chris Canty,0.1021775544388609,0.2068403908794788,0.3822152886115444,0.6808823529411765,0.6394101876675603,0.4913848117421825,0.0210135970333745,0.0274390243902439,0.6463119709794438,0.692214846107423,0.7927337701012508,0.7776442307692307,0.7691387559808612,0.765017667844523,0.763317191283293,0.7958937198067633,0,0.8202516476932294
Chris Clemons,0.5439024390243903,0.6166868198307134,0.6173808086904043,0.7218582489577129,0.7445913461538461,0.7966507177033493,0.7386363636363636,0.8763250883392226,0.9546525323910484,0.9334140435835352,0.8208232445520581,0.7590579710144928,0.8611111111111112,0.8939484721390054,0.8550029958058718,0.8348240906380441,0,0.7738872403560831
Chris Harris,0.7110036275695284,0.7990343995171998,0.8802858844550328,0.8449519230769231,0.8708133971291866,0.8987043580683156,0.8801452784503632,0.8523002421307506,0.7041062801932367,0.6129227053140096,0.7040143798681845,0.8562909958258795,0.9649851632047478,0.975366568914956,0.963785046728972,0.9508875739644972,0,0.9272510435301132
Clay Matthews1,0.1139705882352941,0.3170731707317073,0.4653465346534653,0.3957055214723926,0.1972477064220183,0.2475247524752475,0.3204633204633205,0.4121996303142329,0.4154411764705882,0.6532738095238095,0.5622641509433962,0.6078799249530957,0.450281425891182,0.6078799249530957,0.5855018587360595,0.603415559772296,0,0.4291115311909262
Corey Moore,0.4970588235294118,0.4912868632707775,0.4920229738353542,0.0210135970333745,0.0274390243902439,0.0326481257557436,0.0325890162945081,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.1329376854599406,0,0.5114369501466276
Darrell Green,0.4673267326732673,0.7181467181467182,0.7985212569316081,0.8235294117647058,0.8541666666666666,0.8113207547169812,0.6566604127579737,0.6041275797373359,0.7485928705440901,0.7769516728624535,0.7817836812144212,0.7561436672967864,0.8242320819112628,0.8812392426850258,0.8894472361809045,0.8697068403908795,0,0.7722308892355694
Deion Sanders,0.3752345215759849,0.7842401500938087,0.9737335834896812,0.9795539033457248,0.969639468690702,0.9678638941398866,0.9368600682593856,0.8760757314974182,0.6968174204355109,0.8338762214983714,0.8003120124804992,0.9213235294117648,0.8150134048257373,0.7198468410976387,0.0210135970333745,0.697560975609756,0,0.779322853688029
Derrick Johnson,0.5761789600967352,0.6523579201934704,0.6487628243814122,0.5769462884731442,0.7474687313877308,0.8359375,0.944976076555024,0.9540636042402828,0.9661016949152542,0.9293478260869564,0.9400838825644098,0.8616577221228384,0.9032640949554896,0.9114369501466276,0.9386682242990654,0.8420118343195266,1,
Dexter Davis,0.1728624535315985,0.1707779886148007,0.1776937618147448,0.0784982935153583,0.0774526678141136,0.0770519262981574,0.0684039087947882,0.0717628705148206,0.0235294117647058,0.0201072386058981,0.0153158902361199,0.0210135970333745,0.0274390243902439,0.0326481257557436,0.0325890162945081,0.0327575938058368,0,0.0372596153846153
Don Muhlbach,0.0975609756097561,0.2031438935912938,0.2486421243210621,0.2787373436569386,0.3118990384615384,0.5340909090909091,0.5471142520612485,0.5193704600484261,0.4070048309178743,0.1839424805272618,0.0429338103756708,0.1329376854599406,0.3665689149560117,0.3446261682242991,0.3278106508875739,0.0363744782349433,0,0.1311188811188811
Drew Brees,0.0727504786215698,0.1279357231149567,0.1115853658536585,0.1789600967351874,0.1092335546167773,0.2805241215008934,0.2836538461538461,0.3116028708133971,0.2208480565371024,0.2052058111380145,0.2717391304347826,0.2396644697423607,0.0524746571258199,0.0409495548961424,0.1612903225806451,0.2079439252336448,1,
Duane Brown,0.2253605769230769,0.3397129186602871,0.35924617196702,0.2294188861985472,0.0513285024154589,0.1677651288196525,0.1449016100178891,0.2225519287833827,0.1401759530791788,0.1226635514018691,0.0343195266272189,0.1067382230172927,0.0571095571095571,0.0862564692351926,0.1378281622911694,0.1953517587939698,1,
Dwight Freeney,0.8915124441608169,0.984548825710754,0.998780487804878,0.9975816203143894,0.987929993964997,0.963073257891602,0.9561298076923076,0.9706937799043064,0.9893992932862192,0.9830508474576272,0.9516908212560388,0.8358298382264829,0.7412045319022064,0.8302670623145401,0.8574780058651026,0.8533878504672897,1,
Eric Williams,0.2095588235294117,0.3832752613240418,0.6039603960396039,0.4478527607361963,0.2660550458715596,0.0811881188118811,0.2567567567567567,0.5415896487985212,0.7356746765249538,0.7959558823529411,0.7794117647058824,0.7827380952380952,0.7622641509433963,0.6979362101313321,0.6641651031894934,0.4671669793621013,1,
Eugene Robinson,0.2920517560073937,0.6268382352941176,0.918154761904762,0.9113207547169812,0.9193245778611632,0.900562851782364,0.9362101313320824,0.9646840148698884,0.9905123339658444,0.9810964083175804,0.9641638225255972,0.891566265060241,0.9246231155778896,0.9625407166123778,0.937597503900156,0.95,1,
Greg Jones,0.1273031825795645,0.2394136807817589,0.2652106084243369,0.5845588235294118,0.5475871313672922,0.5430759412890874,0.4622991347342398,0.3664634146341463,0.3694074969770254,0.3741701870850935,0.3984514592019059,0.3834134615384615,0.4138755980861244,0.3498233215547703,0.3444309927360774,0.3486682808716707,0,0.4178743961352657
Hardy Nickerson1,0.1415094339622641,0.1388367729831144,0.2607879924953096,0.1463414634146341,0.1412639405204461,0.1821631878557874,0.3062381852551984,0.3191126279863481,0.4096385542168674,0.3149078726968174,0.3029315960912052,0.251170046801872,0.6683823529411764,0.8183646112600537,0.8608806636885769,0.8182941903584673,0,0.6731707317073171
J.R. Reed,0.473780487804878,0.4703748488512696,0.496077248038624,0.5360333531864205,0.546875,0.5227272727272727,0.2243816254416961,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.039882697947214,0.0420560747663551,0.0343195266272189,0.0363744782349433,0,0.2447552447552447
James Jones,0.2720450281425891,0.3438661710037174,0.4174573055028463,0.3156899810964083,0.2883959044368601,0.1841652323580034,0.2747068676716918,0.3876221498371335,0.5273010920436817,0.7580882352941176,0.7171581769436998,0.6190172303765157,0.0210135970333745,0.0274390243902439,0.0326481257557436,0.0325890162945081,0,0.1042287075640262
James Williams~,0.1726078799249531,0.2082551594746716,0.2589118198874296,0.2082551594746716,0.2620817843866171,0.3092979127134725,0.3681214421252372,0.4744801512287334,0.553875236294896,0.5767918088737202,0.4010327022375215,0.1557788944723618,0.0684039087947882,0.0717628705148206,0.175,0.175735294117647,0,0.1239946380697051
Jason Peters,0.4536585365853658,0.4836759371221282,0.4912492456246228,0.3609291244788564,0.125,0.2906698564593301,0.3480565371024735,0.3093220338983051,0.1968599033816425,0.2846015578190533,0.2027429934406678,0.2700296735905044,0.1401759530791788,0.1226635514018691,0.0343195266272189,0.0363744782349433,0,0.0256410256410256
Jason Witten,0.2428924598269468,0.3939024390243902,0.4347037484885127,0.4345202172601086,0.3722453841572364,0.2878605769230769,0.3038277511961722,0.2703180212014134,0.3220338983050847,0.2747584541062802,0.3307369682444577,0.3220035778175313,0.3566765578635015,0.3865102639296188,0.304322429906542,0.2023668639053254,0,0.1067382230172927
Jeff Robinson,0.239089184060721,0.2911153119092627,0.3686006825938566,0.2117039586919105,0.2696817420435511,0.1840390879478827,0.1638065522620904,0.2588235294117647,0.3109919571045576,0.2737715379706445,0.3788627935723115,0.4036585365853659,0.4135429262394196,0.3349426674713337,0.0327575938058368,0.3052884615384615,1,
Jimmy Smith,0.3102941176470588,0.1963806970509383,0.1550733886407147,0.1915945611866502,0.3048780487804878,0.3760580411124546,0.3246831623415812,0.1667659321024419,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.6404358353510896,0.6884057971014492,0.7878969442780108,0.7686344663088849,0.8646884272997033,0,0.8310850439882698
Joe Thomas,0.1042287075640262,0.2265625,0.3415071770334928,0.3586572438162544,0.3650121065375302,0.3568840579710144,0.3361294188136609,0.2128801431127012,0.51513353115727,0.6041543026706232,0.6480938416422287,0.6222873900293255,0.594626168224299,0.6059171597633136,0.667262969588551,0.6952214452214452,0,0.6900517538815412
John Thornton,0.0525328330206379,0.0669144981412639,0.0759013282732447,0.0699432892249527,0.0631399317406143,0.06368330464716,0.0586264656616415,0.0684039087947882,0.31201248049922,0.725735294117647,0.7459785522788204,0.6828334396936822,0.761433868974042,0.8317073170731707,0.9014510278113664,0.864212432106216,0,0.8451459201905897
Josh Shaw,0.4454371410338226,0.4555006180469715,0.4676829268292683,0.3083434099153567,0.312009656004828,0.2263251935675997,0.3479567307692308,0.3630382775119617,0.2296819787985865,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.4807121661721068,0.6756598240469208,0.7114485981308412,0,0.7118343195266272
Josh Thomas,0.4786585365853658,0.6299879081015719,0.6716958358479179,0.7027992852888624,0.6604567307692307,0.6190191387559809,0.519434628975265,0.4782082324455206,0.5984299516908212,0.6866387058118634,0.6535480023852117,0.5875370919881305,0.3648093841642228,0.2914719626168224,0.0343195266272189,0.0363744782349433,0,0.1165501165501165
Julius Peppers,0.8500319081046586,0.9400494437577256,0.996341463414634,0.9957678355501812,0.9981894990947496,0.980345443716498,0.9933894230769232,0.9958133971291866,0.997055359246172,0.9939467312348668,0.9897342995169082,0.9898142600359496,0.9988073941562312,0.998813056379822,0.9958944281524926,0.9760514018691588,0,0.9668639053254438
Junior Seau,0.0562851782363977,0.4090056285178236,0.8122676579925651,0.9165085388994308,0.9565217391304348,0.9795221843003412,0.9931153184165232,0.9949748743718592,0.972312703583062,0.921996879875195,0.9463235294117648,0.9403485254691688,0.9329929802169752,0.9110012360939432,0.874390243902439,0.8168077388149939,0,0.7929993964996982
Justin Hamilton,0.4477972238986119,0.4419297200714711,0.4471153846153846,0.1788277511961722,0.1666666666666666,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.039882697947214,0.4363317757009345,0.436094674556213,0.4317233154442457,0.4318181818181818,0.4669350201265095,1,
Keith Smith,0.5957317073170731,0.6348246674727932,0.656004828002414,0.7891602144133413,0.7728365384615384,0.7667464114832536,0.472909305064782,0.2705811138014528,0.0440821256038647,0.0437387657279808,0.5462134764460346,0.5299703264094956,0.5519061583577712,0.625,0.642603550295858,0.717948717948718,0,0.6410256410256411
