Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Retire,NextPercentile
Adrian Peterson,0.3755186721991701,0.5402061855670103,0.7665289256198347,0.7572614107883817,0.7678571428571429,0.6826003824091779,0.5395256916996047,0.4621513944223107,0.4549019607843137,0.4168260038240918,0.3902912621359223,0.4101123595505618,0.5340699815837937,0,0.5387387387387388
Amani Toomer,0.2177033492822966,0.5474452554744526,0.7908653846153846,0.8997722095671982,0.9532710280373832,0.981264637002342,0.9867549668874172,0.9896694214876032,0.979633401221996,0.9468302658486708,0.892933618843683,0.908713692946058,0.8886597938144329,1,
Andre Johnson,0.6921487603305785,0.8940936863543788,0.9693251533742332,0.9635974304068522,0.95850622406639,0.9917525773195875,1.0,1.0,0.988095238095238,0.9904397705544932,0.984189723320158,0.9900398406374502,0.9450980392156862,0,0.8107074569789675
Andre Reed,0.4533333333333333,0.8217821782178217,0.966722129783694,0.9573333333333334,0.9637305699481864,0.9514824797843666,0.9870801033591732,0.9597855227882036,0.967654986522911,0.9479166666666666,0.9152542372881356,0.9354066985645934,0.9099756690997568,0,0.96875
Anquan Boldin,0.7417355371900827,0.8472505091649695,0.9754601226993864,0.9657387580299786,0.9813278008298756,0.9711340206185568,0.9380165289256198,0.946058091286307,0.9384920634920636,0.948374760994264,0.9723320158102768,0.9800796812749004,0.9745098039215686,0,0.9541108986615678
Antonio Gates,0.402892561983471,0.824847250509165,0.9631901840490796,0.9914346895074948,0.9854771784232366,0.9670103092783504,0.96900826446281,0.970954356846473,0.9761904761904762,0.9407265774378584,0.9209486166007904,0.9163346613545816,0.9254901960784314,0,0.9139579349904398
Art Monk,0.5595567867036011,0.8801089918256131,0.9169054441260746,0.940379403794038,0.9546599496221664,0.976,0.9826732673267328,0.9717138103161398,0.9653333333333334,0.966321243523316,0.954177897574124,0.9509043927648578,0.9276139410187668,0,0.9056603773584906
Benjamin Watson,0.1242362525458248,0.4907975460122699,0.7259100642398287,0.7966804979253111,0.7298969072164948,0.7789256198347108,0.8360995850622407,0.871031746031746,0.8738049713193117,0.8003952569169961,0.7390438247011952,0.8,0.6596558317399618,0,0.7359223300970874
Billy Johnson,0.5243445692883895,0.7272727272727273,0.9,0.8962264150943396,0.8219584569732937,0.6975476839237057,0.590027700831025,0.4768392370572207,0.2492836676217765,0.4498644986449864,0.7581863979848866,0.8853333333333333,0.8044554455445545,0,0.7737104825291181
Bobby Engram,0.284688995215311,0.5182481751824818,0.8317307692307693,0.8747152619589977,0.8551401869158879,0.7822014051522248,0.7660044150110376,0.8739669421487604,0.879837067209776,0.8875255623721882,0.8458244111349036,0.9045643153526972,0.8762886597938144,0,0.8553719008264463
