Player,Year1,Year2,Year3,Retire,NextPercentile
A.J. Bouye,0.1677651288196525,0.7954680977936792,0.8356083086053413,0,0.8920821114369502
A.J. Cann,0.3090909090909091,0.2996495327102804,0.3384615384615385,0,0.2015503875968992
A.J. Cole,0.1067382230172927,0.0571095571095571,0.1385853939045428,1,
A.J. Duhe,0.1349693251533742,0.25,0.3386138613861386,0,0.2992277992277992
A.J. Edds,0.4715496368038741,0.4945652173913043,0.4991012582384661,0,0.1282051282051282
A.J. Feeley,0.0727504786215698,0.0797280593325092,0.0512195121951219,0,0.0326481257557436
A.J. Francis,0.2522255192878338,0.2563049853372434,0.518107476635514,1,
A.J. Green,0.1658595641646489,0.2814009661835748,0.3798681845416417,0,0.3381037567084078
A.J. Hawk,0.7797223898611949,0.8737343656938654,0.9314903846153846,0,0.903708133971292
A.J. Johnson,0.7012522361359571,0.8356643356643356,0.863139735480161,1,
A.J. Johnson~,0.4090056285178236,0.4859287054409005,0.5778611632270169,0,0.3252788104089219
A.J. Klein,0.5781905332534452,0.6368515205724508,0.743620178041543,0,0.7624633431085044
A.J. Moore,0.4526627218934911,0.5038759689922481,0.62004662004662,0,0.6147211040828062
A.Q. Shipley,0.1612903225806451,0.2079439252336448,0.2088757396449704,0,0.182468694096601
AJ Parker,0.6032202415181138,0.6151551312649165,0.5998743718592965,1,
Aaron Beasley,0.2719449225473322,0.3919597989949748,0.744299674267101,0,0.9407176287051482
Aaron Berry,0.5606595995288575,0.5944309927360775,0.6111111111111112,0,0.5368484122228879
Aaron Brewer,0.2192028985507246,0.3019772318753744,0.3780560524746571,0,0.3103857566765579
Aaron Brooks,0.175,0.0509383378016085,0.169751116783663,0,0.2354758961681087
Aaron Brown~,0.6277372262773723,0.5229885057471264,0.5175879396984925,0,0.0245098039215686
Aaron Colvin,0.5002981514609421,0.7044510385756677,0.7589442815249267,0,0.7727803738317757
Aaron Curry,0.6782296650717703,0.8303886925795053,0.889225181598063,0,0.8297101449275363
Aaron Donald,0.7865235539654144,0.9008902077151336,0.9730205278592376,0,0.9871495327102804
Aaron Elling,0.2428924598269468,0.3432926829268293,0.3766626360338573,1,
Aaron Francisco,0.3875453446191052,0.6825588412794207,0.7212626563430613,0,0.7662259615384616
Aaron Glenn,0.3225255972696246,0.7349397590361446,0.7906197654941374,0,0.8355048859934854
Aaron Hernandez,0.0400471142520612,0.0405569007263922,0.1068840579710145,1,
Aaron Jones~,0.0433962264150943,0.0956848030018761,0.2401500938086304,0,0.2551594746716698
Aaron Kampman,0.5443522654754308,0.7478368355995055,0.8585365853658536,0,0.9480048367593712
Aaron Kyle,0.1456692913385826,0.4485294117647059,0.5261324041811847,0,0.4917491749174917
Aaron Lynch,0.6517590936195587,0.7673590504451039,0.807624633431085,0,0.7622663551401869
Aaron Maybin,0.5705741626794258,0.5848056537102474,0.8026634382566586,0,0.7693236714975845
Aaron Morgan,0.1472320376914016,0.1186440677966101,0.3357487922705314,1,
Aaron Ripkowski,0.3899109792284866,0.4258064516129032,0.4380841121495327,1,
Aaron Rodgers,0.125,0.2033492822966507,0.2208480565371024,0,0.059322033898305
Aaron Ross,0.7450863609291245,0.8635817307692307,0.8797846889952153,0,0.800942285041225
Aaron Rouse,0.6420488385944014,0.8245192307692307,0.882177033492823,1,
Aaron Schobel,0.6682305630026809,0.8162093171665603,0.9449938195302844,0,0.9871951219512196
Aaron Shea,0.175,0.3974530831099195,0.4173580089342693,0,0.4332509270704573
Aaron Smith,0.6227941176470588,0.782171581769437,0.8793873643905552,0,0.8813349814585909
Aaron Stecker,0.3985294117647059,0.3827077747989276,0.5698787492022974,0,0.580964153275649
