Player,Year1,Year2,Year3,Year4,Retire,NextPercentile
A.J. Bouye,0.1677651288196525,0.7954680977936792,0.8356083086053413,0.8920821114369502,0,0.9024532710280374
A.J. Cann,0.3090909090909091,0.2996495327102804,0.3384615384615385,0.2015503875968992,0,0.2599067599067599
A.J. Duhe,0.1349693251533742,0.25,0.3386138613861386,0.2992277992277992,1,
A.J. Edds,0.4715496368038741,0.4945652173913043,0.4991012582384661,0.1282051282051282,1,
A.J. Feeley,0.0727504786215698,0.0797280593325092,0.0512195121951219,0.0326481257557436,0,0.0941460470730235
A.J. Green,0.1658595641646489,0.2814009661835748,0.3798681845416417,0.3381037567084078,0,0.3370919881305638
A.J. Hawk,0.7797223898611949,0.8737343656938654,0.9314903846153846,0.903708133971292,0,0.928150765606596
A.J. Johnson~,0.4090056285178236,0.4859287054409005,0.5778611632270169,0.3252788104089219,0,0.4838709677419355
A.J. Klein,0.5781905332534452,0.6368515205724508,0.743620178041543,0.7624633431085044,0,0.8008177570093458
A.J. Moore,0.4526627218934911,0.5038759689922481,0.62004662004662,0.6147211040828062,1,
A.Q. Shipley,0.1612903225806451,0.2079439252336448,0.2088757396449704,0.182468694096601,1,
Aaron Beasley,0.2719449225473322,0.3919597989949748,0.744299674267101,0.9407176287051482,0,0.9941176470588236
Aaron Berry,0.5606595995288575,0.5944309927360775,0.6111111111111112,0.5368484122228879,0,0.1991651759093619
Aaron Brewer,0.2192028985507246,0.3019772318753744,0.3780560524746571,0.3103857566765579,0,0.3126099706744868
Aaron Brooks,0.175,0.0509383378016085,0.169751116783663,0.2354758961681087,0,0.325609756097561
Aaron Brown~,0.6277372262773723,0.5229885057471264,0.5175879396984925,0.0245098039215686,0,0.0179372197309417
Aaron Colvin,0.5002981514609421,0.7044510385756677,0.7589442815249267,0.7727803738317757,0,0.665680473372781
Aaron Curry,0.6782296650717703,0.8303886925795053,0.889225181598063,0.8297101449275363,1,
Aaron Donald,0.7865235539654144,0.9008902077151336,0.9730205278592376,0.9871495327102804,0,0.9994082840236688
Aaron Francisco,0.3875453446191052,0.6825588412794207,0.7212626563430613,0.7662259615384616,0,0.6698564593301436
Aaron Glenn,0.3225255972696246,0.7349397590361446,0.7906197654941374,0.8355048859934854,0,0.6786271450858035
Aaron Jones~,0.0433962264150943,0.0956848030018761,0.2401500938086304,0.2551594746716698,0,0.2323420074349442
Aaron Kampman,0.5443522654754308,0.7478368355995055,0.8585365853658536,0.9480048367593712,0,0.9812914906457452
Aaron Kyle,0.1456692913385826,0.4485294117647059,0.5261324041811847,0.4917491749174917,0,0.6840490797546013
Aaron Lynch,0.6517590936195587,0.7673590504451039,0.807624633431085,0.7622663551401869,0,0.7218934911242604
Aaron Maybin,0.5705741626794258,0.5848056537102474,0.8026634382566586,0.7693236714975845,1,
Aaron Rodgers,0.125,0.2033492822966507,0.2208480565371024,0.059322033898305,0,0.0440821256038647
Aaron Ross,0.7450863609291245,0.8635817307692307,0.8797846889952153,0.800942285041225,0,0.7814769975786925
Aaron Schobel,0.6682305630026809,0.8162093171665603,0.9449938195302844,0.9871951219512196,0,0.9933494558645708
Aaron Shea,0.175,0.3974530831099195,0.4173580089342693,0.4332509270704573,0,0.375609756097561
Aaron Smith,0.6227941176470588,0.782171581769437,0.8793873643905552,0.8813349814585909,0,0.9384146341463414
Aaron Stecker,0.3985294117647059,0.3827077747989276,0.5698787492022974,0.580964153275649,0,0.5823170731707317
Aaron Wallace~,0.24765478424015,0.3208255159474671,0.3643122676579926,0.2030360531309298,0,0.2230623818525519
Aaron Williams,0.62409200968523,0.6733091787439613,0.8573996405032954,0.8831246273106739,0,0.8902077151335311
Abdul Hodge,0.5823777911888955,0.5896366885050626,0.6015625,0.5675837320574163,0,0.5753828032979976
Abdullah Anderson,0.4627310673822302,0.4527972027972028,0.4519838987924094,0.5638424821002387,0,0.6036432160804021
Abram Elam,0.5328907664453832,0.646813579511614,0.8743990384615384,0.9210526315789472,0,0.9764428739693758
Abry Jones,0.4685440383463151,0.6791890280262374,0.7620178041543026,0.7947214076246334,0,0.7844626168224299
Adalius Thomas,0.7285522788203753,0.8832163369495852,0.9289245982694684,0.9689024390243902,0,0.9921402660217654
Adam Archuleta,0.6628686327077749,0.8098276962348436,0.9264524103831892,0.9542682926829268,0,0.9673518742442564
Adam Carriker,0.5955926146515783,0.6502403846153846,0.6447368421052632,0.6643109540636042,0,0.7294188861985472
Adam Goldberg,0.1506097560975609,0.2563482466747279,0.2957151478575739,0.2346634901727218,0,0.3251201923076923
Adam Hayward,0.4544371649791542,0.5078125,0.5747607655502392,0.6590106007067138,0,0.6658595641646489
Adam Humphries,0.2522255192878338,0.2563049853372434,0.5514018691588785,0.5473372781065089,0,0.5366726296958855
Adam Jennings,0.4852142426071213,0.5110184633710542,0.5408653846153846,0.4449760765550239,1,
Adam Jones,0.5634824667472793,0.8455039227519614,0.8469326980345444,0.8539663461538461,0,0.6118421052631579
Adam Podlesh,0.2722355769230769,0.2942583732057416,0.3115429917550059,0.1658595641646489,0,0.2391304347826087
Adam Seward,0.3270858524788392,0.5057332528666264,0.5413936867182847,0.5775240384615384,0,0.5089712918660287
Adam Snyder,0.0918984280532043,0.048280024140012,0.1274568195354377,0.1033653846153846,0,0.5095693779904307
Adam Timmerman,0.175,0.0509383378016085,0.1001914486279515,0.1915945611866502,0,0.1701219512195122
Adam Treu,0.3911764705882353,0.3579088471849866,0.4582003828972559,0.4474660074165636,0,0.4560975609756098
Adam Vinatieri,0.3235294117647059,0.3847184986595174,0.3899170389278877,0.3794808405438813,0,0.2859756097560975
Adarius Taylor,0.5635062611806798,0.5554896142433234,0.5994134897360703,0.7061915887850467,0,0.8195266272189349
Ade Jimoh,0.4245982694684796,0.4865853658536585,0.5386940749697703,0.5944477972238986,0,0.5795116140559857
Adewale Ogunleye,0.4276139410187667,0.8021697511167837,0.9548825710754018,0.9835365853658536,0,0.9746070133010882
Adrian Amos,0.6213649851632047,0.7548387096774194,0.9164719626168224,0.9497041420118344,0,0.9558735837805604
Adrian Awasom,0.1390568319226118,0.4948702474351237,0.4860035735556879,0.4813701923076923,0,0.0370813397129186
Adrian Clayborn,0.7802663438256658,0.7832125603864735,0.8909526662672259,0.7614788312462731,0,0.7964391691394659
Adrian Dingle,0.55,0.5958445040214477,0.6885768985322271,0.8170580964153276,0,0.8256097560975609
Adrian Peterson,0.1914486279514997,0.2354758961681087,0.4908536585365853,0.5151148730350665,0,0.5594447797223898
Adrian Phillips,0.1848539057841383,0.6320474777448071,0.7466275659824047,0.8592289719626168,0,0.8887573964497042
Adrian Ross,0.1530944625407166,0.3213728549141966,0.6845588235294118,0.6869973190348525,0,0.635609444798979
Adrian White,0.1773584905660377,0.3939962476547842,0.4446529080675422,0.4803001876172608,1,
Adrian Wilson,0.7064343163538874,0.8800255264837269,0.9276885043263288,0.9670731707317072,0,0.975211608222491
Aeneas Williams,0.6097560975609756,0.828996282527881,0.922201138519924,0.9224952741020794,0,0.969283276450512
Ahmad Bradshaw,0.5229303156640858,0.5997596153846154,0.6034688995215312,0.6171967020023557,0,0.5441888619854721
Ahmad Brooks,0.5481812380344607,0.5543881334981459,0.5432926829268293,0.0326481257557436,0,0.5570307785153893
Ahmad Carroll,0.6737804878048781,0.7636033857315598,0.791792395896198,0.6795711733174509,0,0.6352163461538461
Ahman Green,0.3419117647058823,0.3491957104557641,0.3624760689215061,0.3331273176761434,0,0.2176829268292683
Ahmard Hall,0.3566686783343392,0.4151280524121501,0.4164663461538461,0.4240430622009569,0,0.4346289752650176
Ahmed Plummer,0.5772058823529411,0.814343163538874,0.8755583918315252,0.930778739184178,0,0.8359756097560975
Ahtyba Rubin,0.4314903846153846,0.6357655502392344,0.7767962308598351,0.8559322033898306,0,0.8743961352657005
Ainsley Battles,0.5411764705882353,0.7935656836461126,0.8404594767070837,0.811495673671199,0,0.6207317073170732
Akbar Gbaja-Biamila,0.4789864029666255,0.5579268292682927,0.5598548972188634,0.5003017501508751,1,
Akeem Ayers,0.7027845036319612,0.8683574879227053,0.915518274415818,0.9081693500298152,0,0.8759643916913946
Akeem Dent,0.5647699757869249,0.6835748792270532,0.762732174955063,0.7584973166368515,0,0.6979228486646885
Akeem Jordan,0.4687313877307921,0.6616586538461539,0.7763157894736842,0.7885747938751473,0,0.7415254237288136
Akeem King,0.1329376854599406,0.1401759530791788,0.1226635514018691,0.4940828402366864,0,0.5402504472271914
Akeem Spence,0.6051527860994608,0.7304710793082886,0.7382789317507419,0.7348973607038123,0,0.7464953271028038
Akiem Hicks,0.5658212560386473,0.7345715997603355,0.7877161598091831,0.826112759643917,0,0.8950146627565982
Akin Ayodele,0.7236758136566688,0.8875154511742892,0.9573170731707316,0.964328899637243,0,0.944477972238986
Al Afalava,0.6818181818181818,0.6925795053003534,0.6785714285714286,0.5621980676328503,1,
Al Atkinson,0.7373737373737373,0.7007299270072993,0.6954022988505747,0.4974874371859296,1,
Al Baker,0.1023102310231023,0.3773006134969325,0.8532110091743119,0.9524752475247524,0,0.9498069498069498
Al Beauchamp,0.1313131313131313,0.8321167883211679,0.7701149425287356,0.8291457286432161,0,0.6176470588235294
Al Clark,0.1839080459770115,0.3517587939698492,0.3333333333333333,0.1390134529147982,0,0.0705394190871369
Al Harris1,0.3312883435582822,0.4220183486238532,0.4811881188118811,0.3725868725868725,0,0.266173752310536
Al Harris2,0.5366614664586583,0.7852941176470588,0.839142091152815,0.6770899808551372,0,0.8226205191594561
Al Matthews,0.2481751824817518,0.4195402298850574,0.7738693467336684,0.8333333333333334,0,0.852017937219731
Al Noga,0.5290806754221389,0.8442776735459663,0.8986866791744841,0.8828996282527881,0,0.7115749525616698
Al Richardson,0.7128712871287128,0.8588957055214724,0.9243119266055044,0.7603960396039604,0,0.7123552123552124
Al Smith,0.1013133208255159,0.701688555347092,0.9014869888475836,0.8349146110056926,0,0.7410207939508506
Al Wallace,0.4006514657980456,0.4290171606864275,0.6977941176470588,0.0201072386058981,0,0.6853860880663688
Al Wilson,0.3900156006240249,0.8352941176470589,0.8934316353887399,0.9285258455647736,0,0.8986402966625463
Al Woods,0.4858657243816254,0.4915254237288136,0.5241545893719807,0.5775913720790893,0,0.6362552176505665
Alan Ball,0.2167957117331745,0.4441105769230769,0.5586124401913876,0.7497055359246172,0,0.7905569007263923
Alan Branch,0.4020250148898153,0.4387019230769231,0.5998803827751196,0.7432273262661955,0,0.7887409200968523
Alan Faneca,0.1233243967828418,0.1991065730695596,0.2484548825710754,0.1701219512195122,0,0.1185006045949214
Alan Grant,0.2439024390243902,0.2626641651031895,0.2490706319702602,0.1537001897533206,0,0.2287334593572778
Alan Ricard,0.1233243967828418,0.0887045309508615,0.145859085290482,0.1310975609756097,1,
Albert Fontenot,0.1366223908918406,0.328922495274102,0.4744027303754266,0.5731497418244407,0,0.7705192629815746
Albert Haynesworth,0.5583918315252074,0.6983930778739185,0.8,0.8422007255139057,0,0.823777911888956
Albert Huggins,0.3279666070363745,0.3193473193473193,0.4715353651523864,0.4361575178997613,0,0.5521356783919598
Albert Lewis,0.4316831683168317,0.6312741312741312,0.9408502772643254,0.9613970588235294,0,0.9419642857142856
Albert McClellan,0.4654963680387409,0.623792270531401,0.6530856800479329,0.6338700059630292,0,0.5827893175074184
