Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Retire,NextPercentile
Alex Smith,0.0459770114942528,0.3258426966292135,0.4787234042553192,0.4444444444444444,0.5060240963855421,0.6162790697674418,0.85,0.7972972972972973,0.8285714285714286,0.8243243243243243,0.8904109589041096,0.875,0,0.9726027397260274
Archie Manning,0.1333333333333333,0.5641025641025641,0.7948717948717948,0.903846153846154,0.7307692307692307,0.293103448275862,0.3968253968253968,0.7538461538461538,0.9384615384615383,0.9710144927536232,0.8450704225352113,0.6197183098591549,0,0.5555555555555556
Ben Roethlisberger,0.3176470588235294,0.7586206896551724,0.8764044943820225,0.925531914893617,0.7888888888888889,0.8433734939759037,0.8604651162790697,0.9125,0.918918918918919,0.8714285714285714,0.9054054054054054,0.9041095890410958,0,0.9166666666666666
Bernie Kosar,0.1951219512195122,0.5176470588235295,0.9609375,0.9529411764705882,0.9390243902439024,0.8354430379746836,0.8421052631578947,0.775,0.7848101265822784,0.691358024691358,0.6590909090909091,0.6888888888888889,1,
Bobby Hebert,0.2439024390243902,0.4235294117647059,0.84375,0.8117647058823529,0.8658536585365854,0.6455696202531646,0.5657894736842105,0.6875,0.9113924050632912,0.8641975308641975,0.7613636363636364,0.7666666666666667,1,
Boomer Esiason,0.1904761904761904,0.5609756097560976,0.9411764705882352,0.9765625,0.9882352941176472,0.9878048780487804,0.9620253164556962,0.9078947368421052,0.675,0.7215189873417721,0.6790123456790124,0.7727272727272727,0,0.6
Brad Johnson,0.1358024691358024,0.2840909090909091,0.6555555555555556,0.8333333333333334,0.9101123595505618,0.9662921348314608,0.9222222222222224,0.926829268292683,0.927710843373494,0.9397590361445785,0.9411764705882352,0.8505747126436781,0,0.797752808988764
Brett Favre,0.0,0.3,0.5063291139240507,0.9629629629629628,0.9886363636363636,1.0,1.0,1.0,1.0,0.9555555555555556,0.951219512195122,0.891566265060241,0,0.9156626506024096
Bubby Brister,0.2117647058823529,0.3359375,0.5176470588235295,0.5121951219512195,0.7215189873417721,0.6842105263157895,0.65,0.6962025316455697,0.7037037037037037,0.6704545454545454,0.3,0.2777777777777778,0,0.4831460674157303
Carson Palmer,0.2823529411764706,0.8160919540229885,0.9550561797752808,0.9680851063829788,0.9333333333333332,0.8192771084337349,0.7441860465116279,0.7875,0.7432432432432432,0.8,0.7297297297297297,0.863013698630137,0,0.8194444444444444
