Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Retire,NextPercentile
Andre Reed,0.4533333333333333,0.8217821782178217,0.966722129783694,0.9573333333333334,0.9637305699481864,0.9514824797843666,0.9870801033591732,0.9597855227882036,0.967654986522911,0.9479166666666666,0.9152542372881356,0.9354066985645934,0.9099756690997568,0.96875,0.940774487471526,0.8714953271028038,1,
Antonio Gates,0.402892561983471,0.824847250509165,0.9631901840490796,0.9914346895074948,0.9854771784232366,0.9670103092783504,0.96900826446281,0.970954356846473,0.9761904761904762,0.9407265774378584,0.9209486166007904,0.9163346613545816,0.9254901960784314,0.9139579349904398,0.8504854368932039,0.797752808988764,1,
Art Monk,0.5595567867036011,0.8801089918256131,0.9169054441260746,0.940379403794038,0.9546599496221664,0.976,0.9826732673267328,0.9717138103161398,0.9653333333333334,0.966321243523316,0.954177897574124,0.9509043927648578,0.9276139410187668,0.9056603773584906,0.8723958333333334,0.8159806295399515,1,
Benjamin Watson,0.1242362525458248,0.4907975460122699,0.7259100642398287,0.7966804979253111,0.7298969072164948,0.7789256198347108,0.8360995850622407,0.871031746031746,0.8738049713193117,0.8003952569169961,0.7390438247011952,0.8,0.6596558317399618,0.7359223300970874,0.6685393258426966,0.8158379373848987,1,
Charlie Joiner,0.8625,0.9526315789473684,0.9532710280373832,0.9106382978723404,0.8314606741573034,0.8986013986013986,0.975,0.981132075471698,0.9614243323442137,0.9482288828337876,0.961218836565097,0.9809264305177112,0.9742120343839542,0.962059620596206,0.9420654911838792,0.9493333333333334,0,0.9356435643564356
Cris Carter,0.4742096505823627,0.7813333333333333,0.9145077720207254,0.9164420485175202,0.9069767441860463,0.9115281501340484,0.9784366576819408,0.9713541666666666,0.9903147699757868,0.9832535885167464,0.9854014598540146,0.971153846153846,0.9954441913439636,0.9883177570093458,0.9789227166276346,0.8565121412803532,1,
Deion Sanders,0.0025906735751295,0.0,0.2041343669250646,0.4262734584450402,0.633423180592992,0.4713541666666667,0.4915254237288136,0.4282296650717703,0.389294403892944,0.5048076923076923,0.3804100227790433,0.3551401869158878,0.0702576112412178,0.0110375275938189,0.0082644628099173,0.0468431771894093,1,
Frank Gore,0.1574642126789366,0.5032119914346895,0.7551867219917012,0.8103092783505155,0.8285123966942148,0.8153526970954357,0.7619047619047619,0.6978967495219885,0.6343873517786561,0.6195219123505976,0.6098039215686275,0.7380497131931166,0.7495145631067961,0.7546816479400749,0.6795580110497238,0.5531531531531532,1,
Henry Ellard,0.2222222222222222,0.6624685138539043,0.888,0.9207920792079208,0.956738768718802,0.9706666666666668,0.9974093264248703,0.9973045822102424,0.9948320413436692,0.9839142091152816,0.9757412398921832,0.984375,0.9830508474576272,0.985645933014354,0.9391727493917276,0.8774038461538461,1,
Irving Fryar,0.216624685138539,0.696,0.8762376237623762,0.961730449251248,0.9306666666666666,0.9196891191709844,0.921832884097035,0.937984496124031,0.967828418230563,0.981132075471698,0.9869791666666666,0.9854721549636803,0.9904306220095692,0.9878345498783456,0.9783653846153846,0.917995444191344,0,0.8644859813084113
Isaac Bruce,0.3854166666666667,0.847457627118644,0.971291866028708,0.9829683698296836,0.935096153846154,0.9567198177676538,0.9766355140186916,0.9859484777517564,0.9668874172185432,0.950413223140496,0.9470468431771896,0.9243353783231084,0.9143468950749464,0.9398340248962656,0.9628865979381444,0.9152892561983472,1,
James Lofton,0.6083086053412463,0.8692098092643051,0.9833795013850416,0.997275204359673,0.994269340974212,1.0,1.0,0.9946666666666668,0.9504950495049505,0.9650582362728786,0.9386666666666666,0.9378238341968912,0.8921832884097035,0.9198966408268734,0.9785522788203752,0.9622641509433962,1,
