Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Retire,NextPercentile
Adam Vinatieri,0.1212121212121212,0.2857142857142857,1.0,0.9487179487179488,0.6666666666666666,0.6097560975609756,0.8444444444444444,0.8095238095238095,0.7619047619047619,0.5555555555555556,0.4473684210526316,0.35,0.4146341463414634,0.3720930232558139,0.5227272727272727,0,0.4473684210526316
Al Del Greco,0.1428571428571428,0.4102564102564102,0.5897435897435898,0.6666666666666666,0.5128205128205128,0.4444444444444444,0.4375,0.6363636363636364,0.75,0.9,0.9090909090909092,0.9166666666666666,0.9090909090909092,0.9428571428571428,0.918918918918919,0,0.9230769230769232
David Akers,0.081081081081081,0.2051282051282051,0.4047619047619047,0.5853658536585366,0.9555555555555556,0.9285714285714286,0.9761904761904762,0.9777777777777776,1.0,0.6,0.4390243902439024,0.5348837209302325,0.75,0.9736842105263158,0.8055555555555556,0,0.4857142857142857
Eddie Murray,0.1470588235294117,0.3333333333333333,0.9736842105263158,1.0,0.9142857142857144,0.9487179487179488,0.8717948717948718,0.9333333333333332,0.8717948717948718,0.9722222222222222,0.9375,0.7878787878787878,0.40625,0.7333333333333333,0.696969696969697,0,0.6388888888888888
Gary Anderson,0.2631578947368421,0.4285714285714285,0.8571428571428571,0.8974358974358975,0.6666666666666666,0.9166666666666666,0.9230769230769232,0.8888888888888888,0.8125,0.6060606060606061,0.65625,0.5666666666666667,0.5757575757575758,0.4722222222222222,0.4848484848484848,0,0.4571428571428571
Jan Stenerud,0.9230769230769232,0.9444444444444444,0.9444444444444444,0.9090909090909092,1.0,1.0,1.0,0.8709677419354839,0.6875,0.6216216216216216,0.5294117647058824,0.696969696969697,0.8421052631578947,0.9428571428571428,0.7428571428571429,0,0.5384615384615384
Jason Elam,0.1,0.2727272727272727,0.9722222222222222,0.9393939393939394,0.8,0.7567567567567568,0.8717948717948718,0.7142857142857143,0.5365853658536586,0.5111111111111111,0.6666666666666666,0.6904761904761905,0.8,0.6052631578947368,0.75,0,0.8292682926829268
Jason Hanson,0.15625,0.2333333333333333,0.6060606060606061,0.7222222222222222,0.6060606060606061,0.8571428571428571,0.5945945945945946,0.8974358974358975,0.7857142857142857,0.7073170731707317,0.7555555555555555,0.7380952380952381,0.8333333333333334,0.7777777777777778,0.9210526315789472,0,0.925
Joe Nedney,0.0606060606060606,0.2,0.3783783783783784,0.3333333333333333,0.5714285714285714,0.6341463414634146,0.6666666666666666,0.4761904761904761,0.238095238095238,0.3555555555555555,0.3421052631578947,0.9,0.8780487804878049,0.6976744186046512,0.4318181818181818,1,
John Carney,0.0512820512820512,0.0,0.125,0.2424242424242424,0.71875,0.8,0.9696969696969696,0.9444444444444444,1.0,0.6285714285714286,0.8648648648648649,0.7435897435897436,0.9047619047619048,0.951219512195122,0.8666666666666667,0,0.8809523809523809
John Kasay,0.1818181818181818,0.21875,0.5333333333333333,0.4848484848484848,0.8333333333333334,0.9696969696969696,0.9714285714285714,0.8378378378378378,0.7692307692307693,0.3571428571428571,0.4146341463414634,0.2888888888888888,0.3809523809523809,0.3333333333333333,0.7333333333333333,0,0.7105263157894737
Mark Moseley,0.3076923076923077,0.6666666666666666,0.6111111111111112,0.3181818181818182,0.4166666666666667,0.5652173913043478,0.8518518518518519,1.0,0.96875,1.0,0.9705882352941176,0.8484848484848485,0.8947368421052632,0.9142857142857144,0.9428571428571428,0,0.7435897435897436
Mason Crosby,0.125,0.2439024390243902,0.8604651162790697,0.9545454545454546,0.868421052631579,0.7222222222222222,0.6,0.5277777777777778,0.6923076923076923,0.4444444444444444,0.5227272727272727,0.6190476190476191,0.7619047619047619,0.8367346938775511,0.84,0,0.8043478260869565
Matt Bahr,0.2162162162162162,0.3529411764705882,0.5757575757575758,0.5,0.5142857142857142,0.5428571428571428,0.717948717948718,0.6410256410256411,0.7,0.6410256410256411,0.5277777777777778,0.5625,0.5757575757575758,0.5,0.3333333333333333,0,0.3636363636363636
Matt Bryant,0.1777777777777777,0.238095238095238,0.4523809523809524,0.4444444444444444,0.4210526315789473,0.55,0.5853658536585366,0.4186046511627907,0.3636363636363636,0.3684210526315789,0.75,0.5428571428571428,0.6944444444444444,0.7692307692307693,0.9444444444444444,0,0.9318181818181818
Matt Stover,0.1515151515151515,0.25,0.5,0.5454545454545454,0.4444444444444444,0.7272727272727273,0.5714285714285714,0.4864864864864865,0.5384615384615384,0.6904761904761905,0.975609756097561,0.9777777777777776,0.9047619047619048,0.9047619047619048,0.9333333333333332,0,0.9736842105263158
Mike Nugent,0.2222222222222222,0.3157894736842105,0.575,0.2926829268292683,0.2790697674418604,0.2045454545454545,0.2631578947368421,0.6388888888888888,0.7714285714285715,0.4722222222222222,0.5641025641025641,0.5833333333333334,0.5909090909090909,0.5714285714285714,0.4285714285714285,0,0.4897959183673469
Morten Andersen,0.1052631578947368,0.3714285714285714,0.6,1.0,1.0,1.0,0.9743589743589745,0.8055555555555556,0.875,0.8484848484848485,0.96875,0.8666666666666667,0.8787878787878788,0.8611111111111112,0.7878787878787878,0,0.8857142857142857
Nick Lowery,0.09375,0.027027027027027,0.1764705882352941,0.3636363636363636,1.0,0.9714285714285714,1.0,0.9743589743589745,0.7948717948717948,0.95,1.0,1.0,1.0,0.8787878787878788,0.90625,0,0.9333333333333332
Norm Johnson,0.1842105263157894,0.4,0.7714285714285715,0.7948717948717948,0.717948717948718,0.7666666666666667,0.7948717948717948,0.5,0.59375,0.696969696969697,0.875,1.0,1.0,1.0,0.8484848484848485,0,0.7142857142857143
Olindo Mare,0.0857142857142857,0.2162162162162162,0.5897435897435898,0.8095238095238095,0.902439024390244,0.8,0.6904761904761905,0.5952380952380952,0.6666666666666666,0.5263157894736842,0.4,0.3170731707317073,0.3953488372093023,0.4090909090909091,0.4210526315789473,0,0.2777777777777778
Pat Leahy,0.1666666666666666,0.4782608695652174,0.7037037037037037,0.7096774193548387,0.78125,0.7297297297297297,0.6470588235294118,0.5454545454545454,0.7105263157894737,0.6571428571428571,0.5142857142857142,0.6410256410256411,0.9743589743589745,0.9666666666666668,0.8974358974358975,0,0.6111111111111112
Phil Dawson,0.1025641025641025,0.3095238095238095,0.4634146341463415,0.6888888888888889,0.8333333333333334,0.8571428571428571,0.8222222222222222,0.8421052631578947,0.825,0.8048780487804879,0.8837209302325582,0.7727272727272727,0.6842105263157895,0.5277777777777778,0.6857142857142857,0,0.8055555555555556
Ray Wersching,0.0909090909090909,0.3333333333333333,0.6086956521739131,0.5555555555555556,0.7419354838709677,0.84375,0.8648648648648649,0.8235294117647058,0.7575757575757576,0.6578947368421053,0.7142857142857143,0.8285714285714286,0.7692307692307693,0.6923076923076923,0.7166666666666667,1,
Robbie Gould,0.2444444444444444,0.2631578947368421,0.5,0.6341463414634146,0.7209302325581395,0.7045454545454546,0.7894736842105263,0.6666666666666666,0.6571428571428571,0.4166666666666667,0.5897435897435898,0.25,0.7954545454545454,0.7857142857142857,0.8571428571428571,0,0.6530612244897959
Ryan Longwell,0.1428571428571428,0.2702702702702703,0.717948717948718,0.8809523809523809,0.8292682926829268,0.7777777777777778,0.6428571428571429,0.9285714285714286,0.8444444444444444,0.868421052631579,0.675,0.7317073170731707,0.9069767441860463,0.8409090909090909,0.8157894736842105,1,
Sebastian Janikowski,0.0952380952380952,0.3414634146341463,0.5333333333333333,0.7142857142857143,0.6666666666666666,0.5777777777777777,0.5,0.65,0.926829268292683,0.9534883720930232,0.9318181818181818,0.8947368421052632,0.9722222222222222,0.8,0.6388888888888888,0,0.4358974358974359
Shayne Graham,0.0975609756097561,0.2666666666666666,0.3333333333333333,0.5476190476190477,0.8888888888888888,0.7631578947368421,0.725,0.7073170731707317,0.7906976744186046,0.6363636363636364,0.3157894736842105,0.3611111111111111,0.2857142857142857,0.3055555555555556,0.3846153846153846,1,
Stephen Gostkowski,0.0789473684210526,0.3,0.7560975609756098,0.8372093023255814,0.5454545454545454,0.6052631578947368,0.5,0.9428571428571428,1.0,1.0,0.9722222222222222,0.9090909090909092,0.8333333333333334,0.5714285714285714,0.5306122448979592,1,
Steve Christie,0.09375,0.303030303030303,0.78125,0.4666666666666667,0.8181818181818182,0.6666666666666666,0.8181818181818182,0.6,0.6216216216216216,0.8461538461538461,0.8571428571428571,0.5609756097560976,0.4888888888888889,0.3571428571428571,0.3571428571428571,1,
