player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Otto Graham,258,167,64.7,2722,10.6,11,4.3,9,3.5,70,N/A,N/A,99.7,,
Norm Van Brocklin,286,156,54.5,2393,8.4,19,6.6,14,4.9,70,N/A,N/A,84.1,,
Y.A. Tittle,259,149,57.5,2121,8.2,20,7.7,16,6.2,71,N/A,N/A,84.1,,
Bobby Thomason,304,162,53.3,2462,8.1,21,6.9,20,6.6,62,N/A,N/A,75.8,,
Bobby Layne,273,125,45.8,2088,7.7,16,5.9,21,7.7,97,N/A,N/A,59.6,,
George Blanda,362,169,46.7,2164,6.0,14,3.9,23,6.3,72,N/A,N/A,52.3,,
Jim Root,192,80,41.7,1149,6.0,8,4.2,11,5.7,77,N/A,N/A,51.8,,
Jim Finks,292,131,44.9,1484,5.1,8,2.7,14,4.8,77,N/A,N/A,49.8,,
Charlie Conerly,303,143,47.2,1711,5.7,13,4.3,25,8.2,60,N/A,N/A,44.9,,
Fred Enke,169,71,42.0,1054,6.2,8,4.7,15,8.9,55,N/A,N/A,41.9,,
Tobin Rote,185,72,38.9,1005,5.4,5,2.7,15,8.1,80,N/A,N/A,32.4,,
