player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Bob Waterfield,176,88,50.0,1566,8.9,13,7.4,10,5.7,91,N/A,N/A,81.8,,
Norm Van Brocklin,194,100,51.5,1725,8.9,13,6.7,11,5.7,81,N/A,N/A,80.8,,
Otto Graham,265,147,55.5,2205,8.3,17,6.4,16,6.0,81,N/A,N/A,79.2,,
Bobby Thomason,221,125,56.6,1306,5.9,11,5.0,9,4.1,75,N/A,N/A,73.5,,
Johnny Lujack,176,85,48.3,1295,7.4,8,4.5,8,4.5,78,N/A,N/A,69.2,,
Bobby Layne,332,152,45.8,2403,7.2,26,7.8,23,6.9,63,N/A,N/A,67.6,,
Bob Celeri,238,102,42.9,1797,7.5,12,5.0,15,6.3,75,N/A,N/A,59.8,,
Charlie Trippi,191,88,46.1,1191,6.2,8,4.2,13,6.8,80,N/A,N/A,52.1,,
Charlie Conerly,189,93,49.2,1277,6.8,10,5.3,22,11.6,69,N/A,N/A,49.3,,
Tobin Rote,256,106,41.4,1540,6.0,15,5.9,20,7.8,85,N/A,N/A,48.6,,
Adrian Burk,218,92,42.2,1329,6.1,14,6.4,23,10.6,53,N/A,N/A,44.5,,
