player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Otto Graham,185,98,53.0,1721,9.3,15,8.1,8,4.3,61,N/A,N/A,94.0,,
Bobby Thomason,171,88,51.5,1337,7.8,10,5.8,7,4.1,63,N/A,N/A,80.0,,
Charlie Conerly,202,98,48.5,1310,6.5,13,6.4,13,6.4,71,N/A,N/A,64.2,,
Norm Van Brocklin,272,144,52.9,1890,7.0,8,2.9,15,5.5,74,N/A,N/A,62.0,,
Bobby Layne,270,143,53.0,1830,6.8,11,4.1,17,6.3,77,N/A,N/A,61.8,,
Tobin Rote,342,157,45.9,1977,5.8,17,5.0,19,5.6,60,N/A,N/A,57.8,,
Y.A. Tittle,287,147,51.2,2185,7.6,17,5.9,28,9.8,78,N/A,N/A,56.6,,
George Shaw,237,119,50.2,1586,6.7,10,4.2,19,8.0,82,N/A,N/A,52.5,,
Eddie LeBaron,178,79,44.4,1270,7.1,9,5.1,15,8.4,70,N/A,N/A,50.5,,
Adrian Burk,228,110,48.2,1359,6.0,9,4.0,17,7.5,59,N/A,N/A,49.2,,
Jim Finks,344,165,48.0,2270,6.6,10,2.9,26,7.6,62,N/A,N/A,47.7,,
Lamar McHan,207,78,37.7,1085,5.2,11,5.3,19,9.2,74,N/A,N/A,34.8,,
