player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Johnny Unitas,301,172,57.1,2550,8.5,24,8.0,17,5.7,82,N/A,N/A,88.0,,
Y.A. Tittle,279,176,63.1,2157,7.7,13,4.7,15,5.4,46,N/A,N/A,80.0,,
Charlie Conerly,232,128,55.2,1712,7.4,11,4.7,11,4.7,70,N/A,N/A,74.9,,
Bart Starr,215,117,54.4,1489,6.9,8,3.7,10,4.7,77,N/A,N/A,69.3,,
Norm Van Brocklin,265,132,49.8,2105,7.9,20,7.5,21,7.9,70,N/A,N/A,68.8,,
Earl Morrall,289,139,48.1,1900,6.6,11,3.8,12,4.2,64,N/A,N/A,64.9,,
Tobin Rote,177,76,42.9,1070,6.0,11,6.2,10,5.7,48,N/A,N/A,60.2,,
Lamar McHan,200,87,43.5,1568,7.8,11,5.5,15,7.5,83,N/A,N/A,58.1,,
Bobby Layne,179,87,48.6,1169,6.5,6,3.4,12,6.7,65,N/A,N/A,53.0,,
Ed Brown,185,84,45.4,1321,7.1,6,3.2,16,8.7,74,N/A,N/A,44.4,,
