Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Rafael Septien,27,35,77.1,1/1,11/11,8/9,7/12,N/A,N/A,47,0
Nick Lowery,26,36,72.2,0/0,5/5,13/15,7/9,N/A,N/A,52,0
Pat Leahy,25,36,69.4,0/0,11/13,6/8,8/12,N/A,N/A,49,1
Eddie Murray,25,35,71.4,1/1,5/5,9/14,7/11,N/A,N/A,53,0
Joe Danelo,24,38,63.2,1/1,7/9,7/9,6/11,N/A,N/A,55,0
Uwe Von Schamann,24,31,77.4,0/0,9/9,11/12,4/10,N/A,N/A,46,0
Jim Breech,22,32,68.8,0/0,9/11,7/9,5/11,N/A,N/A,51,1
Jan Stenerud,22,24,91.7,2/2,7/8,9/9,2/3,N/A,N/A,53,0
Rick Danmeier,21,25,84,1/1,5/6,11/12,4/6,N/A,N/A,45,0
Mick Luckhurst,21,33,63.6,1/2,7/7,8/12,5/11,N/A,N/A,47,0
Tony Franklin 2,20,31,64.5,0/0,5/5,7/9,7/13,N/A,N/A,50,0
Rolf Benirschke,19,26,73.1,2/2,7/7,5/8,3/4,N/A,N/A,52,0
Mark Moseley,19,30,63.3,1/1,7/8,6/8,5/12,N/A,N/A,49,1
Neil O Donoghue,19,32,59.4,2/2,8/8,4/6,5/11,N/A,N/A,47,0
Frank Corral,17,26,65.4,0/0,6/9,5/6,6/11,N/A,N/A,44,2
Fred Steinfort,17,30,56.7,0/0,6/9,5/11,6/8,N/A,N/A,49,4
Ray Wersching,17,23,73.9,2/2,7/7,4/7,4/7,N/A,N/A,48,2
Matt Bahr,15,26,57.7,3/3,5/7,5/10,2/5,N/A,N/A,47,2
Bill Capece,15,24,62.5,0/0,5/7,3/5,5/10,N/A,N/A,51,1
Toni Fritsch,15,22,68.2,0/0,3/4,4/4,7/13,N/A,N/A,50,1
John Smith 2,15,24,62.5,0/0,7/7,2/6,5/7,N/A,N/A,50,1
Chris Bahr,14,24,58.3,0/0,6/8,2/4,3/7,N/A,N/A,51,0
Nick Mike Mayer,14,24,58.3,0/0,4/6,5/7,5/10,N/A,N/A,46,0
Benny Ricardo,13,25,52,0/0,5/5,3/9,5/10,N/A,N/A,46,3
Efren Herrera,12,17,70.6,0/0,6/6,3/4,2/5,N/A,N/A,54,0
David Trout,12,17,70.6,3/3,5/6,1/2,3/5,N/A,N/A,48,0
John Roveto,10,18,55.6,0/1,6/7,2/3,2/7,N/A,N/A,43,1
Mike Wood,10,18,55.6,2/2,2/3,3/5,3/7,N/A,N/A,48,1
Dave Jacobs,4,12,33.3,0/0,2/3,2/6,0/1,N/A,N/A,35,3
Wilson Alvarez,3,7,42.9,0/0,3/3,0/0,0/4,N/A,N/A,28,1
Bob Thomas,2,3,66.7,0/0,1/2,1/1,0/0,N/A,N/A,37,0
Garo Yepremian,2,4,50,0/0,0/0,1/1,1/3,N/A,N/A,44,1
Steve Cox,0,1,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
Hans Nielsen,0,2,0,0/0,0/1,0/1,0/0,N/A,N/A,0,0
