Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Eddie Murray,27,42,64.3,0/1,9/9,10/13,7/15,N/A,N/A,52,3
John Smith 2,26,34,76.5,2/2,11/11,10/14,3/7,N/A,N/A,44,2
Fred Steinfort,26,34,76.5,2/2,5/5,4/5,10/14,N/A,N/A,57,1
Rolf Benirschke,24,36,66.7,0/0,7/8,8/12,6/10,N/A,N/A,53,1
Efren Herrera,20,31,64.5,1/1,6/6,8/9,4/10,N/A,N/A,50,0
Nick Lowery,20,26,76.9,0/0,6/6,7/9,3/4,N/A,N/A,57,0
Chris Bahr,19,37,51.4,0/0,4/6,9/12,6/13,N/A,N/A,48,1
Matt Bahr,19,28,67.9,2/2,8/9,7/10,2/6,N/A,N/A,48,1
Toni Fritsch,19,24,79.2,1/1,7/9,7/8,4/6,N/A,N/A,46,1
Tim Mazzetti,19,27,70.4,2/2,8/8,4/7,4/8,N/A,N/A,50,1
Mark Moseley,18,33,54.6,0/0,3/4,5/6,7/12,N/A,N/A,52,0
Don Cockroft,16,26,61.5,0/0,6/7,5/7,5/9,N/A,N/A,45,0
Frank Corral,16,30,53.3,1/1,11/12,2/5,2/9,N/A,N/A,47,2
Joe Danelo,16,24,66.7,0/0,5/6,4/6,5/6,N/A,N/A,51,0
Rick Danmeier,16,26,61.5,1/1,6/6,8/10,1/9,N/A,N/A,47,1
Tony Franklin 2,16,31,51.6,4/4,2/5,7/11,2/8,N/A,N/A,51,0
Garo Yepremian,16,23,69.6,1/1,7/8,7/9,1/5,N/A,N/A,43,2
Ray Wersching,15,19,79,1/1,2/2,8/9,4/5,N/A,N/A,47,1
Pat Leahy,14,22,63.6,0/0,4/4,4/9,6/8,N/A,N/A,49,1
Uwe Von Schamann,14,23,60.9,0/0,9/10,3/5,2/5,N/A,N/A,48,1
Nick Mike Mayer,13,23,56.5,0/0,4/4,4/9,5/9,N/A,N/A,49,3
Bob Thomas,13,18,72.2,1/1,5/5,4/8,3/4,N/A,N/A,44,0
Steve Mike Mayer,12,23,52.2,0/0,5/6,3/8,4/7,N/A,N/A,46,0
Neil O Donoghue,11,15,73.3,0/0,3/3,3/4,5/8,N/A,N/A,43,0
Rafael Septien,11,17,64.7,1/1,3/4,6/6,0/3,N/A,N/A,52,0
Ian Sunter,11,20,55,0/0,7/7,3/7,1/5,N/A,N/A,42,0
Benny Ricardo,10,17,58.8,0/0,1/2,6/6,3/8,N/A,N/A,47,1
Tom Birney,6,12,50,0/0,1/2,4/6,0/2,N/A,N/A,50,0
Jim Breech,4,7,57.1,0/0,2/2,1/2,1/3,N/A,N/A,42,0
Steve Little,3,8,37.5,0/0,1/2,2/4,0/2,N/A,N/A,36,0
Chester Marcol,3,4,75,0/0,1/1,0/1,2/2,N/A,N/A,46,1
Jan Stenerud,3,5,60,0/0,1/1,1/1,1/3,N/A,N/A,40,1
Russell Erxleben,2,5,40,0/0,1/1,1/4,0/0,N/A,N/A,37,0
Ted Thompson,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
Sandro Vitiello,0,2,0,0/0,0/0,0/2,0/0,N/A,N/A,0,1
