Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Toni Fritsch,22,35,62.9,2/2,12/13,5/10,3/9,N/A,N/A,43,2
Jan Stenerud,22,32,68.8,1/1,7/8,8/9,5/10,N/A,N/A,51,4
Tom Dempsey,21,26,80.8,2/2,7/7,7/10,4/5,N/A,N/A,51,1
Jim Turner 2,21,29,72.4,1/1,7/9,7/9,4/7,N/A,N/A,53,2
Horst Muhlmann,20,29,69,1/1,8/11,3/3,7/13,N/A,N/A,51,4
Jim Bakken,19,24,79.2,0/0,10/11,5/7,4/6,N/A,N/A,48,3
Skip Butler,18,30,60,0/0,8/9,4/8,6/12,N/A,N/A,48,1
Don Cockroft,17,23,73.9,1/1,7/9,4/6,5/5,N/A,N/A,49,0
Roy Gerela,17,21,81,4/4,7/7,5/7,1/2,N/A,N/A,42,0
Mark Moseley,16,25,64,0/0,1/3,9/10,6/9,N/A,N/A,48,1
Errol Mann,14,21,66.7,1/1,6/6,4/9,3/5,N/A,N/A,47,2
Steve Mike Mayer,14,28,50,2/2,7/9,1/3,3/7,N/A,N/A,54,1
George Blanda,13,21,61.9,2/2,7/8,4/6,0/5,N/A,N/A,37,0
Fred Cox,13,17,76.5,0/0,3/3,6/6,3/7,N/A,N/A,52,1
Pat Leahy,13,21,61.9,0/0,3/3,3/5,7/12,N/A,N/A,47,4
Bob Thomas,13,23,56.5,0/0,3/7,5/6,4/7,N/A,N/A,55,4
Garo Yepremian,13,16,81.2,1/1,5/5,6/7,1/2,N/A,N/A,40,0
Ray Wersching,12,24,50,0/0,4/4,5/9,3/9,N/A,N/A,45,0
Joe Danelo,11,16,68.8,1/1,6/7,2/3,2/5,N/A,N/A,48,0
Dave Green,10,21,47.6,1/1,5/8,1/7,3/5,N/A,N/A,48,0
Toni Linhart,10,18,55.6,2/2,0/3,7/10,1/3,N/A,N/A,42,0
Richie Szaro,10,16,62.5,1/1,4/4,3/4,1/5,N/A,N/A,50,1
John Leypoldt,9,16,56.2,0/1,2/2,4/5,3/7,N/A,N/A,45,2
John Smith 2,9,17,52.9,1/1,1/1,5/6,2/8,N/A,N/A,46,3
George Hunt,6,11,54.6,0/0,2/2,3/6,1/3,N/A,N/A,41,3
Nick Mike Mayer,4,10,40,0/0,3/3,0/3,1/4,N/A,N/A,44,0
Chester Marcol,1,1,100,0/0,1/1,0/0,0/0,N/A,N/A,21,0
Bill Mcclard,1,5,20,0/0,0/1,0/2,1/2,N/A,N/A,42,1
Dave Pureifory,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
