Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Chris Boswell,41,44,93.2,0/0,9/9,12/12,7/8,13/14,0/1,57,1
Brandon Aubrey,40,47,85.1,0/0,4/4,8/10,14/16,12/13,2/4,65,2
Cameron Dicker,39,42,92.9,1/1,9/9,9/9,11/12,9/11,0/0,59,0
Jason Sanders,37,41,90.2,0/0,7/7,13/13,5/7,12/14,0/0,57,0
Ka Imi Fairbairn,36,42,85.7,0/0,8/10,11/11,4/5,13/16,0/0,59,0
Daniel Carlson,34,40,85,0/0,10/10,11/11,6/8,7/11,0/0,54,0
Matt Gay,31,37,83.8,0/0,9/9,12/12,7/7,3/9,0/0,56,0
Wil Lutz,31,34,91.2,0/0,2/2,13/14,11/11,5/6,0/1,55,1
Chase Mclaughlin,30,32,93.8,0/0,11/11,7/7,4/4,8/10,0/0,56,0
Joshua Karty,29,34,85.3,0/0,10/11,9/10,4/6,6/7,0/0,58,0
Jake Elliott,28,36,77.8,0/0,9/9,10/11,8/9,1/6,0/1,50,1
Chad Ryland,28,32,87.5,0/0,6/6,11/11,7/11,4/4,0/0,58,1
Blake Grupe,27,31,87.1,0/0,4/4,10/11,7/8,6/7,0/1,57,1
Cam Little,27,29,93.1,0/0,8/8,6/6,8/9,5/6,0/0,59,0
Austin Seibert,27,30,90,0/0,10/10,7/7,8/8,2/5,0/0,55,1
Jake Bates,26,29,89.7,0/0,3/3,10/10,7/8,6/7,0/1,58,0
Jason Myers,26,30,86.7,0/0,4/4,6/6,7/8,9/10,0/2,59,1
Joey Slye,26,33,78.8,0/0,5/6,10/11,5/7,5/7,1/2,63,1
Younghoe Koo,25,34,73.5,0/0,7/7,5/7,7/11,6/9,0/0,58,2
Tyler Bass,24,29,82.8,0/0,6/7,7/7,7/11,3/3,1/1,61,0
Jake Moody,24,34,70.6,0/0,9/9,5/5,6/11,4/9,0/0,53,0
Will Reichard,24,30,80,0/0,5/5,6/7,5/7,8/11,0/0,58,0
Eddy Pineiro,22,26,84.6,0/0,7/7,8/9,6/8,1/2,0/0,53,0
Justin Tucker,22,30,73.3,0/0,4/4,7/7,5/8,6/11,0/0,56,0
Harrison Butker,21,25,84,1/1,7/8,7/7,4/4,2/4,0/1,53,0
Nick Folk,21,22,95.4,0/0,5/5,2/2,8/9,6/6,0/0,56,0
Cairo Santos,21,25,84,0/0,4/4,4/4,5/8,8/9,0/0,54,3
Brandon Mcmanus,20,21,95.2,0/0,5/5,9/9,3/4,3/3,0/0,55,0
Dustin Hopkins,18,27,66.7,0/0,3/4,6/7,5/8,4/8,0/0,56,1
Greg Joseph,16,20,80,0/0,5/5,5/5,5/8,1/2,0/0,52,0
Evan Mcpherson,16,22,72.7,0/0,6/6,4/4,3/5,3/7,0/0,56,0
Matthew Wright,15,16,93.8,0/0,3/3,8/8,3/3,1/2,0/0,50,0
Anders Carlson,13,15,86.7,0/0,3/3,2/2,5/7,3/3,0/0,58,0
Brayden Narveson,12,18,66.7,0/0,4/4,3/4,5/9,0/1,0/0,47,0
John Parker Romo,11,12,91.7,0/0,3/3,3/3,4/5,1/1,0/0,55,0
Graham Gano,9,11,81.8,0/0,2/2,1/2,4/5,2/2,0/0,53,1
Cade York,9,13,69.2,0/0,5/5,2/3,1/3,1/2,0/0,59,0
Greg Zuerlein,9,15,60,0/0,4/4,4/6,1/4,0/1,0/0,40,1
Matt Prater,6,6,100,0/0,1/1,1/1,3/3,1/1,0/0,57,0
Zane Gonzalez,5,7,71.4,0/0,0/0,1/1,4/5,0/1,0/0,48,0
Spencer Shrader,5,5,100,0/0,2/2,1/1,2/2,0/0,0/0,45,0
Riley Patterson,4,7,57.1,0/0,0/0,3/3,0/1,1/3,0/0,52,0
Jude Mcatamney,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,31,0
Mitch Wishnowsky,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,26,0
Jamie Gillan,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
