Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Jim Brown,290,1329,4.58,70,14
J.D. Smith,207,1036,5.0,73,10
Ollie Matson,161,863,5.36,50,6
Tom Tracy,199,794,3.99,51,3
Bobby Mitchell,131,743,5.67,90,5
Rick Casares,177,699,3.95,47,10
Billy Ray Barnes,181,687,3.8,61,7
Paul Hornung,152,681,4.48,63,7
Alan Ameche,178,679,3.81,26,7
John David Crow,140,666,4.76,73,3
Don Bosseler,119,644,5.41,41,3
Joe Perry,139,602,4.33,40,3
Frank Gifford,106,540,5.09,79,3
Jim Taylor,120,452,3.77,21,6
Clarence Peaks,124,451,3.64,34,3
Nick Pietrosante,76,447,5.88,37,3
Johnny Olszewski,65,432,6.65,65,1
Lenny Moore,92,422,4.59,31,2
Dick James,100,384,3.84,39,3
Mel Triplett,91,381,4.19,20,1
Jon Arnett,73,371,5.08,80,2
Bobby Joe Conrad,74,328,4.43,56,2
Lew Carpenter,60,322,5.37,55,1
Johnny Morris,87,312,3.59,33,0
John Henry Johnson,82,270,3.29,39,2
Alex Webster,79,250,3.16,16,5
Tom Barnett,75,238,3.17,19,1
Mal Hammack,49,237,4.84,19,0
Phil King,72,232,3.22,24,0
Ed Sutton,61,232,3.8,30,1
Don McIlhenny,47,231,4.91,46,1
Mike Sommer,62,231,3.73,53,2
Larry Krutko,75,226,3.01,12,4
Ken Webb,60,222,3.7,29,2
Tommy Wilson,40,210,5.25,60,0
Howard Cassady,52,203,3.9,18,1
Willie Galimore,58,199,3.43,36,1
Dan Lewis,49,199,4.06,20,2
Bobby Layne,33,181,5.48,21,2
Joe Marconi,52,176,3.38,21,4
King Hill,39,167,4.28,29,5
Joe Morrison,62,165,2.66,14,1
Tobin Rote,35,156,4.46,21,2
Theron Sapp,41,145,3.54,17,1
Johnny Unitas,29,145,5.0,21,2
Billy Pricer,34,128,3.76,16,0
Earl Morrall,26,112,4.31,22,0
Ed Brown,33,108,3.27,46,1
Jerry Reichow,13,98,7.54,46,0
Ralph Guglielmi,26,97,3.73,19,0
Billy Wade,25,95,3.8,17,2
Zeke Bratkowski,7,86,12.29,41,0
Jim Podoley,18,83,4.61,25,0
Bart Starr,16,83,5.19,39,0
Ken Hall,14,81,5.79,20,0
Hugh McElhenny,18,67,3.72,18,1
C.R. Roberts,10,67,6.7,46,1
Lamar McHan,16,64,4.0,19,0
Joe Childress,30,59,1.97,9,0
Terry Barr,5,57,11.4,37,1
Frank Ryan,19,57,3.0,13,1
L.G. Dupre,23,54,2.35,21,0
Dick Haley,14,51,3.64,15,1
Bill Butler,7,49,7.0,16,0
Merrill Douglas,24,47,1.96,9,2
Alex Hawkins,12,44,3.67,11,0
Jimmy Orr,5,43,8.6,29,0
Jerry Norton,2,41,20.5,24,0
Charlie Conerly,15,38,2.53,10,1
Walt Kowalczyk,26,37,1.42,6,0
Lenny Lyles,13,28,2.15,13,1
Eagle Day,3,27,9.0,18,0
Leo Elter,8,25,3.13,9,0
Don Chandler,1,24,24.0,24,0
Y.A. Tittle,11,24,2.18,22,0
Len Dawson,4,20,5.0,10,0
Boyd Dowler,1,20,20.0,20,0
Milt Plum,21,20,0.95,17,1
John Roach,9,20,2.22,7,0
Larry Hickman,5,18,3.6,5,0
Yale Lary,1,18,18.0,18,0
Ed Modzelewski,6,18,3.0,5,0
Bob Ptacek,3,13,4.33,6,0
Norm Van Brocklin,11,13,1.18,12,2
Leroy Bolden,4,11,2.75,9,0
Jim Ninowski,1,11,11.0,11,0
Charlie Ane,0,10,0.0,10,0
George Scott,2,10,5.0,7,0
Jack Call,3,9,3.0,4,0
Dicky Moegle,3,9,3.0,4,0
Bobby Walston,2,8,4.0,7,0
Eddie LeBaron,13,7,0.54,15,0
John Brodie,5,6,1.2,6,0
Del Shofner,1,6,6.0,6,0
Joe Francis,2,5,2.5,8,0
Ray Brown,2,4,2.0,3,0
Preston Carpenter,1,4,4.0,4,0
Ray Mathews,1,4,4.0,4,0
Sam Baker,2,3,1.5,5,0
Don Heinrich,2,3,1.5,9,0
Bobby Luna,3,3,1.0,10,0
George Shaw,3,3,1.0,1,0
Hal Lewis,4,2,0.5,2,0
Rudy Bukich,1,0,0.0,0,0
Harlon Hill,1,0,0.0,0,0
R.C. Owens,1,0,0.0,0,0
M.C. Reynolds,5,11,0
Joe Pagliei,2,1,0
Tommy McDonald,2,0
Pete Retzlaff,2,0
John Adams,4,8,0
