Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Pug Manders,111,486,4.38,46,5
George McAfee,65,474,7.29,70,6
Marshall Goldberg,117,427,3.65,25,3
Norm Standlee,81,414,5.11,46,5
Clarke Hinkle,129,393,3.05,20,5
Dick Riffle,109,388,3.56,54,1
Frank Filchock,115,383,3.33,51,1
Bill Osmanski,70,371,5.3,23,4
Merl Condit,91,357,3.92,41,4
Tuffy Leemans,100,332,3.32,26,4
Cecil Isbell,72,317,4.4,24,1
Hugh Gallarneau,49,304,6.2,40,8
Ace Parker,85,301,3.54,60,0
Andy Uram,49,258,5.27,61,0
Elmer Hackney,63,253,4.02,31,1
Johnny Drake,101,246,2.44,15,2
Whizzer White,89,240,2.7,20,2
Art Jones,62,239,3.85,34,4
Parker Hall,57,232,4.07,60,2
Andy Farkas,85,224,2.64,10,2
Harry Hopp,69,202,2.93,29,1
Bill Leckonby,54,202,3.74,17,0
Jim Castiglia,60,183,3.05,47,4
George Kracum,52,169,3.25,17,3
Ray Nolting,40,169,4.23,28,1
Johnny Hall,53,165,3.11,24,2
Len Eshmont,50,164,3.28,25,0
Billy Jefferson,56,164,2.93,20,1
Ward Cuff,28,157,5.61,37,0
Andy Marefos,60,153,2.55,11,2
Bob Swisher,37,149,4.03,20,0
Frank Reagan,35,146,4.17,21,4
Dick Todd,55,138,2.51,11,1
Tony Canadeo,43,137,3.19,16,3
Bob Seymour,62,137,2.21,17,2
Marty Slovak,46,132,2.87,14,0
Dante Magnani,24,128,5.33,29,0
Bob Morrow,37,128,3.46,15,1
Hal Van Every,25,127,5.08,31,2
Dan DeSantis,45,125,2.78,26,0
Harry Clarke,28,122,4.36,15,0
Steve Belichick,28,118,4.21,11,2
George Paskvan,38,116,3.05,12,0
Boyd Brumbaugh,68,114,1.68,8,2
Joe Hoague,33,112,3.39,29,1
Corby Davis,31,110,3.55,18,0
Ray Mallouf,43,104,2.42,15,0
Gary Famiglietti,36,101,2.81,10,1
George Franck,48,101,2.1,17,3
Dean McAdams,38,99,2.61,39,0
Terry Fox,21,97,4.62,13,0
Joe Maniaci,28,95,3.39,14,3
Johnny Clement,61,94,1.54,25,1
Jack Banta,29,93,3.21,31,1
Hank Soar,29,90,3.1,19,0
Joe Wendlick,7,84,12.0,19,0
Frank Balasz,23,81,3.52,30,0
Dick Booth,29,80,2.76,17,1
Ray McLean,13,78,6.0,21,1
Sam Bartholomew,21,69,3.29,10,0
Mort Landsberg,23,69,3.0,33,0
George Morris,24,69,2.88,20,0
Howie Yeager,22,67,3.05,39,1
Eddie Jankowski,47,65,1.38,13,0
Len Barnum,35,64,1.83,20,0
Coley McDonough,20,64,3.2,28,0
Joe Laws,21,58,2.76,10,0
John Martin,25,56,2.24,17,1
Ned Mathews,31,56,1.81,16,0
Milt Piepul,20,56,2.8,13,0
Fred Gloden,22,55,2.5,10,0
Roy Zimmerman,20,54,2.7,12,0
Ray Hare,12,51,4.25,12,1
Marion Pugh,24,50,2.08,45,0
Wilbur Moore,10,48,4.8,42,1
Nick Basca,15,44,2.93,19,1
Lou Brock,14,44,3.14,14,0
Lou Tomasetti,16,41,2.56,11,0
Clint McClain,9,36,4.0,11,2
Cotton Price,16,36,2.25,13,0
Don Hutson,4,22,5.5,18,2
Hugh McCullough,15,22,1.47,14,0
Gaylon Smith,11,22,2.0,12,0
Al Donelli,15,20,1.33,7,0
Len Janiak,14,20,1.43,12,0
Lloyd Cardwell,10,19,1.9,12,0
Cece Hare,5,19,3.8,6,0
Sid Luckman,18,18,1.0,20,1
Leo Stasica,3,17,5.67,5,0
John Noppenberg,11,16,1.45,8,0
Maury Patt,5,16,3.2,11,0
Sammy Baugh,27,14,0.52,16,0
Lee Gentry,5,13,2.6,7,0
Eddie Rucinski,2,13,6.5,7,0
Ed Frutig,1,11,11.0,11,0
Foster Watkins,15,11,0.73,8,0
Lloyd Parsons,5,9,1.8,4,0
Ben Starret,7,9,1.29,15,0
Wayne Millner,2,8,4.0,8,0
Avery Monfort,3,8,2.67,11,0
Red Hickey,7,7,1.0,7,0
Bert Johnson,3,7,2.33,6,0
Perry Schwartz,1,7,7.0,7,0
Rhoten Shetley,1,7,7.0,7,0
Wes McAfee,9,6,0.67,3,0
Bob Nowaskey,3,5,1.67,3,0
Dom Principe,1,5,5.0,5,0
Jay Arnold,2,4,2.0,4,0
Milt Popovich,5,4,0.8,4,0
Thurman Jones,1,3,3.0,3,0
Bob Masterson,1,3,3.0,3,0
Wendell Butcher,1,2,2.0,2,0
Dick Dolly,1,2,2.0,2,0
Bob Hoffman,1,2,2.0,2,0
Larry Peace,4,2,0.5,2,0
Herm Rohrig,21,2,0.1,18,0
Larry Craig,1,1,1.0,1,0
Tony Gallovich,1,1,1.0,1,0
Rocco Pirro,1,1,1.0,1,0
Dick Plasman,1,1,1.0,1,0
Lou Ghecas,2,0,0.0,3,0
Rudy Mucha,1,0,0.0,0,0
Enio Conti,1,0
Billy Dewell,1,0
Buddy Parker,1,0
Tommy Thompson,54,14,0
Les Dodson,2,6,0
Augie Lio,1,0
Kay Eakin,27,17,0
Ed Justice,4,2,0
Lou Zontini,1,0
Bob Snyder,7,13,0
Young Bussey,13,16,0
Owen Goodnight,21,7,0
