Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Steve Van Buren,263,1146,4.36,41,11
Tony Canadeo,208,1052,5.06,54,4
Elmer Angsman,125,674,5.39,82,6
Gene Roberts,152,634,4.17,63,9
Jerry Nuzum,139,611,4.4,64,5
Dick Hoerner,155,582,3.75,37,6
Charlie Trippi,112,553,4.94,55,3
Joe Geri,133,543,4.08,25,5
Bosh Pritchard,84,506,6.02,77,3
George Gulyanics,102,452,4.43,31,5
Pat Harder,106,447,4.22,42,7
George Papach,99,407,4.11,25,0
Bill Dudley,125,402,3.22,26,3
Julie Rykovich,88,340,3.86,18,6
Joe Osmanski,81,312,3.85,48,2
Elroy Hirsch,68,287,4.22,51,1
Frank Ziegler,84,283,3.37,41,1
Rob Goode,61,261,4.28,54,2
Pete Stout,62,245,3.95,74,4
Joe Golding,63,240,3.81,39,0
Harry Dowda,65,239,3.68,21,2
Jim Parmer,66,234,3.55,34,5
Bobby Gage,46,228,4.96,97,3
Ted Fritsch,69,227,3.29,27,1
Joe Scott,70,224,3.2,13,6
Camp Wilson,68,222,3.26,24,1
Wally Triplett,53,221,4.17,80,1
Tommy Kalmanir,29,218,7.52,51,1
John Hoffman,53,216,4.08,27,1
Fred Gehrke,58,203,3.5,53,2
Earl Girard,45,198,4.4,35,1
Bobby Layne,54,196,3.63,27,3
Walt Schlinkman,47,196,4.17,37,0
Clyde Scott,40,195,4.88,39,1
Tank Younger,52,191,3.67,16,0
Bob Greenhalgh,62,188,3.03,14,0
Jack Myers,48,182,3.79,12,1
Wally Dreyer,45,172,3.82,38,0
Eddie Saenz,53,170,3.21,14,0
Harry Gilmer,31,167,5.39,25,0
Don Samuel,39,163,4.18,31,1
Bob Smith,33,162,4.91,20,0
George McAfee,42,161,3.83,23,3
Babe Dimancheff,38,151,3.97,22,3
Ed Quirk,40,139,3.48,13,1
Leon Cochran,34,135,3.97,16,1
Jim Finks,35,135,3.86,38,1
Bob Forte,40,135,3.38,25,0
Fred Enke,36,134,3.72,33,1
Paul Shoults,46,124,2.7,17,0
Phil Slosburg,37,121,3.27,23,1
Don Kindt,41,118,2.88,15,0
Vitamin Smith,40,117,2.93,26,2
J.R. Boone,35,111,3.17,22,0
Jack Salscheider,26,105,4.04,43,0
Jerry Williams,19,103,5.42,18,3
Bob Summerhays,29,101,3.48,14,0
Vinnie Yablonski,32,97,3.03,22,0
Jerry Shipkey,26,93,3.58,14,5
Jim Canady,23,91,3.96,46,0
Red Cochran,20,87,4.35,22,1
Tommy Mont,14,75,5.36,27,0
Clete Fischer,26,72,2.77,10,0
Sammy Baugh,13,67,5.15,17,2
Johnny Lujack,8,64,8.0,20,2
Dan Sandifer,20,64,3.2,21,0
Cloyce Box,30,62,2.07,11,0
Dante Magnani,33,59,1.79,9,0
Clyde LeForce,13,58,4.46,27,1
Ray Coates,27,55,2.04,11,0
Ralph Earhart,20,54,2.7,14,0
Bob Cifers,23,52,2.26,19,0
Vic Schwall,12,47,3.92,18,0
Bus Mertes,16,46,2.88,19,0
John Rauch,3,46,15.33,17,1
Charlie Conerly,23,42,1.83,7,0
Joe Sulaitis,14,42,3.0,12,0
John Panelli,10,37,3.7,9,0
Dean Sensanbaugher,20,36,1.8,7,1
Frank Tripucka,12,36,3.0,18,1
John Hollar,13,35,2.69,12,1
Paul Christman,4,34,8.5,22,0
Jerry Cowhig,10,32,3.2,8,1
Frank Nelson,8,26,3.25,25,0
Ed Cody,11,25,2.27,11,0
Don Doll,8,25,3.13,10,1
Stan Heath,10,25,2.5,18,1
Ed Smith,16,24,1.5,11,0
Jim Wade,9,23,2.56,6,0
Joe Muha,3,19,6.33,13,0
Bill Mackrides,14,17,1.21,17,1
Tommy Thompson,15,17,1.13,5,2
Clarence Self,4,16,4.0,6,0
Bob Hanlon,6,13,2.17,7,0
Joe Hollingsworth,6,13,2.17,7,0
Mal Kutner,5,10,2.0,4,0
Frank Muehlheuser,9,10,1.11,3,1
George Blanda,2,9,4.5,5,1
Bob Ravensberg,2,8,4.0,6,0
Bob Agler,4,7,1.75,4,0
Jim Hardy,7,6,0.86,4,1
Jack Kirby,3,6,2.0,8,0
Bill Long,2,6,3.0,10,0
Russ Craft,11,5,0.45,6,0
Pat McHugh,2,5,2.5,5,0
Frank Minini,1,5,5.0,5,0
Dick Poillon,7,5,0.71,5,0
Ed Sprinkle,1,5,5.0,5,0
Sid Luckman,3,4,1.33,14,0
Bob Perina,4,4,1.0,2,0
Bob DeMoss,5,1,0.2,4,0
Mel Groomes,1,1,1.0,1,0
Howie Livingston,1,1,1.0,1,1
Ray Mallouf,1,0
Norm Van Brocklin,4,2,0
Ben Kish,2,0,0
Tom Fears,1,0
Noah Mullins,2,4,0
Jim Peebles,1,0
Bob Waterfield,5,5,1
Ralph Heywood,3,2,0
Joe Glamp,3,2,0
