Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Jim Taylor,272,1474,5.42,51,19
John Henry Johnson,251,1141,4.55,40,7
Dick Bass,196,1033,5.27,57,6
Jim Brown,230,996,4.33,31,13
Don Perkins,222,945,4.26,35,7
J.D. Smith,258,907,3.52,28,6
Amos Marsh,144,802,5.57,70,6
John David Crow,192,751,3.91,35,14
Alex Webster,207,743,3.59,55,5
Tommy Mason,167,740,4.43,71,2
Timmy Brown,137,545,3.98,61,5
Billy Ray Barnes,159,492,3.09,32,3
Dan Lewis,120,488,4.07,64,6
Tom Watkins,113,485,4.29,60,3
Billy Kilmer,93,478,5.14,35,5
Prentice Gautt,114,470,4.12,34,2
Lenny Moore,106,470,4.43,25,2
Joe Womack,128,468,3.66,28,5
Phil King,108,460,4.26,20,2
Clarence Peaks,137,447,3.26,48,3
Nick Pietrosante,134,445,3.32,22,2
Dick Hoak,117,442,3.78,39,4
Joe Marconi,89,406,4.56,57,5
Tom Moore,112,377,3.37,32,7
Ronnie Bull,113,363,3.21,24,1
Fran Tarkenton,41,361,8.8,31,2
Joe Perry,94,359,3.82,21,0
Don Bosseler,93,336,3.61,15,2
Doug Mayberry,74,274,3.7,17,1
Ken Webb,70,267,3.81,25,1
Mark Smolinski,85,265,3.12,11,1
John Brodie,37,258,6.97,21,4
Rick Casares,75,255,3.4,18,2
Frank Ryan,42,242,5.76,39,1
Charlie Scales,56,239,4.27,27,3
Jon Arnett,76,238,3.13,40,2
Willie Galimore,43,233,5.42,77,2
Tom Matte,74,226,3.05,29,2
Paul Hornung,57,219,3.84,37,5
Hugh McElhenny,50,200,4.0,27,0
Amos Bullocks,33,196,5.94,73,2
Bob Gaiters,43,193,4.49,53,0
Art Perkins,48,181,3.77,20,2
Milt Plum,29,170,5.86,45,1
Joe Childress,37,162,4.38,15,0
Mal Hammack,38,160,4.21,23,1
Mel Triplett,52,160,3.08,18,2
Earl Gros,29,155,5.34,26,2
Joe Morrison,35,146,4.17,21,1
Billy Wade,40,146,3.65,21,5
Jim Cunningham,35,144,4.11,27,1
Tommy Wilson,46,141,3.07,17,1
Ernie Green,31,139,4.48,45,0
Charley Johnson,25,138,5.52,19,3
Johnny Unitas,50,137,2.74,25,0
Tom Tracy,20,116,5.8,35,0
Leroy Jackson,49,112,2.29,14,0
Elijah Pitts,22,110,5.0,26,2
Y.A. Tittle,17,108,6.35,23,2
Bill Brown,34,103,3.03,15,0
Paul Dudley,27,100,3.7,38,0
Roman Gabriel,18,93,5.17,15,0
Alex Hawkins,29,87,3.0,13,4
Glenn Shaw,18,76,4.22,38,0
Don Meredith,21,74,3.52,14,0
Harlon Hill,7,72,10.29,24,0
Bart Starr,21,72,3.43,18,1
Earl Morrall,17,65,3.82,29,1
Johnny Counts,14,55,3.93,23,0
Theron Sapp,23,53,2.3,17,2
Max McGee,3,52,17.33,36,0
Charlie Bivins,14,44,3.14,15,1
Sonny Jurgensen,17,44,2.59,30,2
Bob Waters,12,42,3.5,14,0
Ralph Guglielmi,11,40,3.64,18,0
King Hill,4,40,10.0,22,1
John Burrell,6,38,6.33,18,0
Bob Ferguson,20,37,1.85,13,0
Jim Vollenweider,11,37,3.36,10,0
Billy Martin,9,28,3.11,12,1
Ron Miller,3,27,9.0,13,0
Bobby Layne,15,25,1.67,17,1
J.W. Lockett,8,24,3.0,7,1
Bob Reed,6,22,3.67,11,0
Pervis Atkins,7,19,2.71,16,0
C.R. Roberts,9,19,2.11,12,0
Frank Gifford,2,18,9.0,12,1
Bake Turner,1,17,17.0,17,0
Jim Ninowski,9,15,1.67,7,0
Zeke Bratkowski,7,14,2.0,11,0
Jimmy Orr,1,14,14.0,14,0
Bobby Boyd,2,13,6.5,15,0
Dick James,9,13,1.44,7,0
Ralph Smith,1,13,13.0,13,0
Bill Triplett,2,12,6.0,10,0
Norm Snead,20,10,0.5,9,3
Bob Clemens,2,9,4.5,6,0
Bruce Maher,3,8,2.67,7,0
Les Richter,0,8,0.0,8,0
Art Anderson,1,7,7.0,7,0
Gary Ballman,3,7,2.33,3,0
Merrill Douglas,4,7,1.75,6,0
Johnny Morris,2,7,3.5,7,0
Howard Cassady,1,6,6.0,6,0
Sam Etcheverry,8,5,0.63,13,0
Bobby Mitchell,1,5,5.0,5,0
John Roach,1,5,5.0,5,0
John McCormick,2,4,2.0,4,0
Lamar McHan,4,4,1.0,5,0
Del Shofner,1,4,4.0,4,0
Dick Compton,1,3,3.0,3,0
Gail Cogdill,1,2,2.0,2,0
Galen Hall,2,2,1.0,1,1
Ollie Matson,3,0,0.0,2,0
Eddie LeBaron,6,3,0
Bill Cooper,2,2,0
Red Mack,2,7,0
Preston Carpenter,1,0
George Izo,1,0
Ron Kramer,1,0
Ed Brown,2,0
Fred Dugan,1,0
Aaron Thomas,1,0
John Thomas,1,0
Don Chandler,1,0
Pat Studstill,1,0
Doug Elmore,1,0
Lloyd Winston,1,0
