Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Jim Brown,291,1863,6.4,80,12
Jim Taylor,248,1018,4.1,40,9
Timmy Brown,192,841,4.38,34,6
John Henry Johnson,186,773,4.16,48,4
Tommy Mason,166,763,4.6,70,7
Joe Childress,174,701,4.03,28,2
Dick Hoak,216,679,3.14,17,6
Tom Moore,132,658,4.98,77,6
Bill Triplett,134,652,4.87,63,5
Don Perkins,149,614,4.12,19,7
Phil King,161,613,3.81,50,3
Joe Morrison,119,568,4.77,70,3
J.D. Smith,162,560,3.46,52,5
Tom Matte,133,541,4.07,31,4
Dan Lewis,133,528,3.97,27,2
Ernie Green,87,526,6.05,72,0
Dick Bass,143,520,3.64,51,5
Amos Marsh,99,483,4.88,41,5
Theron Sapp,104,452,4.35,27,1
Joe Marconi,118,446,3.78,19,2
Bill Brown,128,445,3.48,21,5
Jerry Hill,100,440,4.4,20,5
Tom Watkins,97,423,4.36,32,2
Nick Pietrosante,112,418,3.73,22,5
Ronnie Bull,117,404,3.45,18,1
Don Lisbon,109,399,3.66,25,0
Ben Wilson,109,394,3.61,39,1
Dick James,105,384,3.66,15,4
Billy Ray Barnes,93,374,4.02,19,5
Amos Bullocks,96,341,3.55,17,2
Willie Galimore,85,321,3.78,51,5
Don Bosseler,79,290,3.67,18,2
Tommy Wilson,73,282,3.86,30,4
Rick Casares,65,277,4.26,30,0
J.W. Lockett,81,273,3.37,18,0
Ted Dean,79,268,3.39,26,0
Alex Webster,75,255,3.4,12,4
Frank Ryan,62,224,3.61,25,2
Johnny Unitas,47,224,4.77,26,0
Clarence Peaks,64,212,3.31,26,1
Elijah Pitts,54,212,3.93,34,5
Jon Arnett,58,208,3.59,20,1
Earl Gros,48,203,4.23,19,2
Don Meredith,41,185,4.51,26,3
Hugh McElhenny,55,175,3.18,23,0
Bob Ferguson,46,172,3.74,19,1
Fran Tarkenton,28,162,5.79,24,1
Charley Johnson,41,143,3.49,16,1
Jim Stiger,31,140,4.52,14,1
Lenny Moore,27,136,5.04,25,2
Roman Gabriel,39,132,3.38,16,3
Billy Wade,45,132,2.93,17,6
Lloyd Winston,27,127,4.7,38,1
Jim Vollenweider,47,124,2.64,12,2
Bart Starr,13,116,8.92,20,0
Bill Thornton,19,111,5.84,55,1
Bob Paremore,36,107,2.97,14,0
Earl Morrall,26,105,4.04,18,1
Charlie Bivins,44,104,2.36,17,0
Norm Snead,23,100,4.35,16,2
Y.A. Tittle,18,99,5.5,18,2
Joe Perry,24,98,4.08,16,0
Bob Reed,21,88,4.19,16,0
Art Perkins,37,70,1.89,8,4
Ron Vander Kelen,8,65,8.13,20,0
John Brodie,7,63,9.0,24,0
Tom Tracy,29,61,2.1,9,1
Gary Ballman,8,59,7.38,18,0
Lamar McHan,17,59,3.47,16,0
Ken Webb,12,58,4.83,19,0
Bill Butler,17,48,2.82,11,0
Terry Baker,9,46,5.11,12,0
Sonny Jurgensen,13,38,2.92,13,1
Larry Wilson,2,38,19.0,35,1
Charlie Killett,11,36,3.27,8,0
John David Crow,9,34,3.78,9,0
Jim Cunningham,16,33,2.06,7,1
Jerry Stovall,1,32,32.0,32,0
John Roach,3,31,10.33,22,0
Leroy Jackson,3,30,10.0,17,0
Gary Cuozzo,3,26,8.67,26,0
Yale Lary,1,26,26.0,26,0
Mike Lind,8,26,3.25,7,0
Milt Plum,9,26,2.89,13,0
Bobby Mitchell,3,24,8.0,21,0
Larry Ferguson,13,23,1.77,5,0
Ralph Guglielmi,4,23,5.75,20,0
Nick Ryder,10,23,2.3,12,1
Paul Dudley,11,21,1.91,6,0
Ed Brown,15,20,1.33,7,2
Glynn Griffing,5,20,4.0,10,0
Ollie Matson,13,20,1.54,9,0
Tom Woodeshick,5,18,3.6,11,0
Mal Hammack,3,16,5.33,9,0
Sam Baker,1,15,15.0,15,0
Frank Clarke,1,12,12.0,12,0
Carroll Dale,1,12,12.0,12,0
Pervis Atkins,5,11,2.2,6,0
Frank Gifford,4,10,2.5,12,0
Johnny Morris,1,10,10.0,10,0
Terry Barr,1,9,9.0,9,0
Lew Carpenter,2,8,4.0,5,0
Prentice Gautt,3,5,1.67,2,0
Eddie LeBaron,2,5,2.5,4,0
George Izo,3,4,1.33,2,0
Frank Mestnik,1,4,4.0,4,0
John Mackey,1,3,3.0,3,0
Angelo Coia,2,2,1.0,4,0
Rudy Bukich,7,1,0.14,2,1
Nate Craddock,1,1,1.0,1,0
Red Mack,2,1,0.5,1,0
Ed Meador,1,1,1.0,1,0
Don Chandler,1,0,0.0,0,0
Bobby Joe Conrad,1,0,0.0,0,0
Jerry Norton,2,0,0.0,4,0
King Hill,3,6,0
Bob Anderson,1,0
Alex Hawkins,3,0
Bob Waters,5,8,0
Zeke Bratkowski,4,1,0
Preston Carpenter,1,0
Charlie Scales,2,2,1
Bill Nelsen,1,0
Dave Whitsell,1,0
Bobby Franklin,1,0
Bobby Joe Green,2,0
Jerry Reichow,1,0
Jim Ninowski,5,2,0
